GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	62920	21991690	12055	-0.0277
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	21992508	22011632	7	-1.7074
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	22015896	72284670	30549	-0.0222
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	72290430	72297687	9	-1.1217
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	72302735	103613021	19986	-0.0309
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	103613109	103717410	13	-0.6342
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	103717617	105763866	1138	-0.0407
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	105766516	105778334	8	-1.1969
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	105778367	108951525	2070	-0.0288
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	108954232	108966416	18	-0.7474
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	108966674	152588065	9876	-0.0307
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	152588392	152588407	2	-2.12
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	152598693	152598884	2	1.5055
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	152599241	152784298	184	0.0115
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	152784330	152795883	38	0.4117
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	152796094	157775246	2702	-0.0274
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	157779754	157780080	4	-1.1059
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	157780469	158545295	572	-0.0143
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	158547206	158550505	16	-0.9333
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	158553881	161647641	1942	-0.0357
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	161647657	161649268	8	-1.909
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	161678447	174827128	9483	-0.0254
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	174827267	174832702	17	-1.0079
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	174832716	196788723	14612	-0.0268
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	196788772	196802150	11	0.637
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	196820098	196843377	16	-0.0205
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	196843400	196846661	2	2.9058
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	196847600	201364692	2940	-0.0201
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	201365667	201366771	2	-1.8908
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	201370252	209897717	5798	-0.0295
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	209908268	209910639	3	-2.1209
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	209913207	247999648	26434	-0.0284
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	247999886	248018208	8	-1.1906
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	248018881	248572774	275	0.0083
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	248574146	248645808	35	-2.0044
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	1	248646068	248930189	138	-0.0874
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	12784	137522692	84793	-0.0229
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	137522888	137747577	148	-0.3386
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	137747834	137751949	6	-2.3116
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	137752292	146103818	5114	-0.3778
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	146103836	146109366	27	0.301
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	146120238	163204565	10150	-0.3686
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	163212155	170509438	4564	-0.0308
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	170514148	179546427	5665	0.2633
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	179548635	179557394	31	-0.8253
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	179557410	195297387	9137	0.2571
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	195298704	195300081	3	-1.1168
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	195300105	199428514	2413	0.2631
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	2	199429201	242147305	26868	-0.024
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	20930	1878140	1664	-0.041
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	1878166	1881281	4	-1.4665
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	1883380	26560273	18228	-0.0281
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	26570006	26570674	13	-0.681
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	26570675	60730739	21386	-0.0255
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	60732212	60977409	241	-0.3569
ac51c7b2-7273-4b26-a7e0-380e2abaa5b1	3	60985136	75519398	10959	-0.0322
