GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	62920	98602	13	-1.162
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	259407	965731	52	0.0399
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	968658	2521115	408	0.3377
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	2521130	3301765	265	0.1357
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	3302046	5051997	1323	-0.2078
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	5054493	5069166	10	-0.911
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	5074571	9244672	2587	-0.1683
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	9247978	9347116	63	0.2211
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	9348900	15820686	3612	-0.1824
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	15820897	15844541	23	0.7121
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	15850269	16909357	368	-0.1056
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	16909373	17010382	61	0.203
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	17014383	17202816	157	-0.2301
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	17205087	17215454	7	0.3954
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	17215953	17262510	39	-0.1194
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	17262553	17296402	33	0.2125
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	17302201	21349460	2712	-0.1872
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	21350202	21416967	42	0.1349
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	21420852	21811974	232	-0.2235
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	21815733	21837671	8	0.4363
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	21838233	21971792	79	-0.2895
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	21974705	22099459	68	0.1839
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	22099994	25119019	1757	-0.185
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	25120790	25133189	30	0.3443
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	25133246	25247980	67	-0.0997
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	25248216	25390874	54	0.2843
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	25393020	30699627	2732	-0.1898
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	30702481	30789158	59	0.2006
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	30789990	37379639	3617	-0.1764
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	37383192	37455082	46	0.2716
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	37455442	40261444	1527	-0.1996
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	40263996	40315122	25	-0.112
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	40315366	40333724	8	0.552
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	40333755	40877389	299	-0.1488
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	40878947	40908771	18	0.3599
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	40909448	44169804	2000	-0.1396
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	44170809	44171718	2	-2.1311
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	44181708	45772399	792	-0.1071
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	45774377	46130011	191	0.1312
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	46134072	48766487	1650	-0.0988
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	48767122	49448451	372	-0.2892
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	49449260	49516847	23	-0.9508
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	49522138	49949454	156	-0.2422
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	49952286	49960870	7	-1.4097
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	49966790	50081494	46	-0.2721
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	50083857	50534923	261	-0.0613
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	50534938	50837434	128	0.0931
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	50838269	54733339	2102	-0.1116
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	54741821	54808979	55	0.2534
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	54809137	55670395	730	-0.0717
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	55671162	60899249	3980	-0.1548
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	60900044	61647430	583	-0.0958
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	61648334	61649279	3	-1.3023
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	61652515	61974089	254	-0.1001
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	61976059	62006931	34	0.4716
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	62008362	68646398	4861	-0.1108
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	68648791	68899411	131	-0.2437
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	68902657	68939961	18	-0.7174
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	68942895	69415578	244	-0.199
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	69420631	69421209	3	-2.5388
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	69424197	70898422	915	-0.1355
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	70900282	71553331	372	-0.3033
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	71556236	71559565	6	-2.0953
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	71565883	71980481	245	-0.2485
a36ed57a-e295-4abc-8187-2e7b63e3bdad	1	71983116	71983620	2	-2.3062
