GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	62920	15827002	8336	-0.1166
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	15827041	15827430	5	-1.9366
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	15827706	16609512	308	-0.1052
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	16617118	16788139	48	-0.9683
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	16855942	16956580	60	0.2015
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	16958425	25277975	5264	-0.1087
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	25278567	25284961	3	-2.2513
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	25289805	72303233	28749	-0.1213
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	72303253	72345465	45	-1.2304
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	72346221	75584212	1927	-0.1706
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	75584489	75589169	5	-1.326
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	75593824	78623278	2011	-0.1289
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	78624924	83164132	3076	-0.1855
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	83166104	95695294	8178	-0.1215
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	95695470	107088078	6832	-0.163
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	107088574	112147704	3534	-0.1154
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	112153343	112154552	19	-1.3557
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	112154566	143748421	5267	-0.1077
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	143748590	143748826	4	-1.9647
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	143748872	152580550	2336	-0.1187
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	152582700	152613242	31	0.4972
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	152613641	152784298	170	-0.1481
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	152784330	152796224	40	0.6019
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	152801429	186332315	22571	-0.1244
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	186333163	200446308	9261	-0.1655
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	200446971	211424651	7522	-0.1298
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	211427236	211448273	10	0.1781
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	211453095	214836031	2311	0.451
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	214836089	219478756	3345	0.1428
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	219480953	229524695	6236	0.1915
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	229526039	229675422	99	0.1299
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	229681109	229684449	3	-1.3813
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	229684709	238416004	6668	0.1275
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	238418619	238419065	3	-1.8126
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	238419273	240228440	1440	0.126
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	240230715	240230824	5	-1.4452
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	240230839	241956011	1369	0.1195
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	241958718	241995035	15	-0.5292
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	1	241995550	248930189	4474	0.1236
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	12784	2628937	1778	0.0852
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	2629275	2632641	2	-1.7019
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	2633963	7116461	3820	0.0681
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	7120102	33011186	17348	0.1244
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	33018843	34295406	1036	0.095
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	34298911	34300513	2	-2.1737
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	34300900	34466002	95	0.11
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	34474248	34502547	41	0.8135
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	34502718	41011095	4808	0.137
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	41011303	41018747	22	-1.5939
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	41024093	41266648	183	0.0654
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	41267437	47693525	4742	0.1526
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	47695385	52527330	3256	0.0926
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	52527342	52554404	39	0.7198
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	52560811	86710564	21915	0.1216
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	86725947	86726731	2	-2.7268
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	86743283	97188422	1899	0.0853
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	97192190	97211436	15	-0.6686
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	97310327	97560849	28	0.5114
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	97562741	111522564	8211	0.1313
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	111529956	111610248	14	-0.4647
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	111615592	113604438	1132	0.1425
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	113604837	113604839	2	-1.9013
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	113623244	114617008	609	0.1362
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	114618360	116735445	1295	0.0816
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	116743926	116758058	7	-0.7748
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	116759042	122719438	3793	0.1061
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	122722323	122724665	8	-1.6971
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	122726077	158804973	21960	0.0787
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	158806010	158806286	2	-2.3232
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	158808191	160696369	1201	0.1081
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	160696730	160696820	2	-3.271
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	2	160700545	242147305	50227	0.0883
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	20930	182919	154	0.1521
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	188339	191117	4	-1.913
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	193194	3957986	3386	0.1059
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	3958212	16611390	9674	0.1789
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	16614824	26860980	7038	0.1379
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	26861720	29747479	1972	0.1676
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	29748097	31925958	1589	0.2351
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	31926475	37935926	3802	0.1707
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	37940617	37945392	17	-0.733
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	37945437	54514891	9124	0.1873
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	54516119	56194364	1408	0.1303
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	56194854	59770115	2172	0.1932
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	59770638	60302699	652	0.0974
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60304285	60368893	63	-0.2779
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60373508	60523877	183	-1.0473
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60523912	60551037	33	-1.789
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60551663	60607409	67	-0.7238
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60610610	60732212	137	-0.1776
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	60733690	65202778	3831	0.188
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	65203560	65214027	29	-2.3753
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	65214192	65221269	12	-0.443
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	65221656	65224777	9	-3.2056
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	65230674	65928180	589	0.1829
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	65928501	68697133	1838	0.4238
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	68697295	68698178	10	1.0952
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	68698213	75523398	4933	0.4242
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	75527410	75537654	4	1.7119
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	75546030	76415534	359	0.4036
4a24a2a7-a6a0-4a41-a1df-595c3aaff584	3	76415665	77399045	687	0.4957
