GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	62920	787937	25	0.7079
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	793228	1798647	238	0.0997
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	1800884	3213582	437	-0.025
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	3214026	16637228	7963	0.1009
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	16641630	16643961	13	-0.5793
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	16679239	16686246	5	0.1259
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	16689764	16949746	77	0.6729
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	16951445	25256850	5259	0.107
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	25266637	25320455	24	0.7936
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	25336819	34190783	4613	0.0965
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	34191211	34191702	2	-2.1322
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	34196051	34626037	335	0.1054
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	34626073	34638890	21	-0.5589
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	34648667	63178491	17570	0.0713
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	63181381	84150390	13871	0.0164
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	84151467	96048558	7781	0.0511
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	96049515	103616762	4622	0.0033
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	103620877	103717410	5	1.4391
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	103717617	107119568	2027	-0.006
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	107120873	109690352	1544	0.0691
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	109690431	109697556	11	2.6818
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	109702376	110827750	826	0.0529
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	110827773	110827875	2	-1.1713
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	110827908	112153465	1124	0.0238
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	112153571	112163576	33	-0.4106
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	112163583	121598439	5150	0.056
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	121601998	143748421	102	0.278
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	143748590	148996458	902	0.0758
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	148996719	149000127	3	-1.1556
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	149000193	152583230	1438	0.0713
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	152583291	152614100	33	-2.1068
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	152614118	152790191	181	0.0883
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	152790286	152795783	19	-0.3122
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	152795805	153012136	171	0.0738
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	153016845	153028238	6	-0.7951
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	153028502	157179998	2104	0.0734
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	157180426	177336103	14205	0.038
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	177336261	184992672	5279	0.0623
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	184994281	189053842	2549	-0.0229
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	189058092	189062230	7	-0.9958
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	189063349	192409673	2175	-0.0374
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	192409779	196745743	2980	0.0097
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	196758720	196875062	89	0.2107
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	196875205	198102329	662	0.014
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	198102594	199527057	976	-0.0538
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	199527234	209897717	7123	0.0623
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	209908268	209908720	2	-1.5392
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	209910639	215883006	4050	0.0573
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	215884376	221834497	4291	-0.0008
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	221834684	227237600	3325	0.0528
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	227238371	227238705	3	-1.1947
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	227241477	235169152	5633	0.0644
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	235177367	244358838	6843	0.0238
696d23b9-6a6c-464a-bf8e-fd2e897fe737	1	244361625	248930189	2882	0.0752
696d23b9-6a6c-464a-bf8e-fd2e897fe737	2	12784	818177	558	0.054
696d23b9-6a6c-464a-bf8e-fd2e897fe737	2	827966	2030872	772	-0.0453
696d23b9-6a6c-464a-bf8e-fd2e897fe737	2	2036863	2623479	444	0.029
696d23b9-6a6c-464a-bf8e-fd2e897fe737	2	2625070	2628256	2	-1.6568
696d23b9-6a6c-464a-bf8e-fd2e897fe737	2	2628380	8102838	4619	0.0219
