GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b815fa8b-0313-432c-a439-33f531d1b552	1	3301765	247650984	129789	0.0206
b815fa8b-0313-432c-a439-33f531d1b552	2	480597	184542207	99890	0.0246
b815fa8b-0313-432c-a439-33f531d1b552	2	184548316	184548638	2	-2.4015
b815fa8b-0313-432c-a439-33f531d1b552	2	184552011	202066103	8488	0.0219
b815fa8b-0313-432c-a439-33f531d1b552	2	202067181	202067474	2	-1.9739
b815fa8b-0313-432c-a439-33f531d1b552	2	202075475	230393900	17325	0.0222
b815fa8b-0313-432c-a439-33f531d1b552	2	230400636	230401563	2	1.6841
b815fa8b-0313-432c-a439-33f531d1b552	2	230402928	237605279	4365	0.0267
b815fa8b-0313-432c-a439-33f531d1b552	2	237606554	237617855	5	-1.5939
b815fa8b-0313-432c-a439-33f531d1b552	2	237617933	241537572	2161	0.0299
b815fa8b-0313-432c-a439-33f531d1b552	3	2170634	128710413	71014	0.0143
b815fa8b-0313-432c-a439-33f531d1b552	3	128710537	128712082	4	-1.2795
b815fa8b-0313-432c-a439-33f531d1b552	3	128714553	197812401	36183	0.0138
b815fa8b-0313-432c-a439-33f531d1b552	4	1059384	14467293	8024	0.0085
b815fa8b-0313-432c-a439-33f531d1b552	4	14468479	14468703	3	-1.2392
b815fa8b-0313-432c-a439-33f531d1b552	4	14471010	118322125	58079	0.0133
b815fa8b-0313-432c-a439-33f531d1b552	4	118324233	118324458	3	-1.3284
b815fa8b-0313-432c-a439-33f531d1b552	4	118326320	122319464	2250	0.0204
b815fa8b-0313-432c-a439-33f531d1b552	4	122321038	122321899	2	-1.692
b815fa8b-0313-432c-a439-33f531d1b552	4	122322386	187842528	35161	0.0174
b815fa8b-0313-432c-a439-33f531d1b552	5	913983	68650503	36881	0.0167
b815fa8b-0313-432c-a439-33f531d1b552	5	68650845	68652103	2	-1.5579
b815fa8b-0313-432c-a439-33f531d1b552	5	68653399	180934240	64265	0.015
b815fa8b-0313-432c-a439-33f531d1b552	6	1011760	170596889	97183	0.0173
b815fa8b-0313-432c-a439-33f531d1b552	7	664936	158592540	81960	0.0188
b815fa8b-0313-432c-a439-33f531d1b552	8	667625	144182542	82244	0.0163
b815fa8b-0313-432c-a439-33f531d1b552	9	789794	1591333	198	0.043
b815fa8b-0313-432c-a439-33f531d1b552	9	1592138	1592353	2	1.3526
b815fa8b-0313-432c-a439-33f531d1b552	9	1592554	2720219	1123	0.0317
