GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1bf9628d-2244-447e-8dab-37c41f8ab83a	1	3301765	160698623	73927	0.001
1bf9628d-2244-447e-8dab-37c41f8ab83a	1	160698884	160698891	2	1.2428
1bf9628d-2244-447e-8dab-37c41f8ab83a	1	160698899	184593415	15951	0.003
1bf9628d-2244-447e-8dab-37c41f8ab83a	1	184593758	184596084	2	-2.4188
1bf9628d-2244-447e-8dab-37c41f8ab83a	1	184597959	247650984	39905	0.0024
1bf9628d-2244-447e-8dab-37c41f8ab83a	2	480597	98745718	52076	-0.0007
1bf9628d-2244-447e-8dab-37c41f8ab83a	2	98749087	98803793	29	-1.0492
1bf9628d-2244-447e-8dab-37c41f8ab83a	2	98810080	241537572	80146	-0.0014
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	2170634	8172228	3384	0.0032
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	8176862	8176946	2	-1.3162
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	8177520	111697208	57422	0.002
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	111702663	111703128	4	-0.9063
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	111708608	133289648	12799	0.0018
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	133292360	133293636	3	1.092
1bf9628d-2244-447e-8dab-37c41f8ab83a	3	133295928	197812401	33608	0.0073
1bf9628d-2244-447e-8dab-37c41f8ab83a	4	1059384	89441501	49979	0.0024
1bf9628d-2244-447e-8dab-37c41f8ab83a	4	89443546	89451513	11	-1.0281
1bf9628d-2244-447e-8dab-37c41f8ab83a	4	89451696	187842528	53554	0.0024
1bf9628d-2244-447e-8dab-37c41f8ab83a	5	913983	180934240	101149	0.0021
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	1011760	20517103	13853	0.0035
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	20517794	20518790	2	-1.3417
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	20522059	22903102	1709	0.0172
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	22905088	22905603	4	0.9272
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	22909104	42159944	9611	0.004
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	42160561	42161506	4	-1.9397
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	42164001	73142084	15416	0.0026
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	73143845	73147345	4	-0.9181
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	73149888	159441265	50822	0.0061
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	159441619	159442230	3	-1.1085
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	159442700	165830327	3965	0.0146
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	165836491	165836656	3	1.0064
1bf9628d-2244-447e-8dab-37c41f8ab83a	6	165840454	170596889	1792	0.007
1bf9628d-2244-447e-8dab-37c41f8ab83a	7	664936	130046768	66501	0.0007
1bf9628d-2244-447e-8dab-37c41f8ab83a	7	130054898	130058927	2	-1.6117
1bf9628d-2244-447e-8dab-37c41f8ab83a	7	130059627	158592540	15469	0.0004
1bf9628d-2244-447e-8dab-37c41f8ab83a	8	667625	13189153	5641	0.0024
1bf9628d-2244-447e-8dab-37c41f8ab83a	8	13189298	13189502	2	-1.2312
1bf9628d-2244-447e-8dab-37c41f8ab83a	8	13190507	90315154	44302	-0.0005
1bf9628d-2244-447e-8dab-37c41f8ab83a	8	90315271	90315573	4	-1.0117
1bf9628d-2244-447e-8dab-37c41f8ab83a	8	90318953	144182542	32307	0.0019
1bf9628d-2244-447e-8dab-37c41f8ab83a	9	789794	10523295	5874	0.005
1bf9628d-2244-447e-8dab-37c41f8ab83a	9	10523383	10523685	2	-1.279
