GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	3301765	6190279	1969	-0.6426
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	6192042	41898953	18711	-0.6065
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	41899655	41900458	3	-2.8346
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	41901295	53022778	5600	-0.5994
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	53023372	53028150	14	-1.3329
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	53029207	62889301	7026	-0.6225
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	62889503	99832384	22773	-0.6435
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	99835884	99853545	14	-4.0835
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	99856087	107097766	3853	-0.6269
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	107098212	107102623	2	-2.7954
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	107103139	112113213	3073	-0.6594
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	112114999	112115902	2	-3.5567
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	112116168	119984772	4861	-0.6379
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	146716041	233586764	52601	0.1636
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	233589354	233611344	23	-0.5391
c4e3cdad-c402-447d-b7b4-b531b4791b65	1	233611792	247650984	9015	0.1579
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	480597	57726073	33977	0.1457
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	57726082	57729090	2	-1.6773
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	57729683	75925962	10616	0.1461
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	75929758	75936129	7	-0.6167
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	75942602	78168526	1337	0.1381
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	78169141	78172569	2	-1.2184
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	78173124	140380725	27668	0.1453
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	140383060	140408388	12	-0.4841
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	140408397	167041276	15452	0.1375
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	167045520	167068000	12	-0.3237
c4e3cdad-c402-447d-b7b4-b531b4791b65	2	167068281	241537572	43137	0.1399
c4e3cdad-c402-447d-b7b4-b531b4791b65	3	2170634	28628062	15593	0.1558
c4e3cdad-c402-447d-b7b4-b531b4791b65	3	28628468	28629393	2	-1.8442
c4e3cdad-c402-447d-b7b4-b531b4791b65	3	28630927	174472797	79483	0.1746
c4e3cdad-c402-447d-b7b4-b531b4791b65	3	174485712	174599125	71	-0.6733
c4e3cdad-c402-447d-b7b4-b531b4791b65	3	174599186	197812401	12013	0.1746
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	1059384	1617661	151	-0.7013
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	1617803	1627922	2	-2.5815
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	1627962	2948151	543	-0.6317
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	2948990	10460350	4219	-0.7073
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	10460482	47236930	22889	-0.6548
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	47237394	47237815	2	-3.349
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	47240287	84455028	19045	-0.6461
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	84455530	84517446	24	-2.8784
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	84520257	112410429	15671	-0.6458
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	112410634	112411140	2	-2.5479
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	112416404	139624345	14582	-0.6414
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	139625052	140102475	371	-0.7557
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	140102819	167220796	15188	-0.6474
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	167221536	167221742	2	-2.7931
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	167222218	177530423	5768	-0.6507
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	177535089	177536951	2	-2.5331
c4e3cdad-c402-447d-b7b4-b531b4791b65	4	177538270	187842528	4849	-0.6662
c4e3cdad-c402-447d-b7b4-b531b4791b65	5	913983	180934240	101137	0.1563
c4e3cdad-c402-447d-b7b4-b531b4791b65	6	1011760	170596889	97182	0.1459
