GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	62920	1881249	304	-0.1553
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	1883021	3302046	429	-0.3621
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	3302359	10307286	4395	-0.1111
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	10310344	10317925	18	-1.1913
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	10321714	12779433	1301	-0.0954
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	12792599	12867264	31	0.611
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	12868035	30676802	10197	-0.0939
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	30676849	30793010	77	-0.4158
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	30794326	34637909	2130	-0.0857
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	34638226	34638890	10	-0.8003
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	34648667	58891154	14439	-0.0845
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	58891580	58894731	4	-2.0973
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	58895980	65432318	4727	-0.0625
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	65437762	65440582	2	-2.1376
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	65441079	72303233	4480	-0.0612
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	72303253	72345465	45	-1.5496
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	72346221	101208376	18436	-0.0664
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	101208554	101292308	66	0.4864
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	101296017	108951525	4645	-0.0615
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	108954232	108966416	18	-0.7125
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	108966674	109684695	326	-0.0842
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	109684893	109702376	15	-1.4015
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	109703504	110834746	828	-0.1185
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	110834943	110836951	16	-0.6409
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	110837128	110837398	4	-1.1873
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	110839857	143708096	6317	-0.0729
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	143708149	143754062	37	0.4444
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	143754077	152583051	2315	-0.0857
