GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-NH-A8F8-01A-72D-A706-36	chr1	17001	889000	116	-0.567058
TCGA-NH-A8F8-01A-72D-A706-36	chr1	889001	1576000	665	-0.621124
TCGA-NH-A8F8-01A-72D-A706-36	chr1	1576001	3434000	1688	-0.622444
TCGA-NH-A8F8-01A-72D-A706-36	chr1	3434001	3665000	228	-0.650634
TCGA-NH-A8F8-01A-72D-A706-36	chr1	3665001	4591000	916	-0.617954
TCGA-NH-A8F8-01A-72D-A706-36	chr1	4591001	4873000	282	-0.647698
TCGA-NH-A8F8-01A-72D-A706-36	chr1	4873001	5453000	578	-0.614042
TCGA-NH-A8F8-01A-72D-A706-36	chr1	5453001	6166000	711	-0.606700
TCGA-NH-A8F8-01A-72D-A706-36	chr1	6166001	6400000	234	-0.110334
TCGA-NH-A8F8-01A-72D-A706-36	chr1	6400001	6772000	372	-0.601528
TCGA-NH-A8F8-01A-72D-A706-36	chr1	6772001	7582000	809	-0.597428
TCGA-NH-A8F8-01A-72D-A706-36	chr1	7582001	7795000	213	-0.606102
TCGA-NH-A8F8-01A-72D-A706-36	chr1	7795001	8906000	1108	-0.582765
TCGA-NH-A8F8-01A-72D-A706-36	chr1	8906001	9656000	747	-0.607189
TCGA-NH-A8F8-01A-72D-A706-36	chr1	9656001	11448000	1791	-0.586671
TCGA-NH-A8F8-01A-72D-A706-36	chr1	11448001	11473000	25	-0.695287
TCGA-NH-A8F8-01A-72D-A706-36	chr1	11473001	12227000	754	-0.611729
TCGA-NH-A8F8-01A-72D-A706-36	chr1	12227001	12864000	634	-0.591257
TCGA-NH-A8F8-01A-72D-A706-36	chr1	12864001	13059000	20	-0.745840
TCGA-NH-A8F8-01A-72D-A706-36	chr1	13104001	13456000	174	-0.577601
TCGA-NH-A8F8-01A-72D-A706-36	chr1	13456001	14178000	721	-0.609996
TCGA-NH-A8F8-01A-72D-A706-36	chr1	14178001	16019000	1835	-0.604491
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16019001	16041000	21	0.181186
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16041001	16256000	215	-0.616721
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16256001	16524000	266	-0.604900
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16524001	16728000	132	-0.659890
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16728001	16799000	33	-1.360418
TCGA-NH-A8F8-01A-72D-A706-36	chr1	16850001	17009000	146	-0.293985
TCGA-NH-A8F8-01A-72D-A706-36	chr1	17009001	20795000	3783	-0.604379
TCGA-NH-A8F8-01A-72D-A706-36	chr1	20795001	22020000	1204	-0.589791
TCGA-NH-A8F8-01A-72D-A706-36	chr1	22020001	22153000	133	-0.602607
TCGA-NH-A8F8-01A-72D-A706-36	chr1	22153001	23237000	1084	-0.596690
TCGA-NH-A8F8-01A-72D-A706-36	chr1	23237001	23470000	233	-0.573011
TCGA-NH-A8F8-01A-72D-A706-36	chr1	23470001	24642000	1169	-0.597982
TCGA-NH-A8F8-01A-72D-A706-36	chr1	24642001	27691000	2944	-0.594903
TCGA-NH-A8F8-01A-72D-A706-36	chr1	27691001	27884000	190	-0.589412
TCGA-NH-A8F8-01A-72D-A706-36	chr1	27884001	27957000	73	-0.597577
TCGA-NH-A8F8-01A-72D-A706-36	chr1	27957001	29677000	1717	-0.590087
TCGA-NH-A8F8-01A-72D-A706-36	chr1	29677001	30857000	1173	-0.618706
TCGA-NH-A8F8-01A-72D-A706-36	chr1	30857001	39069000	8185	-0.593401
TCGA-NH-A8F8-01A-72D-A706-36	chr1	39069001	42212000	3106	-0.591495
TCGA-NH-A8F8-01A-72D-A706-36	chr1	42212001	46413000	4183	-0.586582
TCGA-NH-A8F8-01A-72D-A706-36	chr1	46413001	46883000	467	-0.587749
TCGA-NH-A8F8-01A-72D-A706-36	chr1	46883001	47751000	848	-0.592168
TCGA-NH-A8F8-01A-72D-A706-36	chr1	47751001	48296000	538	-0.599118
TCGA-NH-A8F8-01A-72D-A706-36	chr1	48296001	50408000	2099	-0.601491
TCGA-NH-A8F8-01A-72D-A706-36	chr1	50408001	53289000	2877	-0.575039
TCGA-NH-A8F8-01A-72D-A706-36	chr1	53289001	53690000	400	-0.613199
TCGA-NH-A8F8-01A-72D-A706-36	chr1	53690001	54438000	748	-0.593973
TCGA-NH-A8F8-01A-72D-A706-36	chr1	54438001	54857000	414	-0.610390
TCGA-NH-A8F8-01A-72D-A706-36	chr1	54857001	54910000	53	-0.572186
TCGA-NH-A8F8-01A-72D-A706-36	chr1	54910001	55036000	125	-0.593237
TCGA-NH-A8F8-01A-72D-A706-36	chr1	55036001	55935000	895	-0.582398
TCGA-NH-A8F8-01A-72D-A706-36	chr1	55935001	55972000	36	-0.592620
TCGA-NH-A8F8-01A-72D-A706-36	chr1	55972001	57965000	1988	-0.601502
TCGA-NH-A8F8-01A-72D-A706-36	chr1	57965001	58774000	791	-0.587215
TCGA-NH-A8F8-01A-72D-A706-36	chr1	58774001	60180000	1400	-0.573321
TCGA-NH-A8F8-01A-72D-A706-36	chr1	60180001	60221000	41	-0.522990
TCGA-NH-A8F8-01A-72D-A706-36	chr1	60221001	60258000	37	-0.541175
