GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CM-6680-01A-11D-A91Y-36	chr1	17001	5436000	4456	0.040668
TCGA-CM-6680-01A-11D-A91Y-36	chr1	5436001	5568000	132	-0.641577
TCGA-CM-6680-01A-11D-A91Y-36	chr1	5568001	5584000	16	-0.647800
TCGA-CM-6680-01A-11D-A91Y-36	chr1	5584001	6160000	574	-0.638758
TCGA-CM-6680-01A-11D-A91Y-36	chr1	6160001	7959000	1797	-0.632526
TCGA-CM-6680-01A-11D-A91Y-36	chr1	7959001	8186000	227	-0.648342
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8186001	8251000	65	-0.635849
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8251001	8329000	78	-0.630956
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8329001	8405000	76	-0.649808
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8405001	8445000	40	-0.628367
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8445001	8464000	19	-0.646559
TCGA-CM-6680-01A-11D-A91Y-36	chr1	8464001	9521000	1052	-0.631354
TCGA-CM-6680-01A-11D-A91Y-36	chr1	9521001	9634000	113	-0.606436
TCGA-CM-6680-01A-11D-A91Y-36	chr1	9634001	10825000	1190	-0.623302
TCGA-CM-6680-01A-11D-A91Y-36	chr1	10825001	10875000	50	-0.586318
TCGA-CM-6680-01A-11D-A91Y-36	chr1	10875001	10893000	18	-0.620840
TCGA-CM-6680-01A-11D-A91Y-36	chr1	10893001	11011000	118	-0.614162
TCGA-CM-6680-01A-11D-A91Y-36	chr1	11011001	12099000	1088	-0.625380
TCGA-CM-6680-01A-11D-A91Y-36	chr1	12099001	12367000	268	-0.630041
TCGA-CM-6680-01A-11D-A91Y-36	chr1	12367001	12814000	446	-0.627334
TCGA-CM-6680-01A-11D-A91Y-36	chr1	12814001	13508000	294	-0.598176
TCGA-CM-6680-01A-11D-A91Y-36	chr1	13508001	13555000	47	-0.643593
TCGA-CM-6680-01A-11D-A91Y-36	chr1	13555001	14980000	1422	-0.635495
TCGA-CM-6680-01A-11D-A91Y-36	chr1	14980001	15324000	343	-0.622603
TCGA-CM-6680-01A-11D-A91Y-36	chr1	15324001	15340000	16	-0.626723
TCGA-CM-6680-01A-11D-A91Y-36	chr1	15340001	15473000	133	-0.628468
TCGA-CM-6680-01A-11D-A91Y-36	chr1	15473001	15479000	6	-0.709704
TCGA-CM-6680-01A-11D-A91Y-36	chr1	15479001	16524000	1039	-0.628723
TCGA-CM-6680-01A-11D-A91Y-36	chr1	16524001	16587000	39	-0.596802
