GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	3301765	58891154	30634	-0.0873
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	58891580	58894731	4	-2.0973
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	58895980	101208376	26172	-0.0658
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	101208554	101292308	66	0.4864
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	101296017	162387993	17665	-0.081
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	162389956	162390072	2	-2.3468
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	162390086	181189949	12424	-0.0705
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	181191135	181191860	3	-2.586
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	181192048	181810157	479	-0.1229
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	181810334	200688601	11330	-0.0683
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	200688794	201659449	673	-0.1314
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	201659862	201660340	3	-1.6588
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	201660724	206495260	2907	-0.1062
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	206495803	206496625	2	-2.0175
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	1	206500262	247650984	26687	-0.0756
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	2	480597	167695338	89088	0.2291
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	2	167696550	167696831	3	-2.8792
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	2	167699321	241537572	42634	0.231
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	3	2170634	197812401	106606	-0.0716
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	1059384	2349583	441	-0.5132
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	2349680	7162050	2862	-0.5631
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	7162601	7727977	433	-0.6998
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	7729833	10549936	1209	-0.5848
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	10552698	130041802	67011	-0.4869
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	130084613	130208415	84	-1.3916
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	130209428	143796736	7289	-0.4817
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	143797654	143821865	20	0.1535
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	4	143821903	187842528	23389	-0.4863
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	5	913983	100837090	52784	-0.0892
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	5	100847006	100868112	17	-1.0322
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	5	100869739	176357596	45825	-0.1028
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	5	176373792	180509513	1840	-0.579
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	5	180514676	180934240	133	-0.1405
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	6	1011760	25796094	17326	0.2357
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	6	25797412	30936171	1823	0.2107
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	6	30940222	30940489	2	-1.5828
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	6	30945681	44649868	7278	0.2013
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	6	44650161	170596889	70396	0.2393
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	7	664936	158592540	81585	-0.0422
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	8	667625	31107431	18229	0.2502
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	8	31107564	31118539	10	-0.5359
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	8	31119069	144182542	63642	0.2528
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	789794	18861023	11324	-0.0694
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	18861583	18863562	6	-1.6273
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	18864482	98365097	32242	-0.0799
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	98365155	98370321	6	-1.2454
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	98370639	105305634	4284	-0.0711
0fbcc9a9-d808-46a3-ac7a-4d22061b1310	9	105306489	105562222	142	-1.04
