GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
596d3aee-123b-4509-8b96-ae07bda630bf	1	62920	259422	15	0.3231
596d3aee-123b-4509-8b96-ae07bda630bf	1	259926	3302046	723	-0.1002
596d3aee-123b-4509-8b96-ae07bda630bf	1	3302359	16785682	7954	0.0019
596d3aee-123b-4509-8b96-ae07bda630bf	1	16787932	16949746	59	-0.5366
596d3aee-123b-4509-8b96-ae07bda630bf	1	16951445	58456781	24416	-0.0016
596d3aee-123b-4509-8b96-ae07bda630bf	1	58458437	58460486	4	-2.4812
596d3aee-123b-4509-8b96-ae07bda630bf	1	58460524	72297687	9551	0.0063
596d3aee-123b-4509-8b96-ae07bda630bf	1	72302735	72345465	48	-1.3914
596d3aee-123b-4509-8b96-ae07bda630bf	1	72346221	109690352	23565	0.0125
596d3aee-123b-4509-8b96-ae07bda630bf	1	109690415	109702376	13	1.0345
596d3aee-123b-4509-8b96-ae07bda630bf	1	109703504	112147704	1943	-0.0003
596d3aee-123b-4509-8b96-ae07bda630bf	1	112153343	112154619	23	-0.4795
596d3aee-123b-4509-8b96-ae07bda630bf	1	112154754	152583051	7590	0.0095
596d3aee-123b-4509-8b96-ae07bda630bf	1	152583230	152614064	33	-1.8696
596d3aee-123b-4509-8b96-ae07bda630bf	1	152614100	174827267	14980	0.0027
596d3aee-123b-4509-8b96-ae07bda630bf	1	174827418	174832716	17	-0.7926
596d3aee-123b-4509-8b96-ae07bda630bf	1	174832734	196737736	14622	0.0157
596d3aee-123b-4509-8b96-ae07bda630bf	1	196740093	196846661	68	0.3631
596d3aee-123b-4509-8b96-ae07bda630bf	1	196847600	248546369	35585	0.0101
596d3aee-123b-4509-8b96-ae07bda630bf	1	248550567	248633821	34	-0.4606
596d3aee-123b-4509-8b96-ae07bda630bf	1	248633912	248930189	142	0.0241
596d3aee-123b-4509-8b96-ae07bda630bf	2	12784	30392017	21382	0.0004
596d3aee-123b-4509-8b96-ae07bda630bf	2	30392785	30407010	9	-1.1571
596d3aee-123b-4509-8b96-ae07bda630bf	2	30408221	34295406	2574	0.0028
596d3aee-123b-4509-8b96-ae07bda630bf	2	34298911	34300513	2	-2.5661
596d3aee-123b-4509-8b96-ae07bda630bf	2	34300900	52527423	13123	0.0169
596d3aee-123b-4509-8b96-ae07bda630bf	2	52527590	52527743	3	-2.5239
596d3aee-123b-4509-8b96-ae07bda630bf	2	52531615	87260822	22038	0.008
596d3aee-123b-4509-8b96-ae07bda630bf	2	87261116	87578886	62	-0.3744
596d3aee-123b-4509-8b96-ae07bda630bf	2	87586208	130031201	21581	0.0096
596d3aee-123b-4509-8b96-ae07bda630bf	2	130036283	130149773	18	-0.5189
596d3aee-123b-4509-8b96-ae07bda630bf	2	130151369	146106875	9514	0.0082
596d3aee-123b-4509-8b96-ae07bda630bf	2	146106889	146120238	22	0.9275
596d3aee-123b-4509-8b96-ae07bda630bf	2	146120827	183377929	22918	0.005
596d3aee-123b-4509-8b96-ae07bda630bf	2	183378436	186070027	1599	0.0677
596d3aee-123b-4509-8b96-ae07bda630bf	2	186070660	193923013	4357	0.015
