GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-D5-6932-01A-11D-A91Z-36	chr1	17001	1169000	384	-0.150432
TCGA-D5-6932-01A-11D-A91Z-36	chr1	1169001	2473000	1245	-0.126261
TCGA-D5-6932-01A-11D-A91Z-36	chr1	2473001	5493000	2884	-0.174018
TCGA-D5-6932-01A-11D-A91Z-36	chr1	5493001	6231000	736	-0.145165
TCGA-D5-6932-01A-11D-A91Z-36	chr1	6231001	7906000	1673	-0.125830
TCGA-D5-6932-01A-11D-A91Z-36	chr1	7906001	8127000	221	-0.103134
TCGA-D5-6932-01A-11D-A91Z-36	chr1	8127001	14144000	5609	-0.118100
TCGA-D5-6932-01A-11D-A91Z-36	chr1	14144001	15551000	1404	-0.138572
TCGA-D5-6932-01A-11D-A91Z-36	chr1	15551001	16898000	1170	-0.103012
TCGA-D5-6932-01A-11D-A91Z-36	chr1	16898001	16906000	8	0.225860
TCGA-D5-6932-01A-11D-A91Z-36	chr1	16906001	16950000	43	-0.087362
TCGA-D5-6932-01A-11D-A91Z-36	chr1	16950001	17006000	54	-1.131756
TCGA-D5-6932-01A-11D-A91Z-36	chr1	17006001	17933000	926	-0.137571
TCGA-D5-6932-01A-11D-A91Z-36	chr1	17933001	18484000	551	-0.163807
TCGA-D5-6932-01A-11D-A91Z-36	chr1	18484001	22167000	3660	-0.114067
TCGA-D5-6932-01A-11D-A91Z-36	chr1	22167001	23238000	1071	-0.112138
TCGA-D5-6932-01A-11D-A91Z-36	chr1	23238001	27446000	4101	-0.110413
TCGA-D5-6932-01A-11D-A91Z-36	chr1	27446001	27971000	521	-0.529741
TCGA-D5-6932-01A-11D-A91Z-36	chr1	27971001	28138000	166	-0.495391
TCGA-D5-6932-01A-11D-A91Z-36	chr1	28138001	29754000	1613	-0.530301
TCGA-D5-6932-01A-11D-A91Z-36	chr1	29754001	29900000	145	-0.590439
TCGA-D5-6932-01A-11D-A91Z-36	chr1	29900001	29923000	23	-0.562459
TCGA-D5-6932-01A-11D-A91Z-36	chr1	29923001	29931000	8	-0.557830
TCGA-D5-6932-01A-11D-A91Z-36	chr1	29931001	30053000	122	-0.582743
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30053001	30273000	220	-0.584418
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30273001	30298000	25	-0.581216
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30298001	30472000	170	-0.570034
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30472001	30531000	59	-0.556294
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30531001	30617000	85	-0.530162
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30617001	30634000	17	-0.517086
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30634001	30791000	157	-0.567503
TCGA-D5-6932-01A-11D-A91Z-36	chr1	30791001	31431000	639	-0.519615
TCGA-D5-6932-01A-11D-A91Z-36	chr1	31431001	31473000	42	-0.520971
TCGA-D5-6932-01A-11D-A91Z-36	chr1	31473001	31491000	18	-0.475915
TCGA-D5-6932-01A-11D-A91Z-36	chr1	31491001	31506000	14	-0.486680
TCGA-D5-6932-01A-11D-A91Z-36	chr1	31506001	31884000	378	-0.534134
TCGA-D5-6932-01A-11D-A91Z-36	chr1	31884001	32226000	342	-0.506179
TCGA-D5-6932-01A-11D-A91Z-36	chr1	32226001	33589000	1358	-0.103089
TCGA-D5-6932-01A-11D-A91Z-36	chr1	33589001	34597000	992	-0.135548
TCGA-D5-6932-01A-11D-A91Z-36	chr1	34597001	36693000	2094	-0.114232
TCGA-D5-6932-01A-11D-A91Z-36	chr1	36693001	37628000	934	-0.153937
TCGA-D5-6932-01A-11D-A91Z-36	chr1	37628001	39069000	1440	-0.130726
TCGA-D5-6932-01A-11D-A91Z-36	chr1	39069001	41344000	2244	-0.104704
TCGA-D5-6932-01A-11D-A91Z-36	chr1	41344001	42098000	748	-0.134283
TCGA-D5-6932-01A-11D-A91Z-36	chr1	42098001	44700000	2593	-0.117444
TCGA-D5-6932-01A-11D-A91Z-36	chr1	44700001	48587000	3845	-0.108862
TCGA-D5-6932-01A-11D-A91Z-36	chr1	48587001	50191000	1594	-0.163812
TCGA-D5-6932-01A-11D-A91Z-36	chr1	50191001	56623000	6412	-0.120086
