GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-6138-01A-11D-A91U-36	chr1	17001	1445000	654	-0.132396
TCGA-A6-6138-01A-11D-A91U-36	chr1	1445001	1497000	50	-1.376961
TCGA-A6-6138-01A-11D-A91U-36	chr1	1497001	1690000	178	-0.156546
TCGA-A6-6138-01A-11D-A91U-36	chr1	1692001	1744000	29	-1.331314
TCGA-A6-6138-01A-11D-A91U-36	chr1	1748001	5745000	3854	-0.159169
TCGA-A6-6138-01A-11D-A91U-36	chr1	5745001	12837000	7079	-0.140413
TCGA-A6-6138-01A-11D-A91U-36	chr1	12837001	12864000	27	0.369872
TCGA-A6-6138-01A-11D-A91U-36	chr1	12864001	13335000	84	-0.171104
TCGA-A6-6138-01A-11D-A91U-36	chr1	13338001	13366000	20	-1.196669
TCGA-A6-6138-01A-11D-A91U-36	chr1	13366001	14390000	1022	-0.166769
TCGA-A6-6138-01A-11D-A91U-36	chr1	14390001	16534000	2136	-0.143547
TCGA-A6-6138-01A-11D-A91U-36	chr1	16534001	16605000	39	-0.242166
TCGA-A6-6138-01A-11D-A91U-36	chr1	16605001	16649000	44	-0.342364
TCGA-A6-6138-01A-11D-A91U-36	chr1	16649001	16949000	160	-0.282431
TCGA-A6-6138-01A-11D-A91U-36	chr1	16949001	49041000	31827	-0.135346
TCGA-A6-6138-01A-11D-A91U-36	chr1	49041001	49103000	62	-0.792309
TCGA-A6-6138-01A-11D-A91U-36	chr1	49103001	49835000	729	-0.179753
TCGA-A6-6138-01A-11D-A91U-36	chr1	49835001	49878000	41	-0.784388
TCGA-A6-6138-01A-11D-A91U-36	chr1	49880001	53320000	3436	-0.141558
TCGA-A6-6138-01A-11D-A91U-36	chr1	53320001	55033000	1706	-0.126841
TCGA-A6-6138-01A-11D-A91U-36	chr1	55033001	59499000	4437	-0.143348
TCGA-A6-6138-01A-11D-A91U-36	chr1	59499001	62883000	3374	-0.134359
TCGA-A6-6138-01A-11D-A91U-36	chr1	62883001	64327000	1437	-0.159582
TCGA-A6-6138-01A-11D-A91U-36	chr1	64327001	68625000	4269	-0.137862
TCGA-A6-6138-01A-11D-A91U-36	chr1	68625001	77015000	8286	-0.181106
TCGA-A6-6138-01A-11D-A91U-36	chr1	77015001	79260000	2229	-0.149425
TCGA-A6-6138-01A-11D-A91U-36	chr1	79260001	83186000	3893	-0.192633
TCGA-A6-6138-01A-11D-A91U-36	chr1	83187001	89096000	5824	-0.139375
TCGA-A6-6138-01A-11D-A91U-36	chr1	89096001	93297000	4171	-0.138203
TCGA-A6-6138-01A-11D-A91U-36	chr1	93297001	95794000	2486	-0.128478
TCGA-A6-6138-01A-11D-A91U-36	chr1	95794001	99207000	3399	-0.183039
TCGA-A6-6138-01A-11D-A91U-36	chr1	99207001	101954000	2738	-0.147417
TCGA-A6-6138-01A-11D-A91U-36	chr1	101954001	106376000	4223	-0.197769
TCGA-A6-6138-01A-11D-A91U-36	chr1	106376001	147780000	16165	-0.135389
TCGA-A6-6138-01A-11D-A91U-36	chr1	147780001	158255000	8884	-0.076703
TCGA-A6-6138-01A-11D-A91U-36	chr1	158255001	169337000	10923	-0.082932
TCGA-A6-6138-01A-11D-A91U-36	chr1	169337001	169931000	592	-0.068510
TCGA-A6-6138-01A-11D-A91U-36	chr1	169931001	171452000	1515	-0.091842
TCGA-A6-6138-01A-11D-A91U-36	chr1	171452001	174732000	3248	-0.070033
TCGA-A6-6138-01A-11D-A91U-36	chr1	174732001	179887000	5123	-0.092259
TCGA-A6-6138-01A-11D-A91U-36	chr1	179887001	179896000	9	-0.535490
TCGA-A6-6138-01A-11D-A91U-36	chr1	179896001	186283000	6355	-0.073828
TCGA-A6-6138-01A-11D-A91U-36	chr1	186283001	188973000	2662	-0.126709
TCGA-A6-6138-01A-11D-A91U-36	chr1	188973001	192198000	3216	-0.141275
TCGA-A6-6138-01A-11D-A91U-36	chr1	192198001	193912000	1700	-0.087531
TCGA-A6-6138-01A-11D-A91U-36	chr1	193912001	195085000	1166	-0.131476
TCGA-A6-6138-01A-11D-A91U-36	chr1	195085001	200397000	5196	-0.111788
TCGA-A6-6138-01A-11D-A91U-36	chr1	200397001	215319000	14601	-0.074605
TCGA-A6-6138-01A-11D-A91U-36	chr1	215319001	215327000	8	-29.894611
TCGA-A6-6138-01A-11D-A91U-36	chr1	215327001	219076000	3731	-0.125251
TCGA-A6-6138-01A-11D-A91U-36	chr1	219076001	222342000	3239	-0.104339
TCGA-A6-6138-01A-11D-A91U-36	chr1	222342001	236266000	13624	-0.079887
TCGA-A6-6138-01A-11D-A91U-36	chr1	236266001	241966000	5672	-0.114113
TCGA-A6-6138-01A-11D-A91U-36	chr1	241966001	241992000	26	0.372397
TCGA-A6-6138-01A-11D-A91U-36	chr1	241992001	248931000	6713	-0.095212
TCGA-A6-6138-01A-11D-A91U-36	chr2	11001	86493000	85892	0.037613
TCGA-A6-6138-01A-11D-A91U-36	chr2	86493001	86557000	63	-0.486424
TCGA-A6-6138-01A-11D-A91U-36	chr2	86557001	87144000	338	0.066942
TCGA-A6-6138-01A-11D-A91U-36	chr2	87144001	87441000	103	0.561960
TCGA-A6-6138-01A-11D-A91U-36	chr2	87441001	87713000	67	0.613873
TCGA-A6-6138-01A-11D-A91U-36	chr2	87719001	89798000	1354	0.037165
TCGA-A6-6138-01A-11D-A91U-36	chr2	89798001	89871000	55	0.024230
TCGA-A6-6138-01A-11D-A91U-36	chr2	89871001	97195000	3317	0.052006
TCGA-A6-6138-01A-11D-A91U-36	chr2	97195001	97213000	18	0.154694
TCGA-A6-6138-01A-11D-A91U-36	chr2	97213001	181654000	81640	0.039789
TCGA-A6-6138-01A-11D-A91U-36	chr2	181654001	182530000	863	0.072088
TCGA-A6-6138-01A-11D-A91U-36	chr2	182530001	182598000	68	0.050216
TCGA-A6-6138-01A-11D-A91U-36	chr2	182598001	182672000	73	0.026432
TCGA-A6-6138-01A-11D-A91U-36	chr2	182672001	183648000	974	0.048132
TCGA-A6-6138-01A-11D-A91U-36	chr2	183648001	185169000	1516	0.024582
TCGA-A6-6138-01A-11D-A91U-36	chr2	185169001	185178000	9	0.049362
TCGA-A6-6138-01A-11D-A91U-36	chr2	185178001	185615000	430	0.044161
TCGA-A6-6138-01A-11D-A91U-36	chr2	185615001	187764000	2139	0.049064
TCGA-A6-6138-01A-11D-A91U-36	chr2	187764001	188425000	654	0.022017
TCGA-A6-6138-01A-11D-A91U-36	chr2	188425001	189221000	791	0.050355
TCGA-A6-6138-01A-11D-A91U-36	chr2	189221001	189540000	318	0.078780
TCGA-A6-6138-01A-11D-A91U-36	chr2	189540001	189558000	18	0.062233
TCGA-A6-6138-01A-11D-A91U-36	chr2	189558001	190420000	862	0.077055
TCGA-A6-6138-01A-11D-A91U-36	chr2	190420001	191838000	1412	0.088892
TCGA-A6-6138-01A-11D-A91U-36	chr2	191838001	192008000	170	0.069272
TCGA-A6-6138-01A-11D-A91U-36	chr2	192008001	193364000	1342	0.029966
TCGA-A6-6138-01A-11D-A91U-36	chr2	193364001	193373000	9	0.014126
TCGA-A6-6138-01A-11D-A91U-36	chr2	193373001	193419000	46	0.000042
TCGA-A6-6138-01A-11D-A91U-36	chr2	193419001	194486000	1051	0.021097
TCGA-A6-6138-01A-11D-A91U-36	chr2	194486001	194506000	19	-0.146773
TCGA-A6-6138-01A-11D-A91U-36	chr2	194506001	195118000	610	0.047139
TCGA-A6-6138-01A-11D-A91U-36	chr2	195118001	196275000	1151	0.074180
