GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
548c5359-f773-419d-909e-6811ae89f5af	1	62920	12779433	6487	-0.0019
548c5359-f773-419d-909e-6811ae89f5af	1	12792599	12822696	23	-0.5215
548c5359-f773-419d-909e-6811ae89f5af	1	12823233	15822848	1824	-0.0074
548c5359-f773-419d-909e-6811ae89f5af	1	15823420	15827706	8	-0.9895
548c5359-f773-419d-909e-6811ae89f5af	1	15827744	25276440	5685	-0.0008
548c5359-f773-419d-909e-6811ae89f5af	1	25277975	25319167	10	-0.6245
548c5359-f773-419d-909e-6811ae89f5af	1	25319693	109684893	52389	-0.0013
548c5359-f773-419d-909e-6811ae89f5af	1	109690352	109697556	13	-1.4316
548c5359-f773-419d-909e-6811ae89f5af	1	109702376	110834746	837	-0.0028
548c5359-f773-419d-909e-6811ae89f5af	1	110834943	110841332	35	-0.8353
548c5359-f773-419d-909e-6811ae89f5af	1	110841350	112147704	1076	-0.0069
548c5359-f773-419d-909e-6811ae89f5af	1	112153343	112154591	22	-0.472
548c5359-f773-419d-909e-6811ae89f5af	1	112154619	119575681	4736	0.001
548c5359-f773-419d-909e-6811ae89f5af	1	119579180	119579315	2	-1.1882
548c5359-f773-419d-909e-6811ae89f5af	1	119579520	121593930	420	0.0193
548c5359-f773-419d-909e-6811ae89f5af	1	121597150	143927887	130	0.2197
548c5359-f773-419d-909e-6811ae89f5af	1	143928045	152583051	2317	-0.0013
548c5359-f773-419d-909e-6811ae89f5af	1	152583230	152613762	31	-2.0091
548c5359-f773-419d-909e-6811ae89f5af	1	152613802	152789532	175	-0.0074
548c5359-f773-419d-909e-6811ae89f5af	1	152789570	152790191	9	-0.6793
548c5359-f773-419d-909e-6811ae89f5af	1	152790286	157508748	2514	-0.0093
548c5359-f773-419d-909e-6811ae89f5af	1	157512664	157513157	2	-1.2151
548c5359-f773-419d-909e-6811ae89f5af	1	157513483	161647612	2769	0.0042
548c5359-f773-419d-909e-6811ae89f5af	1	161647641	161680585	12	0.4779
548c5359-f773-419d-909e-6811ae89f5af	1	161680704	169247699	6005	0.0029
548c5359-f773-419d-909e-6811ae89f5af	1	169264736	169272528	7	0.6245
548c5359-f773-419d-909e-6811ae89f5af	1	169273163	174827267	3520	0.0014
548c5359-f773-419d-909e-6811ae89f5af	1	174827418	174832702	16	-0.7566
548c5359-f773-419d-909e-6811ae89f5af	1	174832716	191747585	11264	0.0003
548c5359-f773-419d-909e-6811ae89f5af	1	191748306	191750297	4	-0.9833
548c5359-f773-419d-909e-6811ae89f5af	1	191754630	196758720	3378	-0.0037
548c5359-f773-419d-909e-6811ae89f5af	1	196761905	196780051	24	0.4539
548c5359-f773-419d-909e-6811ae89f5af	1	196780087	238923086	28966	-0.0003
548c5359-f773-419d-909e-6811ae89f5af	1	238923728	238932730	7	-0.8186
548c5359-f773-419d-909e-6811ae89f5af	1	238934033	248930189	6864	0.0008
548c5359-f773-419d-909e-6811ae89f5af	2	12784	34466002	24089	-0.0022
548c5359-f773-419d-909e-6811ae89f5af	2	34474248	34502800	44	-0.4176
548c5359-f773-419d-909e-6811ae89f5af	2	34511446	52516787	13005	-0.0049
548c5359-f773-419d-909e-6811ae89f5af	2	52527330	52554157	32	0.5729
548c5359-f773-419d-909e-6811ae89f5af	2	52554188	87462096	22084	-0.0044
548c5359-f773-419d-909e-6811ae89f5af	2	87463778	87696853	46	-0.5217
548c5359-f773-419d-909e-6811ae89f5af	2	87725148	106263639	7309	-0.001
548c5359-f773-419d-909e-6811ae89f5af	2	106264257	106268901	11	-2.17
548c5359-f773-419d-909e-6811ae89f5af	2	106270799	111275965	2579	0.0105
548c5359-f773-419d-909e-6811ae89f5af	2	111278566	111430941	38	0.4362
548c5359-f773-419d-909e-6811ae89f5af	2	111438656	125684646	8829	-0.0021
548c5359-f773-419d-909e-6811ae89f5af	2	125694074	125694336	2	-2.1455
548c5359-f773-419d-909e-6811ae89f5af	2	125694355	183929673	35676	-0.0004
548c5359-f773-419d-909e-6811ae89f5af	2	183929787	183937714	16	-0.7585
548c5359-f773-419d-909e-6811ae89f5af	2	183943862	207490231	13666	-0.0035
548c5359-f773-419d-909e-6811ae89f5af	2	207490454	207494612	16	-0.7008
548c5359-f773-419d-909e-6811ae89f5af	2	207494752	212316597	3040	-0.002
548c5359-f773-419d-909e-6811ae89f5af	2	212321824	212327088	24	-0.8898
548c5359-f773-419d-909e-6811ae89f5af	2	212327101	241841244	18888	-0.005
548c5359-f773-419d-909e-6811ae89f5af	2	241973315	242092368	102	-0.9372
548c5359-f773-419d-909e-6811ae89f5af	2	242095460	242147305	24	0.0529
548c5359-f773-419d-909e-6811ae89f5af	3	20930	35639	17	-0.2524
548c5359-f773-419d-909e-6811ae89f5af	3	43533	86506	39	0.6511
548c5359-f773-419d-909e-6811ae89f5af	3	93308	6604856	5760	0.0083
548c5359-f773-419d-909e-6811ae89f5af	3	6609441	6611645	23	-0.7417
548c5359-f773-419d-909e-6811ae89f5af	3	6613391	47354111	27621	0.0021
548c5359-f773-419d-909e-6811ae89f5af	3	47358421	47363961	4	-1.0901
548c5359-f773-419d-909e-6811ae89f5af	3	47367722	61141148	8407	0.0017
548c5359-f773-419d-909e-6811ae89f5af	3	61141532	61142344	3	-1.1154
548c5359-f773-419d-909e-6811ae89f5af	3	61145227	99218119	21826	0.0052
548c5359-f773-419d-909e-6811ae89f5af	3	99218940	99230470	38	-0.3401
548c5359-f773-419d-909e-6811ae89f5af	3	99230577	119631498	12623	0.0008
548c5359-f773-419d-909e-6811ae89f5af	3	119632551	119635091	5	-1.1025
548c5359-f773-419d-909e-6811ae89f5af	3	119636564	130057015	6086	0.0016
548c5359-f773-419d-909e-6811ae89f5af	3	130057833	130087393	35	0.4146
548c5359-f773-419d-909e-6811ae89f5af	3	130088081	162405578	19995	0.0019
548c5359-f773-419d-909e-6811ae89f5af	3	162419812	162424917	14	-2.0605
548c5359-f773-419d-909e-6811ae89f5af	3	162426460	187174120	15132	0.0028
548c5359-f773-419d-909e-6811ae89f5af	3	187176980	187196190	12	-0.7015
548c5359-f773-419d-909e-6811ae89f5af	3	187196356	193160113	4355	0.0047
548c5359-f773-419d-909e-6811ae89f5af	3	193160173	193165114	19	-1.3487
548c5359-f773-419d-909e-6811ae89f5af	3	193168646	195715711	1503	0.0022
548c5359-f773-419d-909e-6811ae89f5af	3	195719726	195747311	22	-0.4953
548c5359-f773-419d-909e-6811ae89f5af	3	195747892	195934679	81	0.0201
548c5359-f773-419d-909e-6811ae89f5af	3	195963975	195991894	7	-0.8654
548c5359-f773-419d-909e-6811ae89f5af	3	195998433	198169114	1076	0.0079
548c5359-f773-419d-909e-6811ae89f5af	3	198169131	198169247	3	-1.1856
548c5359-f773-419d-909e-6811ae89f5af	4	68929	5164024	2432	0.0013
548c5359-f773-419d-909e-6811ae89f5af	4	5164348	5177975	7	-0.9853
548c5359-f773-419d-909e-6811ae89f5af	4	5179462	9469529	2721	0.0043
548c5359-f773-419d-909e-6811ae89f5af	4	9477560	9477699	2	-1.4117
548c5359-f773-419d-909e-6811ae89f5af	4	9484440	10208766	539	0.0143
548c5359-f773-419d-909e-6811ae89f5af	4	10221792	10229874	28	-1.6827
548c5359-f773-419d-909e-6811ae89f5af	4	10232590	16410933	4889	0.0014
548c5359-f773-419d-909e-6811ae89f5af	4	16411677	16428941	12	-1.2087
548c5359-f773-419d-909e-6811ae89f5af	4	16429464	34777432	12086	-0.0013
548c5359-f773-419d-909e-6811ae89f5af	4	34784878	34823103	38	0.7038
548c5359-f773-419d-909e-6811ae89f5af	4	34828250	36012790	776	-0.0086
548c5359-f773-419d-909e-6811ae89f5af	4	36013359	36013896	4	-0.9071
548c5359-f773-419d-909e-6811ae89f5af	4	36015896	63827261	15776	-0.0007
548c5359-f773-419d-909e-6811ae89f5af	4	63828222	63850713	30	-0.3925
548c5359-f773-419d-909e-6811ae89f5af	4	63851308	68394833	2854	0.0073
548c5359-f773-419d-909e-6811ae89f5af	4	68395346	68422424	6	-0.9024
548c5359-f773-419d-909e-6811ae89f5af	4	68429081	68591984	63	-0.1908
548c5359-f773-419d-909e-6811ae89f5af	4	68592087	87843798	11928	-0.0022
548c5359-f773-419d-909e-6811ae89f5af	4	87843817	87849248	11	0.5347
548c5359-f773-419d-909e-6811ae89f5af	4	87849407	103294549	9101	0.003
548c5359-f773-419d-909e-6811ae89f5af	4	103296943	103296945	3	-1.2641
548c5359-f773-419d-909e-6811ae89f5af	4	103298947	114586468	6916	0.001
548c5359-f773-419d-909e-6811ae89f5af	4	114587010	114589298	3	-1.1344
548c5359-f773-419d-909e-6811ae89f5af	4	114593270	137171085	13011	0.0009
548c5359-f773-419d-909e-6811ae89f5af	4	137171266	137172260	13	-2.722
548c5359-f773-419d-909e-6811ae89f5af	4	137173804	156384562	11873	-0.0027
548c5359-f773-419d-909e-6811ae89f5af	4	156384637	156384770	3	-1.1508
548c5359-f773-419d-909e-6811ae89f5af	4	156386889	188515761	21080	0.0014
548c5359-f773-419d-909e-6811ae89f5af	4	188515932	188516256	8	-0.7611
548c5359-f773-419d-909e-6811ae89f5af	4	188518718	190106768	924	0.0007
548c5359-f773-419d-909e-6811ae89f5af	5	15532	12791608	10187	-0.0017
548c5359-f773-419d-909e-6811ae89f5af	5	12800777	12838421	15	-1.0345
548c5359-f773-419d-909e-6811ae89f5af	5	12849089	12998813	54	0.0135
548c5359-f773-419d-909e-6811ae89f5af	5	13005102	13014395	3	-1.3915
548c5359-f773-419d-909e-6811ae89f5af	5	13014933	13043119	12	-0.3951
548c5359-f773-419d-909e-6811ae89f5af	5	13079786	44264976	19596	-0.0003
548c5359-f773-419d-909e-6811ae89f5af	5	44264987	44266889	2	-1.5655
548c5359-f773-419d-909e-6811ae89f5af	5	44268885	46271006	796	-0.0087
548c5359-f773-419d-909e-6811ae89f5af	5	46271828	46273400	6	-2.5005
