GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	62920	1875233	304	0.2603
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	1877715	16542868	8335	0.0252
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	16544783	16855942	56	-0.29
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	16863509	26712799	5961	0.0342
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	26714981	26840944	36	-0.2875
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	26844395	48466848	12079	0.0229
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	48467100	49846949	759	-0.0103
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	49848429	50025526	60	-0.2048
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	50026796	72302815	15149	0.0055
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	72303233	72345450	45	-1.0309
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	72345465	75585159	1929	-0.0363
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	75589078	75589169	2	-1.8336
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	75593824	83039014	4986	-0.0245
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	83039964	101806926	12040	0.0063
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	101807549	105470132	1974	-0.0303
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	105470754	105479753	18	0.5128
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	105481433	109690352	2633	-0.0037
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	109690415	109697556	12	2.3515
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	109702376	119979978	7005	0.0179
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	119981279	145901901	371	0.1471
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	145902527	152787202	2389	0.0357
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	152789447	152796224	37	0.5408
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	152801429	169017136	11070	0.0208
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	169017254	169017973	3	-1.3361
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	169020148	171441908	1706	0.02
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	171444072	171444111	2	-1.5124
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	171448291	183927575	8231	0.0121
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	183928147	196769506	8430	-0.0189
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	196769638	196843377	53	0.2669
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	196843400	196846661	2	3.8259
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	196847600	215682652	12661	0.0188
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	215684851	215688763	14	-0.9961
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	215692667	221718560	4310	-0.012
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	221719057	248446755	18588	0.0162
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	248447206	248477891	12	-0.7825
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	1	248520099	248930189	188	0.0554
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	12784	7990754	6301	-0.0105
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	7991449	7996487	7	-1.0323
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	7999793	12948620	3620	0.0155
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	12948901	12953412	7	-1.0572
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	12953840	34295406	14045	0.0064
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	34298911	34300513	2	-1.5336
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	34300900	34474248	96	-0.0205
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	34476327	34512096	46	0.5987
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	34512489	35750907	871	-0.0335
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	35752724	35762850	6	-0.8684
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	35762881	42471457	5096	-0.0052
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	42474144	45875364	2405	-0.228
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	45880232	50743154	3401	-0.0003
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	50743278	50749714	11	-1.0178
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	50750841	52527423	1206	-0.0381
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	52527590	52527743	3	-1.6313
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	52531615	52554404	33	0.6195
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	52560811	76197215	15225	0.0079
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	76197470	83824258	4988	-0.0236
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	83825750	88909391	2424	0.0254
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	88911940	94675975	320	0.1471
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	94680914	111341356	9049	0.0094
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	111351762	111492794	41	0.2682
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	111495917	118982714	4561	0.0073
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	118986226	118986990	2	1.5068
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	118987432	126391562	4665	-0.0068
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	126394657	132544794	3282	0.0323
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	132545002	134306829	1353	-0.0156
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	134308905	134309650	3	-1.3311
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	134310436	137224578	1832	0.0023
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	137226077	137226691	5	-0.8437
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	137227715	147868962	6405	-0.0182
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	147873966	148176712	126	-0.2264
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	148177249	151048822	1833	-0.0047
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	151048899	151052434	3	-1.3405
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	151052707	185555011	21378	-0.0005
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	185558480	185917231	167	0.1893
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	185918030	212321824	15562	-0.0013
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	212322478	212325660	14	-1.0022
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	212325966	235606125	15107	0.0018
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	235606181	235674502	54	-0.2481
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	235676266	241546649	3666	0.0102
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	241546809	241547279	4	-1.1826
c8d6bc6e-fd7a-453c-95ab-cfd9641d8667	2	241547397	242147305	179	0.071
