GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	3301765	6138592	1890	-0.0318
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	6138685	62164690	29844	-0.0045
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	62167811	83722674	12440	-0.0453
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	83723206	95323270	7001	-0.0156
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	95323808	106366591	5811	-0.0553
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	106367122	180762465	26059	-0.0153
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	180763337	201298603	11844	-0.0497
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	201298906	214960698	8711	-0.016
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	214960983	230043339	8839	-0.0442
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	230047587	231038685	766	-0.8304
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	231041819	233697482	1754	-0.0129
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	233699953	233845850	119	-0.7722
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	233850241	233898050	45	0.4813
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	233898433	235658550	1067	-0.0058
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	235661450	237836670	1543	-0.7848
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	237837567	238014715	137	0.4931
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	238019219	242024534	2840	-0.0364
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	1	242027428	247650984	2697	-0.7807
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	480597	8926699	4982	-0.0691
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	8930671	129101549	59944	-0.0429
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	129103818	144098911	7365	-0.0633
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	144099711	144231925	57	-0.8465
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	144235634	159074248	8113	-0.0726
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	2	159079489	241537572	45414	0.451
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	2170634	29459343	15380	-0.0371
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	29459471	55577424	14234	-0.0197
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	55581137	55581232	2	-1.9594
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	55581687	67352024	7000	-0.016
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	67354407	116232006	23906	-0.0472
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	116233988	116925391	547	-0.8075
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	116929380	174983342	29913	-0.0419
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	174984095	175083892	54	-0.7518
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	3	175085607	197812401	11184	-0.0341
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	4	1059384	27924654	16191	-0.0305
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	4	27924673	35662157	4277	-0.0728
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	4	35663306	57635246	10224	-0.026
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	4	57639758	182509470	65632	-0.0535
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	4	182509530	187842528	2041	-0.004
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	5	913983	126162592	64373	-0.0487
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	5	126167550	128181910	1110	-0.7789
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	5	128182987	151555858	13377	-0.0301
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	5	151556312	165488249	8489	-0.0604
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	5	165488276	180934240	8931	-0.0309
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	6	1011760	19582459	12537	-0.0275
fd7e8f54-6065-4d9a-a5b6-f8c97849085b	6	19582862	19640208	32	-0.7145
