GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
15822312-e361-406b-91c1-1558028f72c9	1	62920	25256850	14024	-0.0177
15822312-e361-406b-91c1-1558028f72c9	1	25266637	25320455	24	0.5688
15822312-e361-406b-91c1-1558028f72c9	1	25336819	25850237	217	-0.023
15822312-e361-406b-91c1-1558028f72c9	1	25855944	29675607	1673	-0.5937
15822312-e361-406b-91c1-1558028f72c9	1	29675805	30185759	405	-0.7543
15822312-e361-406b-91c1-1558028f72c9	1	30186325	39442550	5274	-0.6336
15822312-e361-406b-91c1-1558028f72c9	1	39442758	58241439	11413	-0.013
15822312-e361-406b-91c1-1558028f72c9	1	58244223	63007702	3397	0.0325
15822312-e361-406b-91c1-1558028f72c9	1	63008029	72303233	6352	-0.0003
15822312-e361-406b-91c1-1558028f72c9	1	72303253	72345465	45	-1.0673
15822312-e361-406b-91c1-1558028f72c9	1	72346221	83136020	7006	-0.0174
15822312-e361-406b-91c1-1558028f72c9	1	83137674	96423702	8648	0.0202
15822312-e361-406b-91c1-1558028f72c9	1	96423758	105470754	5299	-0.0217
15822312-e361-406b-91c1-1558028f72c9	1	105476583	105479738	16	0.6911
15822312-e361-406b-91c1-1558028f72c9	1	105479753	109690352	2638	0.0222
15822312-e361-406b-91c1-1558028f72c9	1	109690415	109697556	12	1.4446
15822312-e361-406b-91c1-1558028f72c9	1	109702376	112147704	1950	-0.0128
15822312-e361-406b-91c1-1558028f72c9	1	112153343	112153686	5	-1.0852
15822312-e361-406b-91c1-1558028f72c9	1	112153851	143748012	5282	0.0064
15822312-e361-406b-91c1-1558028f72c9	1	143748074	143942271	30	0.4321
15822312-e361-406b-91c1-1558028f72c9	1	144432083	166302053	11571	0.0033
15822312-e361-406b-91c1-1558028f72c9	1	166302062	174859618	5839	0.0379
15822312-e361-406b-91c1-1558028f72c9	1	174864833	189838628	10018	0.0055
15822312-e361-406b-91c1-1558028f72c9	1	189838641	189840244	4	-1.0071
15822312-e361-406b-91c1-1558028f72c9	1	189840280	196780705	4624	0.009
15822312-e361-406b-91c1-1558028f72c9	1	196780731	196820637	17	0.4841
15822312-e361-406b-91c1-1558028f72c9	1	196820704	199138574	1391	-0.0054
15822312-e361-406b-91c1-1558028f72c9	1	199142235	199143883	8	-0.8168
15822312-e361-406b-91c1-1558028f72c9	1	199144712	226905620	18851	0.0092
15822312-e361-406b-91c1-1558028f72c9	1	226908087	227013564	67	-0.7
15822312-e361-406b-91c1-1558028f72c9	1	227015941	232562965	3751	0.0164
15822312-e361-406b-91c1-1558028f72c9	1	232565026	232567952	2	-1.5194
15822312-e361-406b-91c1-1558028f72c9	1	232568363	248477891	11581	0.0049
15822312-e361-406b-91c1-1558028f72c9	1	248520099	248697642	78	0.2474
15822312-e361-406b-91c1-1558028f72c9	1	248702256	248930189	110	0.0422
15822312-e361-406b-91c1-1558028f72c9	2	12784	7980369	6292	0.0189
15822312-e361-406b-91c1-1558028f72c9	2	7982579	8019980	36	0.2302
15822312-e361-406b-91c1-1558028f72c9	2	8020796	13868546	4170	0.0561
15822312-e361-406b-91c1-1558028f72c9	2	13878863	14963824	842	0.1213
15822312-e361-406b-91c1-1558028f72c9	2	14963848	18768030	2863	0.0246
15822312-e361-406b-91c1-1558028f72c9	2	18770236	18890623	85	-0.2446
15822312-e361-406b-91c1-1558028f72c9	2	18891079	34466002	9808	0.0507
15822312-e361-406b-91c1-1558028f72c9	2	34474248	34511990	46	0.5859
15822312-e361-406b-91c1-1558028f72c9	2	34512096	35750907	872	0.0602
15822312-e361-406b-91c1-1558028f72c9	2	35752724	35762850	6	-1.0235
15822312-e361-406b-91c1-1558028f72c9	2	35762881	47241816	8622	0.0674
15822312-e361-406b-91c1-1558028f72c9	2	47242572	53038991	3955	0.0219
15822312-e361-406b-91c1-1558028f72c9	2	53040058	54056697	737	0.0565
15822312-e361-406b-91c1-1558028f72c9	2	54056734	55351240	1005	0.1264
15822312-e361-406b-91c1-1558028f72c9	2	55352903	87286164	19903	0.053
15822312-e361-406b-91c1-1558028f72c9	2	87287256	87295819	3	-1.2692
15822312-e361-406b-91c1-1558028f72c9	2	87299357	89296555	722	0.0586
15822312-e361-406b-91c1-1558028f72c9	2	89305244	89933871	6	-0.2552
15822312-e361-406b-91c1-1558028f72c9	2	89936810	90228255	122	-0.7776
15822312-e361-406b-91c1-1558028f72c9	2	90230139	140792514	27104	0.0397
15822312-e361-406b-91c1-1558028f72c9	2	140799772	140800456	2	-1.9134
15822312-e361-406b-91c1-1558028f72c9	2	140803121	146773016	3610	0.0091
15822312-e361-406b-91c1-1558028f72c9	2	146773187	152484220	3571	0.062
15822312-e361-406b-91c1-1558028f72c9	2	152486038	155474737	1768	0.0334
15822312-e361-406b-91c1-1558028f72c9	2	155476563	170957099	9416	0.0794
15822312-e361-406b-91c1-1558028f72c9	2	170959782	170993102	15	-0.5505
15822312-e361-406b-91c1-1558028f72c9	2	171002622	176887864	3760	0.0736
15822312-e361-406b-91c1-1558028f72c9	2	176888283	177533751	407	0.1634
15822312-e361-406b-91c1-1558028f72c9	2	177533819	183149719	3540	0.0644
15822312-e361-406b-91c1-1558028f72c9	2	183150361	185191968	1302	0.014
15822312-e361-406b-91c1-1558028f72c9	2	185196208	198317561	7307	0.0756
15822312-e361-406b-91c1-1558028f72c9	2	198317912	199170502	550	0.1696
15822312-e361-406b-91c1-1558028f72c9	2	199170536	208721514	5815	0.0797
15822312-e361-406b-91c1-1558028f72c9	2	208724655	212321824	2250	0.03
15822312-e361-406b-91c1-1558028f72c9	2	212322478	212327101	24	-0.7459
15822312-e361-406b-91c1-1558028f72c9	2	212327402	221821124	6166	0.0286
15822312-e361-406b-91c1-1558028f72c9	2	221821304	235259182	8706	0.0665
15822312-e361-406b-91c1-1558028f72c9	2	235259490	242147305	4150	0.0136
15822312-e361-406b-91c1-1558028f72c9	3	20930	2561833	2194	0.2827
15822312-e361-406b-91c1-1558028f72c9	3	2563163	25454017	16943	0.3443
15822312-e361-406b-91c1-1558028f72c9	3	25454339	26559609	876	0.3028
15822312-e361-406b-91c1-1558028f72c9	3	26560269	26570470	11	-1.25
15822312-e361-406b-91c1-1558028f72c9	3	26570536	28768950	1440	0.3474
15822312-e361-406b-91c1-1558028f72c9	3	28770519	28780621	10	-0.2052
15822312-e361-406b-91c1-1558028f72c9	3	28783166	37935926	6163	0.3664
15822312-e361-406b-91c1-1558028f72c9	3	37940617	37945437	18	-0.7368
15822312-e361-406b-91c1-1558028f72c9	3	37945615	46804346	5578	0.3615
15822312-e361-406b-91c1-1558028f72c9	3	46804414	56136350	4928	0.3244
15822312-e361-406b-91c1-1558028f72c9	3	56138010	68697013	9649	0.3681
15822312-e361-406b-91c1-1558028f72c9	3	68697108	68698262	14	-0.6815
15822312-e361-406b-91c1-1558028f72c9	3	68699607	75450463	4902	0.3443
15822312-e361-406b-91c1-1558028f72c9	3	75451613	75853316	99	0.1015
15822312-e361-406b-91c1-1558028f72c9	3	75853758	80195265	2557	0.3526
15822312-e361-406b-91c1-1558028f72c9	3	80195631	81254910	601	0.4379
15822312-e361-406b-91c1-1558028f72c9	3	81255187	89337896	4467	0.3374
15822312-e361-406b-91c1-1558028f72c9	3	89337951	89371338	56	-0.4845
15822312-e361-406b-91c1-1558028f72c9	3	89376664	98888689	3020	0.3228
15822312-e361-406b-91c1-1558028f72c9	3	98890781	103969556	2910	0.3658
15822312-e361-406b-91c1-1558028f72c9	3	103973280	104946111	722	0.3129
15822312-e361-406b-91c1-1558028f72c9	3	104946630	130041779	15322	-0.0498
15822312-e361-406b-91c1-1558028f72c9	3	130044016	130087393	39	-1.0865
15822312-e361-406b-91c1-1558028f72c9	3	130088081	158632329	17662	-0.0496
15822312-e361-406b-91c1-1558028f72c9	3	158633095	158633756	2	-1.7725
15822312-e361-406b-91c1-1558028f72c9	3	158641083	162218151	2241	-0.0524
15822312-e361-406b-91c1-1558028f72c9	3	162218190	162218668	2	-1.6117
15822312-e361-406b-91c1-1558028f72c9	3	162225922	162405578	90	-0.0125
15822312-e361-406b-91c1-1558028f72c9	3	162419812	162424917	14	-1.3627
15822312-e361-406b-91c1-1558028f72c9	3	162426460	162794869	259	-0.0419
15822312-e361-406b-91c1-1558028f72c9	3	162794951	162908207	69	0.4947
15822312-e361-406b-91c1-1558028f72c9	3	162908784	195548576	20667	-0.0364
15822312-e361-406b-91c1-1558028f72c9	3	195549253	195752877	52	-0.6399
15822312-e361-406b-91c1-1558028f72c9	3	195754940	198169247	1163	-0.0433
15822312-e361-406b-91c1-1558028f72c9	4	68929	3876063	1567	0.5909
15822312-e361-406b-91c1-1558028f72c9	4	3877891	3914425	10	-0.0594
15822312-e361-406b-91c1-1558028f72c9	4	3915215	7003278	2294	0.5694
15822312-e361-406b-91c1-1558028f72c9	4	7004814	10208766	1835	0.2984
15822312-e361-406b-91c1-1558028f72c9	4	10212536	10228870	20	0.9286
15822312-e361-406b-91c1-1558028f72c9	4	10228994	10229188	4	0.1549
15822312-e361-406b-91c1-1558028f72c9	4	10229279	10233644	12	0.8105
15822312-e361-406b-91c1-1558028f72c9	4	10234518	10390730	172	0.3052
15822312-e361-406b-91c1-1558028f72c9	4	10391530	10399044	15	-0.5775
15822312-e361-406b-91c1-1558028f72c9	4	10401094	10929918	397	0.3884
15822312-e361-406b-91c1-1558028f72c9	4	10929964	10998806	79	0.2228
15822312-e361-406b-91c1-1558028f72c9	4	10998893	12149839	994	0.3652
15822312-e361-406b-91c1-1558028f72c9	4	12152884	15180225	2326	0.2935
15822312-e361-406b-91c1-1558028f72c9	4	15180261	17288305	1556	0.3494
15822312-e361-406b-91c1-1558028f72c9	4	17288738	23085815	3862	-0.0824
15822312-e361-406b-91c1-1558028f72c9	4	23086358	25405734	1681	-0.0336
15822312-e361-406b-91c1-1558028f72c9	4	25406039	34777432	5893	-0.0944
15822312-e361-406b-91c1-1558028f72c9	4	34784878	34823103	38	-0.5827
15822312-e361-406b-91c1-1558028f72c9	4	34828250	53690405	10096	-0.0689
15822312-e361-406b-91c1-1558028f72c9	4	53693073	60395204	4519	0.3111
15822312-e361-406b-91c1-1558028f72c9	4	60403203	63280986	1631	-0.1117
15822312-e361-406b-91c1-1558028f72c9	4	63281375	63286195	3	-1.303
15822312-e361-406b-91c1-1558028f72c9	4	63288849	63293751	5	-0.4444
15822312-e361-406b-91c1-1558028f72c9	4	63294605	63828222	303	-0.0783
15822312-e361-406b-91c1-1558028f72c9	4	63831751	63840033	19	-0.5349
15822312-e361-406b-91c1-1558028f72c9	4	63841863	63842540	8	-1.8444
15822312-e361-406b-91c1-1558028f72c9	4	63850713	68494770	2871	-0.0856
15822312-e361-406b-91c1-1558028f72c9	4	68501424	68663241	72	0.2609
15822312-e361-406b-91c1-1558028f72c9	4	68671434	129682728	36859	-0.0528
15822312-e361-406b-91c1-1558028f72c9	4	129684381	131130725	849	-0.0851
15822312-e361-406b-91c1-1558028f72c9	4	131131775	131151414	10	-0.8245
15822312-e361-406b-91c1-1558028f72c9	4	131153615	137014513	3110	-0.1075
15822312-e361-406b-91c1-1558028f72c9	4	137014782	151868241	8968	-0.0575
15822312-e361-406b-91c1-1558028f72c9	4	151868634	151871415	13	-0.9763
15822312-e361-406b-91c1-1558028f72c9	4	151871739	168605860	10785	-0.0646
15822312-e361-406b-91c1-1558028f72c9	4	168608651	171448195	1773	-0.6805
15822312-e361-406b-91c1-1558028f72c9	4	171453733	171459811	14	0.3203
15822312-e361-406b-91c1-1558028f72c9	4	171460247	172066777	393	-0.6981
15822312-e361-406b-91c1-1558028f72c9	4	172067997	172068382	12	0.1825
15822312-e361-406b-91c1-1558028f72c9	4	172074828	175986729	2218	-0.6696
15822312-e361-406b-91c1-1558028f72c9	4	175993085	185374981	6675	-0.7453
15822312-e361-406b-91c1-1558028f72c9	4	185377704	190106768	3158	-0.6922
15822312-e361-406b-91c1-1558028f72c9	5	15532	2123871	1103	0.0291
15822312-e361-406b-91c1-1558028f72c9	5	2125216	8219246	5441	-0.0386
15822312-e361-406b-91c1-1558028f72c9	5	8219828	12791608	3648	0.0236
15822312-e361-406b-91c1-1558028f72c9	5	12800777	12819964	10	0.7666
15822312-e361-406b-91c1-1558028f72c9	5	12824299	21376735	5467	0.0166
15822312-e361-406b-91c1-1558028f72c9	5	21377730	21377744	2	-1.6897
15822312-e361-406b-91c1-1558028f72c9	5	21385957	21451168	46	-0.0583
15822312-e361-406b-91c1-1558028f72c9	5	21451855	21451889	2	-2.2091
15822312-e361-406b-91c1-1558028f72c9	5	21452329	24572733	1765	0.0105
15822312-e361-406b-91c1-1558028f72c9	5	24576854	24577060	2	-1.6078
15822312-e361-406b-91c1-1558028f72c9	5	24577260	46334235	13210	0.0196
15822312-e361-406b-91c1-1558028f72c9	5	46334777	58033703	5071	-0.0413
15822312-e361-406b-91c1-1558028f72c9	5	58033756	58042530	28	0.5278
15822312-e361-406b-91c1-1558028f72c9	5	58044246	90872194	19076	-0.0413
15822312-e361-406b-91c1-1558028f72c9	5	90872724	99833420	5017	-0.6218
15822312-e361-406b-91c1-1558028f72c9	5	99833565	118366660	12336	-0.6765
15822312-e361-406b-91c1-1558028f72c9	5	118367745	119548376	756	-0.0442
15822312-e361-406b-91c1-1558028f72c9	5	119551461	120716074	744	-0.6597
15822312-e361-406b-91c1-1558028f72c9	5	120719635	121708909	657	-0.0255
15822312-e361-406b-91c1-1558028f72c9	5	121710417	122466697	475	-0.6462
15822312-e361-406b-91c1-1558028f72c9	5	122467823	124647590	1455	-0.0189
15822312-e361-406b-91c1-1558028f72c9	5	124652370	124663585	7	-0.587
15822312-e361-406b-91c1-1558028f72c9	5	124665513	124848696	110	-0.0075
15822312-e361-406b-91c1-1558028f72c9	5	124850980	125813665	714	0.1891
15822312-e361-406b-91c1-1558028f72c9	5	125819016	128530885	1642	0.005
15822312-e361-406b-91c1-1558028f72c9	5	128535893	133483654	2750	-0.0321
15822312-e361-406b-91c1-1558028f72c9	5	133485252	140758059	4267	0.0172
15822312-e361-406b-91c1-1558028f72c9	5	140758464	141444562	298	-0.5094
15822312-e361-406b-91c1-1558028f72c9	5	141447667	150128981	5896	0.0287
15822312-e361-406b-91c1-1558028f72c9	5	150129548	158908470	6082	-0.003
15822312-e361-406b-91c1-1558028f72c9	5	158912096	163353108	2868	0.0313
15822312-e361-406b-91c1-1558028f72c9	5	163353785	171970542	6219	-0.0138
15822312-e361-406b-91c1-1558028f72c9	5	171970845	176033084	2995	0.0251
15822312-e361-406b-91c1-1558028f72c9	5	176038686	176042504	2	-2.2593
15822312-e361-406b-91c1-1558028f72c9	5	176043321	181363319	2710	-0.0096
15822312-e361-406b-91c1-1558028f72c9	6	149661	265143	107	-0.0602
15822312-e361-406b-91c1-1558028f72c9	6	267622	290598	11	-0.6146
15822312-e361-406b-91c1-1558028f72c9	6	291082	4786926	3708	-0.0077
15822312-e361-406b-91c1-1558028f72c9	6	4787266	4787562	2	-2.0176
15822312-e361-406b-91c1-1558028f72c9	6	4789025	18788547	10730	-0.0176
15822312-e361-406b-91c1-1558028f72c9	6	18789526	18789733	2	-2.1818
15822312-e361-406b-91c1-1558028f72c9	6	18791200	29869410	7092	-0.0349
15822312-e361-406b-91c1-1558028f72c9	6	29869411	30003229	83	-0.3444
15822312-e361-406b-91c1-1558028f72c9	6	30003771	31309909	595	0.0105
15822312-e361-406b-91c1-1558028f72c9	6	31313046	31366162	23	0.6114
15822312-e361-406b-91c1-1558028f72c9	6	31366700	32486746	491	0.033
15822312-e361-406b-91c1-1558028f72c9	6	32488906	32634330	48	0.4938
15822312-e361-406b-91c1-1558028f72c9	6	32634492	33970222	813	-0.0323
15822312-e361-406b-91c1-1558028f72c9	6	33970966	33974928	7	-2.2091
15822312-e361-406b-91c1-1558028f72c9	6	33976809	45762067	7424	-0.0291
15822312-e361-406b-91c1-1558028f72c9	6	45762451	48344492	1796	0.0337
15822312-e361-406b-91c1-1558028f72c9	6	48344516	51319914	1681	-0.0313
15822312-e361-406b-91c1-1558028f72c9	6	51321090	54066582	1994	0.0268
15822312-e361-406b-91c1-1558028f72c9	6	54066621	54067057	3	-1.0708
15822312-e361-406b-91c1-1558028f72c9	6	54070550	57055273	1842	0.0113
15822312-e361-406b-91c1-1558028f72c9	6	57057255	61730375	856	-0.0813
15822312-e361-406b-91c1-1558028f72c9	6	61733846	61744817	11	-1.2408
15822312-e361-406b-91c1-1558028f72c9	6	61749646	66295080	2621	-0.0026
15822312-e361-406b-91c1-1558028f72c9	6	66298369	66338736	57	-0.7361
15822312-e361-406b-91c1-1558028f72c9	6	66339513	68966271	1841	-0.0429
15822312-e361-406b-91c1-1558028f72c9	6	68966454	70763935	1112	0.0079
15822312-e361-406b-91c1-1558028f72c9	6	70765327	70765599	2	-1.4992
15822312-e361-406b-91c1-1558028f72c9	6	70765652	78253172	4823	-0.0199
15822312-e361-406b-91c1-1558028f72c9	6	78259348	78316279	95	-0.2876
15822312-e361-406b-91c1-1558028f72c9	6	78316427	89190656	6782	0.0016
15822312-e361-406b-91c1-1558028f72c9	6	89192332	103290164	8711	-0.0423
15822312-e361-406b-91c1-1558028f72c9	6	103290209	103311850	38	0.6284
15822312-e361-406b-91c1-1558028f72c9	6	103311950	125809025	13858	-0.0132
15822312-e361-406b-91c1-1558028f72c9	6	125809502	145212840	12502	0.0095
15822312-e361-406b-91c1-1558028f72c9	6	145216794	154639748	6647	-0.0153
15822312-e361-406b-91c1-1558028f72c9	6	154642532	154645133	4	-1.0592
15822312-e361-406b-91c1-1558028f72c9	6	154650798	162300775	5280	-0.015
15822312-e361-406b-91c1-1558028f72c9	6	162301236	162357969	63	-0.6576
15822312-e361-406b-91c1-1558028f72c9	6	162361829	166653059	3305	-0.0575
15822312-e361-406b-91c1-1558028f72c9	6	166653737	168995986	1462	0.0069
15822312-e361-406b-91c1-1558028f72c9	6	168996732	170741917	1061	-0.0659
15822312-e361-406b-91c1-1558028f72c9	7	43355	7023356	3505	0.3596
15822312-e361-406b-91c1-1558028f72c9	7	7024572	8954288	1737	0.4513
15822312-e361-406b-91c1-1558028f72c9	7	8956649	11739246	2207	0.3723
15822312-e361-406b-91c1-1558028f72c9	7	11739258	18974579	5797	0.4215
15822312-e361-406b-91c1-1558028f72c9	7	18974958	19376697	515	0.3064
15822312-e361-406b-91c1-1558028f72c9	7	19376792	20843650	1062	0.4421
15822312-e361-406b-91c1-1558028f72c9	7	20843679	21926012	845	0.373
15822312-e361-406b-91c1-1558028f72c9	7	21926501	21939899	4	-0.6841
15822312-e361-406b-91c1-1558028f72c9	7	21941155	22395161	392	0.4342
15822312-e361-406b-91c1-1558028f72c9	7	22395853	22405051	6	-0.1906
15822312-e361-406b-91c1-1558028f72c9	7	22405287	22728953	241	0.4418
15822312-e361-406b-91c1-1558028f72c9	7	22729577	24282515	1116	0.3499
15822312-e361-406b-91c1-1558028f72c9	7	24282706	29687854	4045	0.4296
15822312-e361-406b-91c1-1558028f72c9	7	29688032	38238544	5897	0.3975
15822312-e361-406b-91c1-1558028f72c9	7	38239007	41101358	1934	0.4344
15822312-e361-406b-91c1-1558028f72c9	7	41103346	55432952	10171	0.3722
15822312-e361-406b-91c1-1558028f72c9	7	55435616	70954832	5156	0.3327
15822312-e361-406b-91c1-1558028f72c9	7	70955452	70961155	3	-1.473
15822312-e361-406b-91c1-1558028f72c9	7	70963257	73439787	1235	0.3348
15822312-e361-406b-91c1-1558028f72c9	7	73444153	88693266	8627	0.402
15822312-e361-406b-91c1-1558028f72c9	7	88695464	103519842	8279	0.3712
15822312-e361-406b-91c1-1558028f72c9	7	103519895	116797497	8556	0.398
15822312-e361-406b-91c1-1558028f72c9	7	116797528	119054283	1304	0.4636
15822312-e361-406b-91c1-1558028f72c9	7	119059247	126404920	4380	0.3928
15822312-e361-406b-91c1-1558028f72c9	7	126405428	126406822	13	1.169
15822312-e361-406b-91c1-1558028f72c9	7	126406823	134093899	4700	0.3922
15822312-e361-406b-91c1-1558028f72c9	7	134100424	134110881	26	-0.3254
15822312-e361-406b-91c1-1558028f72c9	7	134110912	154598185	12868	0.3759
15822312-e361-406b-91c1-1558028f72c9	7	154601461	154607903	4	-1.2431
15822312-e361-406b-91c1-1558028f72c9	7	154609120	155263552	665	0.35
15822312-e361-406b-91c1-1558028f72c9	7	155264673	155284030	19	-0.2072
15822312-e361-406b-91c1-1558028f72c9	7	155290368	159334314	2552	0.3903
15822312-e361-406b-91c1-1558028f72c9	8	81254	643041	321	-0.7071
15822312-e361-406b-91c1-1558028f72c9	8	644944	645908	10	1.3412
15822312-e361-406b-91c1-1558028f72c9	8	656117	7974123	7425	-0.717
15822312-e361-406b-91c1-1558028f72c9	8	7981252	8120649	11	0.4379
15822312-e361-406b-91c1-1558028f72c9	8	8132772	12176798	3229	-0.6839
15822312-e361-406b-91c1-1558028f72c9	8	12177488	12695325	72	-0.2594
15822312-e361-406b-91c1-1558028f72c9	8	12695342	23544795	9215	-0.6894
15822312-e361-406b-91c1-1558028f72c9	8	23550227	23550358	5	-2.9114
15822312-e361-406b-91c1-1558028f72c9	8	23550392	25114672	1133	-0.6656
15822312-e361-406b-91c1-1558028f72c9	8	25116928	25126818	27	0.107
15822312-e361-406b-91c1-1558028f72c9	8	25133589	27184643	1608	-0.6549
15822312-e361-406b-91c1-1558028f72c9	8	27188793	27188884	2	-2.9521
15822312-e361-406b-91c1-1558028f72c9	8	27196125	32821348	3813	-0.6788
15822312-e361-406b-91c1-1558028f72c9	8	32825580	32834588	9	0.5318
15822312-e361-406b-91c1-1558028f72c9	8	32834603	36581659	2063	-0.6783
15822312-e361-406b-91c1-1558028f72c9	8	36582891	40331203	2183	0.0056
15822312-e361-406b-91c1-1558028f72c9	8	40331218	43226108	1787	-0.0698
15822312-e361-406b-91c1-1558028f72c9	8	43230354	43901170	180	0.0174
15822312-e361-406b-91c1-1558028f72c9	8	43907538	51308708	2723	0.3511
15822312-e361-406b-91c1-1558028f72c9	8	51308900	52815233	1001	0.4161
15822312-e361-406b-91c1-1558028f72c9	8	52816503	60109229	4879	0.3578
15822312-e361-406b-91c1-1558028f72c9	8	60109284	63751714	2354	0.4179
15822312-e361-406b-91c1-1558028f72c9	8	63752002	94544731	18202	0.3745
15822312-e361-406b-91c1-1558028f72c9	8	94545084	94545764	8	1.4913
15822312-e361-406b-91c1-1558028f72c9	8	94545887	99034484	2875	0.385
15822312-e361-406b-91c1-1558028f72c9	8	99034841	99312125	135	0.2234
15822312-e361-406b-91c1-1558028f72c9	8	99316867	111282417	7260	0.3817
15822312-e361-406b-91c1-1558028f72c9	8	111282441	111283031	6	-0.9276
15822312-e361-406b-91c1-1558028f72c9	8	111288052	116978485	3327	0.3597
15822312-e361-406b-91c1-1558028f72c9	8	116981258	122561831	3907	0.4082
15822312-e361-406b-91c1-1558028f72c9	8	122562003	122562554	2	-0.9918
15822312-e361-406b-91c1-1558028f72c9	8	122562578	129171955	4677	0.4103
15822312-e361-406b-91c1-1558028f72c9	8	129172114	141540766	9536	0.3646
15822312-e361-406b-91c1-1558028f72c9	8	141541257	141901380	249	0.4887
15822312-e361-406b-91c1-1558028f72c9	8	141901773	145072769	1226	0.3686
15822312-e361-406b-91c1-1558028f72c9	9	46587	1712303	1831	-0.0246
15822312-e361-406b-91c1-1558028f72c9	9	1712434	5108603	3454	-0.0037
15822312-e361-406b-91c1-1558028f72c9	9	5108648	5114773	16	-0.7416
15822312-e361-406b-91c1-1558028f72c9	9	5115779	20889148	13366	0.0159
