GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
9ed7335d-bee4-442d-b69f-84759f532077	chr1	62920	14120022	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr1	14123276	14134491	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr1	14134640	121705338	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr1	143541857	152778761	5	4	1
9ed7335d-bee4-442d-b69f-84759f532077	chr1	152782154	152847772	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr1	152848030	167142103	5	4	1
9ed7335d-bee4-442d-b69f-84759f532077	chr1	167142194	167154041	8	6	2
9ed7335d-bee4-442d-b69f-84759f532077	chr1	167154950	241360104	5	4	1
9ed7335d-bee4-442d-b69f-84759f532077	chr1	241360180	241392523	8	6	2
9ed7335d-bee4-442d-b69f-84759f532077	chr1	241394008	248930189	5	4	1
9ed7335d-bee4-442d-b69f-84759f532077	chr2	12784	1428027	4	2	2
9ed7335d-bee4-442d-b69f-84759f532077	chr2	1428242	1546793	6	4	2
9ed7335d-bee4-442d-b69f-84759f532077	chr2	1554155	205557416	4	2	2
9ed7335d-bee4-442d-b69f-84759f532077	chr2	205558272	205582051	6	3	3
9ed7335d-bee4-442d-b69f-84759f532077	chr2	205584925	242147305	4	2	2
9ed7335d-bee4-442d-b69f-84759f532077	chr3	20930	29694737	5	3	2
9ed7335d-bee4-442d-b69f-84759f532077	chr3	29696118	29703945	11	7	4
9ed7335d-bee4-442d-b69f-84759f532077	chr3	29704899	42902709	5	3	2
9ed7335d-bee4-442d-b69f-84759f532077	chr3	42905494	56208696	2	2	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	56208773	116381941	5	3	2
9ed7335d-bee4-442d-b69f-84759f532077	chr3	116383032	116559277	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr3	116559662	116726235	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	116726477	116732846	0	0	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	116734912	116864597	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	116865149	117010426	0	0	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	117010864	117248130	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr3	117251931	117382757	4	3	1
9ed7335d-bee4-442d-b69f-84759f532077	chr3	117383569	175038939	5	3	2
9ed7335d-bee4-442d-b69f-84759f532077	chr3	175040512	175118947	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr3	175126620	198169247	5	3	2
9ed7335d-bee4-442d-b69f-84759f532077	chr4	68929	27956539	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	27960206	28155825	2	1	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	28156506	49087357	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	49091769	49618868	9	9	0
9ed7335d-bee4-442d-b69f-84759f532077	chr4	49641746	53619160	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	53619533	53627063	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr4	53627797	91027810	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	91027848	91330941	2	2	0
9ed7335d-bee4-442d-b69f-84759f532077	chr4	91331006	119319983	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	119320069	119337052	1	1	0
9ed7335d-bee4-442d-b69f-84759f532077	chr4	119339630	153824066	3	2	1
9ed7335d-bee4-442d-b69f-84759f532077	chr4	153824644	153838051	1	1	0
