GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	62920	259422	15	-1.0825
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	259926	13751668	6736	0.1146
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	13753497	13754342	3	-1.2809
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	13765084	15823420	1587	0.1254
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	15827002	15827430	6	-2.3379
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	15827706	25256850	5678	0.1131
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	25266637	25320455	24	0.7901
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	25336819	34637053	4954	0.1084
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	34637069	34650960	22	-0.4646
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	34652324	72302735	23771	0.1142
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	72302815	72343748	42	0.4577
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	72344159	105470754	20965	0.1048
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	105476583	105479738	16	1.3098
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	105479753	109679105	2636	0.1162
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	109684695	109692006	12	-1.5224
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	109696900	112147704	1953	0.0949
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	112153343	112163460	29	0.7087
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	112163496	146044828	5463	0.1246
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	146044884	146788785	8	-0.9636
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	147004967	152583051	2130	0.1128
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	152583230	152614118	35	-2.0349
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	152618018	152787202	167	0.1269
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	152789447	152796224	37	-2.0111
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	152801429	187746723	23505	0.1111
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	187748429	187752238	2	-1.9615
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	187755479	196729112	5949	0.0853
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	196729142	196936029	143	0.2817
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	196940515	198474180	870	0.0935
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	198478529	198479588	2	1.2846
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	198479955	199138574	439	0.05
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	199142235	199143883	8	-1.0185
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	199144712	209895652	7406	0.1093
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	209897717	209913207	5	-1.5157
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	1	209920149	248930189	27033	0.1139
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	12784	32466370	22616	0.0955
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	32468463	32820562	188	0.2728
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	32824455	34486267	1308	0.1035
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	34486323	34512489	34	-0.3766
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	34512965	35750907	870	0.0896
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	35752724	35762850	6	-1.4877
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	35762881	39901737	2988	0.0963
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	39902025	39924211	19	0.6238
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	39924742	40533825	540	0.0932
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	40534297	41077235	448	-0.0119
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	41077420	52531803	8144	0.0962
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	52531878	52563002	30	-0.5552
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	52563355	86710564	21921	0.0919
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	86725947	86726731	2	-2.0872
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	86743283	87516129	167	0.0535
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	87516162	87546272	9	-0.8967
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	87551361	97359885	1754	0.0904
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	97524284	97550415	10	-1.0068
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	97552143	113604438	9364	0.0986
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	113604837	113604839	2	-2.6712
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	113623244	128881337	9611	0.0966
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	128881387	128881442	4	-1.6918
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	128881478	182248055	32726	0.0888
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	182248403	182248511	3	-1.3213
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	182250136	183929124	1008	0.0974
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	183929673	183937576	15	-0.6541
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	183937588	241841244	35654	0.0972
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	241973315	242095460	104	-0.9289
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	2	242095518	242147305	23	-0.0289
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	20930	1801331	1591	0.007
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	1805672	5848366	3543	0.1037
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	5848596	5923438	64	-0.188
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	5923735	21859105	11256	0.1046
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	21859195	21859264	2	-1.56
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	21859271	22015726	136	0.1116
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	22015749	22015764	2	-1.297
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	22019950	26559609	3418	0.1116
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	26560269	26573486	20	-0.3484
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	26574458	41986739	10274	0.1148
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	41990202	42006159	4	1.2331
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	42007108	46751887	2891	0.1031
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	46760327	46808099	40	0.4937
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	46817989	47354111	239	0.1064
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	47358421	47363961	4	1.1403
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	47367722	52997995	2262	0.1054
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	52998009	53005100	26	-0.6693
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	53005201	75511990	16981	0.1162
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	75519398	75537654	7	-1.9196
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	75546030	75747505	39	-0.1902
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	75747577	82059630	3636	0.1072
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	82062201	82064038	3	-1.3167
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	82064741	84445706	1189	0.1011
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	84445741	84449778	6	-1.2412
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	84450503	99225754	6110	0.1095
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	99225775	99232120	34	-0.5801
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	99232539	125724765	16244	0.1172
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	125727821	125747704	10	-1.0174
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	125750578	128662406	1820	0.0913
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	128665680	128695318	16	0.9577
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	128702323	130067531	629	0.1071
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	130067896	130079938	24	0.9389
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	130080170	143566923	8373	0.1158
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	143566958	143567132	4	1.422
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	143567959	149245189	3538	0.1118
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	149245608	149250334	25	-0.7963
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	149253293	162794869	8341	0.1154
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	162794951	162908192	68	0.7063
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	162908207	175362803	7656	0.1087
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	175362822	175363536	6	-1.1017
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	3	175368999	198169247	14226	0.1117
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	68929	79642	14	-0.2427
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	79826	114916	18	0.1784
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	115423	157437	16	-0.3533
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	158599	3876063	1520	0.1364
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	3877891	4057858	40	-0.2627
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	4059503	10208766	4099	0.1396
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	10221792	10229874	28	3.1187
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	10232590	10389091	178	0.1462
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	10390730	10398532	14	-0.6383
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	10398887	27755769	12463	0.1456
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	27755851	34134866	3928	0.1051
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	34137312	34777382	403	0.1449
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	34777403	34828327	45	0.718
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	34828382	37761264	2050	0.1462
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	37761392	37762300	3	-2.4313
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	37762373	38451703	532	0.1738
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	38452416	45003835	4052	0.1197
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	45004175	45004318	3	-1.2056
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	45008952	47746325	1507	0.1274
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	47750140	49087357	813	0.2159
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	49091769	57208397	3585	-0.3746
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	57209727	57220958	6	-1.5289
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	57221687	68418873	6890	-0.4036
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	68422420	68422424	3	-2.1015
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	68429081	68494770	10	-0.3174
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	68501424	68640616	70	0.5026
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	68655691	69262694	314	-0.4069
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	69265102	69374271	56	0.0385
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	69376311	77600508	5231	-0.373
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	77600577	77601938	2	-2.3958
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	77602148	90885435	8155	-0.3777
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	90886022	90901496	4	-2.3954
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	90901519	172501171	49244	-0.3866
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	172501178	172519981	11	0.6216
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	172532557	184142886	7818	-0.3958
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	184143084	184143135	2	-2.5696
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	184143870	185356398	845	-0.4267
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	185356796	188664324	2369	-0.3514
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	4	188664426	190106768	802	-0.4632
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	15532	698357	308	0.0458
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	698390	818426	33	-0.267
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	818640	16125019	12093	0.118
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	16125067	16125105	2	-1.5606
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	16127435	21436643	3277	0.1082
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	21438563	21449167	7	1.3949
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	21451091	178680821	95650	0.1083
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	178682974	178686162	3	-3.2848
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	5	178691854	181363319	1533	0.0811
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	149661	203878	33	0.1336
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	204023	205878	4	-1.4552
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	205920	6025978	4810	0.0806
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	6033698	6034203	3	-2.9489
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	6036812	29873244	16810	0.0957
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	29875657	29881490	8	-1.4706
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	29882419	31313046	664	0.0835
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	31318499	31328176	8	1.4096
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	31328210	32463515	500	0.0994
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	32463775	32605994	35	2.0043
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	32606237	32722250	75	0.3977
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	32723020	32723053	3	3.0259
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	32732907	48963228	10345	0.1001
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	48964092	48967563	3	-1.3044
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	48978926	54066353	3306	0.1126
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	54066432	54067005	5	2.9237
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	54067057	66328153	5369	0.1054
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	66331020	66333299	7	-1.8392
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	66333342	73882142	5016	0.0984
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	73882509	73885038	7	1.0506
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	73887573	76718872	1768	0.111
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	76719482	76760534	35	0.4745
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	76762520	78224720	942	0.1054
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	78224948	78224960	2	-3.3884
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	78225040	78253172	25	0.0794
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	78259348	78325468	113	-3.0844
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	78329517	87768408	5859	0.1193
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	87770261	103286954	9619	0.086
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	103290101	103312129	42	1.0689
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	103312172	113900791	6678	0.1006
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	113903677	113903852	2	-3.3081
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	113904647	114881368	576	0.1001
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	114881438	114881626	3	-3.3627
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	114885112	125861617	6640	0.1051
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	125862546	125865630	3	-2.1209
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	6	125867747	170741917	30278	0.1
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	43355	148300	90	0.0786
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	155066	158626	10	-0.9451
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	161442	38251113	27276	0.197
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	38254500	38356875	125	0.7245
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	38361356	54318812	10994	0.1955
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	54318816	54318824	5	-2.2955
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	54325795	70955452	6127	0.1745
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	70958264	70961155	2	-2.6401
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	70963257	102461717	17765	0.1905
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	102498521	102696393	5	-0.9009
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	102696593	102762163	19	0.2818
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	102762169	102765997	3	-2.3098
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	102766233	134100556	19307	0.1852
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	134100587	134105690	21	-2.8416
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	134110881	134114444	12	-0.9938
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	134121491	142344408	5413	0.1954
16e1aaa5-95b7-4a6a-852e-4a7655eae56a	7	142344614	142358543	15	-0.3391
