GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	62920	462894	19	0.6956
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	599171	3852667	1016	-0.0529
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	3852698	12579140	5325	0.0205
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	12588404	12832455	155	-0.0404
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	12850124	12922922	8	-0.8141
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	13012913	15820686	1807	0.0203
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	15820897	15822508	3	-1.0923
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	15822572	16518437	310	0.004
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	16525019	16884157	64	0.3429
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	16886219	25126804	5225	0.0214
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	25129034	25129044	2	-2.1913
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	25129401	25390874	134	-0.1565
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	25393020	34626073	4926	0.0309
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	34637053	34638890	20	-0.9734
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	34648667	61647430	16468	0.0243
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	61648334	61652515	4	-1.0886
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	61654137	72284670	7284	0.0167
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	72290430	72297687	9	-0.9216
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	72302735	72345465	48	1.0483
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	72346221	105476688	20956	0.0175
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	105476748	105479753	14	1.0222
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	105481433	109684695	2635	0.0212
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	109684893	109697533	13	-0.7368
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	109697556	110833598	837	-0.0061
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	110834746	110845604	39	-0.8776
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	110849445	112147704	1076	0.0075
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	112153343	112154768	25	0.4553
10dfe36d-f7d0-45a6-8741-f25527c2829c	1	112163334	152789570	7807	0.0233
