GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	62920	98602	13	-1.0997
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	259407	3302046	725	-0.1398
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	3302359	9266599	3919	0.0166
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	9267354	9308150	28	-0.4424
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	9309959	12832455	1827	0.0365
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	12850124	12867264	6	-1.2415
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	12868035	16235030	1997	0.0204
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16237453	16679483	162	-0.4106
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16685961	16721984	9	-1.2441
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16766762	16788139	13	-0.1905
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16855942	16934753	50	-1.2364
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	16934768	25269390	5258	-0.4883
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	25269456	25320198	20	0.26
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	25320253	36177561	5643	-0.4785
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	36181917	36216833	13	-0.0053
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	36216890	36280810	34	0.403
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	36288063	65459076	18545	0.025
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	65459433	65460164	3	1.6837
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	65462364	72303233	4487	0.0214
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	72303253	72345465	45	-1.239
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	72346221	105476583	20956	0.0145
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	105476614	105479753	16	1.1828
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	105481433	109690949	2643	0.0248
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	109691609	109697556	7	-1.6225
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	109702376	110834746	837	0.0017
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	110834943	110845604	38	-0.7404
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	110849445	112147704	1076	0.0153
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	112153343	112154576	21	-0.7681
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	112154591	152583051	7603	0.0317
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	152583230	152614118	35	1.521
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	152618018	152789447	168	0.0704
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	152789463	152796224	36	0.6206
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	152801429	158896783	3615	0.028
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	158898711	158899969	2	2.4669
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	158905028	169247699	7667	0.028
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	169264736	169272528	7	-2.6187
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	169273163	175661681	4151	0.02
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	175662656	175760597	87	-0.2242
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	175761247	194479104	12491	0.0086
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	194482281	194485888	2	-2.8084
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	194487886	196745743	1451	-0.0032
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	196758720	196846661	61	-2.2947
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	196847600	240228440	29956	0.0089
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	240230715	240230839	6	-2.4561
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	240232805	248525314	5682	0.0087
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	248546369	248633912	36	-0.5988
6131b68a-3c1c-466a-9c0b-4cd4330cd438	1	248645563	248930189	141	-0.0063
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	12784	3680971	2567	-0.0601
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	3684956	3685683	4	-1.9266
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	3688948	34476327	21512	0.0022
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	34476516	34511990	44	0.8754
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	34512096	42218668	5830	0.004
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	42220217	42225473	6	-2.1642
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	42227045	45890775	2555	0.0038
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	45893251	45894564	4	-1.2442
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	45895025	52527423	4603	-0.0023
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	52527590	52554366	34	0.9846
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	52554384	146106861	53243	-0.0001
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	146106875	146122686	34	0.5964
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	146122856	179196928	20257	0.0043
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	179202465	179211936	2	-2.4198
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	179214417	228892290	30572	-0.0026
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	228894763	228895367	8	-1.8785
6131b68a-3c1c-466a-9c0b-4cd4330cd438	2	228895419	242147305	8188	-0.0136
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	20930	5839922	5123	0.0186
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	5839938	5845961	5	-1.6907
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	5846834	6604856	688	0.0381
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	6609441	6611645	23	-1.6416
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	6613391	20271633	9418	0.0091
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	20273630	20274591	2	-2.5086
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	20286589	28768295	6196	0.0099
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	28768950	28774591	6	-2.7085
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	28774617	45253501	10702	0.0204
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45254775	45341049	69	-0.4908
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45341343	45343114	3	-2.2295
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	45343141	53628591	3911	-0.5015
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	53628725	53628943	2	-2.4673
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	53629163	54591744	707	-0.5145
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	54591770	60368893	4217	0.0252
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	60373508	60440160	82	-0.4086
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	60440841	61141148	734	0.0292
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	61141532	61142344	3	-3.0181
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	61145227	62972231	1529	0.023
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	62975756	63005833	21	-2.378
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	63009873	68697013	4357	0.0149
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	68697108	68698262	14	1.1913
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	68699607	75499583	4925	0.0189
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	75500567	75547095	13	-0.9157
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	75559488	99226455	10984	0.0038
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	99226551	99230264	16	0.5354
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	99230312	130044855	18715	0.0121
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	130047743	130092396	43	-0.8012
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	130092419	132273893	1433	0.0163
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	132273929	132276840	3	-1.9248
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	132281633	135496963	2168	0.0151
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	135497923	135503800	5	-0.9726
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	135504029	140823697	3114	0.0182
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	140826859	140828142	2	-2.3265
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	140841776	162795304	13545	0.012
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162795361	162906109	65	-0.7874
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162908192	162944322	35	0.2335
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162944910	162970822	23	-0.3186
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162971021	162996729	16	0.0256
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	162999939	163001774	2	-3.2068
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	163008371	192670476	18754	0.0096
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	192672961	192672988	2	-2.3189
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	192674578	192889961	144	0.0274
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	192890184	192890762	6	1.0589
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	192890809	195559056	1691	0.0202
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	195656271	195720051	25	-0.7951
6131b68a-3c1c-466a-9c0b-4cd4330cd438	3	195728637	198169247	1185	-0.0162
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	68929	828000	281	0.004
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	837393	905355	36	-0.4221
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	916158	3877891	1251	-0.0085
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	3884081	4182970	78	-0.2715
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	4183221	9455251	3508	-0.0095
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	9459504	9477699	6	-0.9998
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	9484440	10208766	540	-0.03
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	10212536	10229874	29	-2.1943
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	10232590	10233644	7	-0.7708
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	10234518	34777432	16972	-0.0003
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	34784878	34822561	37	0.7668
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	34823103	49087357	8963	0.0219
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	49091769	49295203	15	-0.5994
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	49501149	63839601	7598	-0.0006
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	63839646	63857475	21	0.503
6131b68a-3c1c-466a-9c0b-4cd4330cd438	4	63859786	66263635	1566	-0.0191
