GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	62920	793228	26	0.3677
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	805477	2950583	551	-0.5858
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	2951396	5874176	2117	-0.7848
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	5874430	12797904	3749	-0.6831
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	12799143	13362275	41	-0.088
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	13383455	15827002	1792	-0.7
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	15827041	15844541	15	0.1801
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	15850269	16041908	80	-0.6756
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16042482	16052921	4	-1.5855
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16063071	16643683	233	-0.5636
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16643816	16643961	4	-1.815
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16679239	16855942	26	-0.4512
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16863509	16949746	56	-0.072
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	16951445	25244778	5225	-0.6819
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	25247980	25361053	45	-0.1684
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	25361096	29400363	1689	-0.6375
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	29410923	30452713	825	-0.7832
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	30452918	37163140	3720	-0.691
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	37163211	38131187	508	0.0107
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	38135808	38136401	2	1.4753
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	38140728	42000057	2285	0.0017
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	42000098	42427493	236	-0.7261
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	42428386	48354599	3380	0.0316
07c10a71-e945-4796-a3e0-3d48ec7e51f1	1	48354622	50684211	1230	-0.0603
