GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	62920	874393	50	-0.2368
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	877652	3137542	615	0.2435
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	3137704	16504325	7978	0.0204
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	16505368	16609512	11	-0.6983
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	16617118	16864367	51	0.174
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	16868660	16935302	50	-0.5513
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	16935393	37387369	11723	0.0174
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	37387733	37455442	44	0.4059
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	37457798	39683488	1213	0.0125
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	39686445	39693156	8	0.6931
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	39694476	40500914	424	-0.0091
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	40503207	40509127	4	1.114
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	40509588	46044681	3176	0.0005
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	46046603	46048154	2	2.6563
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	46053881	71520869	16940	0.0043
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	71521274	71556547	32	-0.3756
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	71559136	72284670	443	-0.0145
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	72290430	72297687	9	-1.2287
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	72302735	72346221	49	0.4265
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	72346757	81422771	5776	-0.014
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	81422917	81422920	2	2.5139
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	81422982	152583291	27414	0.0106
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	152583319	152614064	31	-1.1975
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	152614100	174828195	15018	0.0039
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	174828247	174832716	10	0.8462
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	174832734	178690874	2513	0.0221
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	178691010	178699935	29	0.4903
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	178699977	189679027	7360	0
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	189679353	189679397	2	-2.0798
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	189682917	193186662	2339	-0.0241
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	193187149	193187218	4	1.5127
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	193190593	194465707	932	0.0029
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	194467726	194491904	17	-0.6971
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	194492369	196758720	1449	-0.0266
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	196761905	196769506	5	-0.9413
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	196769638	196846661	55	0.4253
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	196847600	242896472	32036	0.0064
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	242899299	242921392	10	0.7439
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	242922254	244630584	1039	0.0117
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	244631397	244638685	7	1.174
71a2ada1-ad7c-4ea6-8150-32665cdc6299	1	244646360	248930189	2723	0.0351
71a2ada1-ad7c-4ea6-8150-32665cdc6299	2	12784	34476327	24087	0.0151
71a2ada1-ad7c-4ea6-8150-32665cdc6299	2	34476516	34492907	28	0.6331
71a2ada1-ad7c-4ea6-8150-32665cdc6299	2	34492921	35750907	887	-0.0314
