GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fadaf3ef-f18a-4239-b486-6ee765007ecc	1	3301765	247650984	129763	0.0012
fadaf3ef-f18a-4239-b486-6ee765007ecc	2	480597	241537572	132217	0.0107
fadaf3ef-f18a-4239-b486-6ee765007ecc	3	2170634	197812401	107190	0.0059
fadaf3ef-f18a-4239-b486-6ee765007ecc	4	1059384	86178355	47991	0.0074
fadaf3ef-f18a-4239-b486-6ee765007ecc	4	86178433	86235589	51	-0.3751
fadaf3ef-f18a-4239-b486-6ee765007ecc	4	86237287	187842528	55470	0.0102
fadaf3ef-f18a-4239-b486-6ee765007ecc	5	913983	180934240	101137	0.0048
fadaf3ef-f18a-4239-b486-6ee765007ecc	6	1011760	141648860	79757	0.0038
fadaf3ef-f18a-4239-b486-6ee765007ecc	6	141650565	141651512	3	-1.9056
fadaf3ef-f18a-4239-b486-6ee765007ecc	6	141653578	170596889	17415	0.0102
fadaf3ef-f18a-4239-b486-6ee765007ecc	7	664936	53249136	31522	0.003
fadaf3ef-f18a-4239-b486-6ee765007ecc	7	53250694	53251092	2	-3.3354
fadaf3ef-f18a-4239-b486-6ee765007ecc	7	53253990	158592540	50427	0.0055
fadaf3ef-f18a-4239-b486-6ee765007ecc	8	667625	144182542	82231	0.006
fadaf3ef-f18a-4239-b486-6ee765007ecc	9	789794	32486697	19790	0.0105
fadaf3ef-f18a-4239-b486-6ee765007ecc	9	32490553	32491062	3	1.4634
fadaf3ef-f18a-4239-b486-6ee765007ecc	9	32496591	138044505	48719	-0.0025
fadaf3ef-f18a-4239-b486-6ee765007ecc	10	366509	91679331	55178	0.003
fadaf3ef-f18a-4239-b486-6ee765007ecc	10	91679528	91688106	7	-1.3333
fadaf3ef-f18a-4239-b486-6ee765007ecc	10	91688832	133411599	26118	0.0044
fadaf3ef-f18a-4239-b486-6ee765007ecc	11	456012	20583294	12888	-0.0043
fadaf3ef-f18a-4239-b486-6ee765007ecc	11	20583697	20584437	3	-1.9134
fadaf3ef-f18a-4239-b486-6ee765007ecc	11	20584911	134272740	64699	0.001
fadaf3ef-f18a-4239-b486-6ee765007ecc	12	780472	132605822	74358	0.0036
fadaf3ef-f18a-4239-b486-6ee765007ecc	13	18874255	30534371	6986	0.0003
fadaf3ef-f18a-4239-b486-6ee765007ecc	13	30534590	30545589	2	-1.8403
fadaf3ef-f18a-4239-b486-6ee765007ecc	13	30550514	107190273	45546	0.0066
fadaf3ef-f18a-4239-b486-6ee765007ecc	13	107190593	107190917	2	-1.907
fadaf3ef-f18a-4239-b486-6ee765007ecc	13	107192226	114226675	4468	0.0051
fadaf3ef-f18a-4239-b486-6ee765007ecc	14	20033191	105533894	49790	-0.0036
fadaf3ef-f18a-4239-b486-6ee765007ecc	15	23437561	45629410	10823	-0.0028
fadaf3ef-f18a-4239-b486-6ee765007ecc	15	45630185	45708609	60	-1.1735
fadaf3ef-f18a-4239-b486-6ee765007ecc	15	45714018	101344124	33917	-0.0062
fadaf3ef-f18a-4239-b486-6ee765007ecc	16	603333	71385327	29178	-0.0052
fadaf3ef-f18a-4239-b486-6ee765007ecc	16	71386145	71421356	28	0.4594
fadaf3ef-f18a-4239-b486-6ee765007ecc	16	71422239	89317317	12010	0.0017
fadaf3ef-f18a-4239-b486-6ee765007ecc	17	1074619	82959812	37292	-0.0116
fadaf3ef-f18a-4239-b486-6ee765007ecc	18	326691	79349796	42970	0.0014
fadaf3ef-f18a-4239-b486-6ee765007ecc	19	283868	58370362	24154	-0.0129
fadaf3ef-f18a-4239-b486-6ee765007ecc	20	472817	63588502	37574	-0.0002
fadaf3ef-f18a-4239-b486-6ee765007ecc	21	13974127	46262057	20608	-0.0074
fadaf3ef-f18a-4239-b486-6ee765007ecc	22	16934932	48940621	17098	-0.0129
fadaf3ef-f18a-4239-b486-6ee765007ecc	X	3236359	155677414	63848	0.0119
