GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b815fa8b-0313-432c-a439-33f531d1b552	1	62920	16863509	8704	0.0379
b815fa8b-0313-432c-a439-33f531d1b552	1	16864367	16898730	13	0.8118
b815fa8b-0313-432c-a439-33f531d1b552	1	16898872	16909203	5	-0.2917
b815fa8b-0313-432c-a439-33f531d1b552	1	16909357	16935393	34	0.567
b815fa8b-0313-432c-a439-33f531d1b552	1	16935737	25256850	5264	0.0294
b815fa8b-0313-432c-a439-33f531d1b552	1	25266637	25320455	24	1.016
b815fa8b-0313-432c-a439-33f531d1b552	1	25336819	75585159	30713	0.0201
b815fa8b-0313-432c-a439-33f531d1b552	1	75589078	75589169	2	-3.1721
b815fa8b-0313-432c-a439-33f531d1b552	1	75593824	105476583	19022	0.014
b815fa8b-0313-432c-a439-33f531d1b552	1	105476614	105479738	15	0.8863
b815fa8b-0313-432c-a439-33f531d1b552	1	105479753	109679105	2634	0.0258
b815fa8b-0313-432c-a439-33f531d1b552	1	109684695	109697556	15	-0.521
b815fa8b-0313-432c-a439-33f531d1b552	1	109702376	111385772	1324	0.002
b815fa8b-0313-432c-a439-33f531d1b552	1	111386515	111390609	5	-0.9625
b815fa8b-0313-432c-a439-33f531d1b552	1	111393046	112147704	621	0.0051
b815fa8b-0313-432c-a439-33f531d1b552	1	112153343	112154591	22	0.4163
b815fa8b-0313-432c-a439-33f531d1b552	1	112154619	121551153	5146	0.0167
b815fa8b-0313-432c-a439-33f531d1b552	1	121552111	143748012	116	0.181
b815fa8b-0313-432c-a439-33f531d1b552	1	143748074	143754062	15	0.6255
b815fa8b-0313-432c-a439-33f531d1b552	1	143754077	143942271	15	0.2509
b815fa8b-0313-432c-a439-33f531d1b552	1	144432083	152583051	2314	0.0251
b815fa8b-0313-432c-a439-33f531d1b552	1	152583230	152613762	31	-2.2708
b815fa8b-0313-432c-a439-33f531d1b552	1	152613802	152787202	171	-0.0001
b815fa8b-0313-432c-a439-33f531d1b552	1	152789447	152796224	37	-1.9587
b815fa8b-0313-432c-a439-33f531d1b552	1	152801429	158896783	3614	0.0274
b815fa8b-0313-432c-a439-33f531d1b552	1	158898711	158899969	2	1.4815
b815fa8b-0313-432c-a439-33f531d1b552	1	158905028	169247699	7666	0.0249
b815fa8b-0313-432c-a439-33f531d1b552	1	169264736	169272528	7	0.9886
b815fa8b-0313-432c-a439-33f531d1b552	1	169273163	196762480	18180	0.0167
b815fa8b-0313-432c-a439-33f531d1b552	1	196762956	196843377	56	0.4567
b815fa8b-0313-432c-a439-33f531d1b552	1	196843400	196846661	2	3.9976
b815fa8b-0313-432c-a439-33f531d1b552	1	196847600	248930189	35815	0.0208
b815fa8b-0313-432c-a439-33f531d1b552	2	12784	29420466	20654	0.0246
b815fa8b-0313-432c-a439-33f531d1b552	2	29421019	29421356	5	-1.1538
b815fa8b-0313-432c-a439-33f531d1b552	2	29421729	34615787	3545	0.033
b815fa8b-0313-432c-a439-33f531d1b552	2	34620885	34635159	14	-1.4179
b815fa8b-0313-432c-a439-33f531d1b552	2	34640003	52527330	12921	0.0141
b815fa8b-0313-432c-a439-33f531d1b552	2	52527342	52531977	14	0.815
b815fa8b-0313-432c-a439-33f531d1b552	2	52537070	52537117	3	-0.4218
b815fa8b-0313-432c-a439-33f531d1b552	2	52537337	52554404	22	0.8294
b815fa8b-0313-432c-a439-33f531d1b552	2	52560811	89956227	22785	0.0227
b815fa8b-0313-432c-a439-33f531d1b552	2	89960252	90228220	119	-1.1059
b815fa8b-0313-432c-a439-33f531d1b552	2	90228237	97188422	920	0.0089
b815fa8b-0313-432c-a439-33f531d1b552	2	97192190	97211264	14	-0.6047
b815fa8b-0313-432c-a439-33f531d1b552	2	97211436	97359885	14	0.0096
b815fa8b-0313-432c-a439-33f531d1b552	2	97524284	97545247	8	1.5208
b815fa8b-0313-432c-a439-33f531d1b552	2	97545726	107824280	6570	0.0241
b815fa8b-0313-432c-a439-33f531d1b552	2	107830513	107891596	7	-1.0484
b815fa8b-0313-432c-a439-33f531d1b552	2	107903920	128880504	12390	0.015
b815fa8b-0313-432c-a439-33f531d1b552	2	128880904	128882741	15	-0.7598
b815fa8b-0313-432c-a439-33f531d1b552	2	128882755	130036283	874	0.0356
b815fa8b-0313-432c-a439-33f531d1b552	2	130036310	130116915	13	-0.6389
b815fa8b-0313-432c-a439-33f531d1b552	2	130117303	184542207	33323	0.0197
b815fa8b-0313-432c-a439-33f531d1b552	2	184548316	184548638	2	-2.4015
b815fa8b-0313-432c-a439-33f531d1b552	2	184552011	185439848	463	0.0122
b815fa8b-0313-432c-a439-33f531d1b552	2	185440280	185879548	190	-0.1187
b815fa8b-0313-432c-a439-33f531d1b552	2	185880505	188254196	1299	0.0287
b815fa8b-0313-432c-a439-33f531d1b552	2	188255201	188262203	4	-2.1748
b815fa8b-0313-432c-a439-33f531d1b552	2	188264331	202066103	7878	0.0162
b815fa8b-0313-432c-a439-33f531d1b552	2	202067181	202067474	2	-1.9739
b815fa8b-0313-432c-a439-33f531d1b552	2	202075475	237605279	22914	0.023
b815fa8b-0313-432c-a439-33f531d1b552	2	237606554	237617855	5	-1.5939
b815fa8b-0313-432c-a439-33f531d1b552	2	237617933	242147305	2533	0.0324
b815fa8b-0313-432c-a439-33f531d1b552	3	20930	26570158	20007	0.0084
b815fa8b-0313-432c-a439-33f531d1b552	3	26570176	26570394	4	-2.8042
b815fa8b-0313-432c-a439-33f531d1b552	3	26570407	36353166	6598	0.0021
b815fa8b-0313-432c-a439-33f531d1b552	3	36357756	36375093	15	-1.0364
b815fa8b-0313-432c-a439-33f531d1b552	3	36378464	75372019	26053	0.0152
b815fa8b-0313-432c-a439-33f531d1b552	3	75377956	75590356	74	-0.9969
b815fa8b-0313-432c-a439-33f531d1b552	3	75596233	84053071	4667	0.0189
b815fa8b-0313-432c-a439-33f531d1b552	3	84056282	84057015	2	-3.2728
b815fa8b-0313-432c-a439-33f531d1b552	3	84061816	99218119	6295	0.0139
b815fa8b-0313-432c-a439-33f531d1b552	3	99218940	99230194	27	0.4101
b815fa8b-0313-432c-a439-33f531d1b552	3	99230212	128710413	18107	0.0124
b815fa8b-0313-432c-a439-33f531d1b552	3	128710537	128712082	4	-1.2795
b815fa8b-0313-432c-a439-33f531d1b552	3	128714553	130044855	605	-0.0037
b815fa8b-0313-432c-a439-33f531d1b552	3	130047743	130087393	37	0.6453
b815fa8b-0313-432c-a439-33f531d1b552	3	130088081	162790480	20265	0.0102
b815fa8b-0313-432c-a439-33f531d1b552	3	162794869	162906054	65	0.6343
b815fa8b-0313-432c-a439-33f531d1b552	3	162906065	169631156	3914	0.0191
b815fa8b-0313-432c-a439-33f531d1b552	3	169632074	169632816	2	1.718
b815fa8b-0313-432c-a439-33f531d1b552	3	169634670	192195081	14548	0.0166
b815fa8b-0313-432c-a439-33f531d1b552	3	192195287	192197019	2	-3.1755
b815fa8b-0313-432c-a439-33f531d1b552	3	192199579	193156958	703	-0.0182
b815fa8b-0313-432c-a439-33f531d1b552	3	193160113	193165114	20	-1.1314
b815fa8b-0313-432c-a439-33f531d1b552	3	193168646	195559056	1483	0.0183
b815fa8b-0313-432c-a439-33f531d1b552	3	195656271	195752877	47	0.317
b815fa8b-0313-432c-a439-33f531d1b552	3	195754940	196049719	113	-0.0138
b815fa8b-0313-432c-a439-33f531d1b552	3	196049866	196049993	3	1.5516
b815fa8b-0313-432c-a439-33f531d1b552	3	196050340	198169247	1046	0.038
b815fa8b-0313-432c-a439-33f531d1b552	4	68929	8722817	5092	0.0185
b815fa8b-0313-432c-a439-33f531d1b552	4	9370577	9455251	59	0.4789
b815fa8b-0313-432c-a439-33f531d1b552	4	9459504	9477699	6	-0.6494
b815fa8b-0313-432c-a439-33f531d1b552	4	9484440	9527502	11	0.8432
b815fa8b-0313-432c-a439-33f531d1b552	4	9539086	10208766	529	0.0186
b815fa8b-0313-432c-a439-33f531d1b552	4	10212536	10229120	22	0.521
b815fa8b-0313-432c-a439-33f531d1b552	4	10229173	12149839	1669	-0.0053
b815fa8b-0313-432c-a439-33f531d1b552	4	12152884	12160517	3	-1.4017
b815fa8b-0313-432c-a439-33f531d1b552	4	12164300	14467293	1791	0.0016
b815fa8b-0313-432c-a439-33f531d1b552	4	14468479	14468703	3	-1.2392
b815fa8b-0313-432c-a439-33f531d1b552	4	14471010	21493057	4851	0.0096
b815fa8b-0313-432c-a439-33f531d1b552	4	21493358	21493372	2	-1.442
