GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	3301765	46955890	23388	-0.1159
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	46955948	150155812	44865	-0.08
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	150156321	161428624	6073	-0.1319
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	161428628	200652989	24980	-0.0818
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	200653116	206773113	3822	-0.1247
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	1	206773321	247650984	26667	-0.0874
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	480597	148368030	78184	0.299
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	148369721	198132315	27902	0.3217
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	198134373	199315099	758	0.3973
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	199315120	206653460	4176	0.3151
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	206653473	207142083	319	0.2644
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	207142096	229400808	13944	0.3098
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	2	229403196	241537572	6993	0.2773
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	3	2170634	46637708	26652	-0.0261
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	3	46637849	50811937	1593	-0.0799
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	3	50813215	59685541	5334	-0.0375
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	3	59686175	64650598	2831	0.0168
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	3	64651414	197812401	70806	-0.0252
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	4	1059384	9595503	4340	-0.108
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	4	9596081	11731186	1714	-0.0506
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	4	11732104	67353578	31440	-0.0729
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	4	67353786	187842528	66029	-0.0589
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	5	914118	5838646	3443	-0.1204
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	5	5838771	120943004	61254	-0.08
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	5	120943470	131255187	5903	-0.0533
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	5	131255435	169683202	24274	-0.0841
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	5	169685133	180934240	6290	-0.1074
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	6	1011760	20535099	13867	-0.0783
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	6	20535465	23368749	2020	-0.0299
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	6	23369205	45777467	11237	-0.0969
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	6	45779029	151422449	59005	-0.0514
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	6	151422927	170596889	11080	-0.0759
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	7	664936	7277974	2441	-0.1097
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	7	7285169	35369836	17272	-0.0488
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	7	35371045	53249136	11821	-0.0711
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	7	53250694	53251092	2	-2.2479
9d34b3c4-a636-4bf9-8ee5-875910ba17eb	7	53253990	77287902	7172	-0.0822
