GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
53ce07cf-67ac-4870-8646-5207d7d634ed	1	62920	98588	12	-1.4172
53ce07cf-67ac-4870-8646-5207d7d634ed	1	98602	16504325	8631	-0.0406
53ce07cf-67ac-4870-8646-5207d7d634ed	1	16505368	16679281	36	-0.3727
53ce07cf-67ac-4870-8646-5207d7d634ed	1	16679483	25256850	5344	-0.0486
53ce07cf-67ac-4870-8646-5207d7d634ed	1	25266637	25320198	22	0.5121
53ce07cf-67ac-4870-8646-5207d7d634ed	1	25320253	47531798	12084	-0.0562
53ce07cf-67ac-4870-8646-5207d7d634ed	1	47531986	48805758	936	0.0167
53ce07cf-67ac-4870-8646-5207d7d634ed	1	48807906	48998129	143	-0.837
53ce07cf-67ac-4870-8646-5207d7d634ed	1	48998904	57696944	5342	-0.0301
53ce07cf-67ac-4870-8646-5207d7d634ed	1	57697697	57698034	2	-1.5828
53ce07cf-67ac-4870-8646-5207d7d634ed	1	57698452	72297687	10232	-0.0256
53ce07cf-67ac-4870-8646-5207d7d634ed	1	72302735	72346221	49	-1.3765
53ce07cf-67ac-4870-8646-5207d7d634ed	1	72346757	118704311	29754	-0.0433
53ce07cf-67ac-4870-8646-5207d7d634ed	1	118709596	119772900	743	-0.84
53ce07cf-67ac-4870-8646-5207d7d634ed	1	119783035	143546851	264	-0.0678
53ce07cf-67ac-4870-8646-5207d7d634ed	1	143547055	144432313	124	-0.4675
53ce07cf-67ac-4870-8646-5207d7d634ed	1	144442092	152583230	2313	-0.0718
53ce07cf-67ac-4870-8646-5207d7d634ed	1	152583291	152618018	35	-1.5736
53ce07cf-67ac-4870-8646-5207d7d634ed	1	152618089	159771227	4394	-0.0659
53ce07cf-67ac-4870-8646-5207d7d634ed	1	159771507	160142951	241	0.1103
53ce07cf-67ac-4870-8646-5207d7d634ed	1	160143004	169017254	6657	-0.0554
53ce07cf-67ac-4870-8646-5207d7d634ed	1	169017882	169017973	2	-1.6694
53ce07cf-67ac-4870-8646-5207d7d634ed	1	169020148	174827267	3717	-0.039
53ce07cf-67ac-4870-8646-5207d7d634ed	1	174827418	174828310	9	-0.8082
53ce07cf-67ac-4870-8646-5207d7d634ed	1	174828367	179470495	3158	-0.0452
53ce07cf-67ac-4870-8646-5207d7d634ed	1	179476998	179478146	2	-1.6761
53ce07cf-67ac-4870-8646-5207d7d634ed	1	179478408	186428639	4651	-0.0451
53ce07cf-67ac-4870-8646-5207d7d634ed	1	186429051	186608793	86	0.2139
53ce07cf-67ac-4870-8646-5207d7d634ed	1	186609698	211185427	16530	-0.0358
53ce07cf-67ac-4870-8646-5207d7d634ed	1	211185557	211185838	2	-1.9781
53ce07cf-67ac-4870-8646-5207d7d634ed	1	211189379	234583834	15984	-0.051
53ce07cf-67ac-4870-8646-5207d7d634ed	1	234584660	235087756	364	0.2295
53ce07cf-67ac-4870-8646-5207d7d634ed	1	235088069	240228440	3887	-0.0524
53ce07cf-67ac-4870-8646-5207d7d634ed	1	240230715	240230839	6	-1.5754
53ce07cf-67ac-4870-8646-5207d7d634ed	1	240232805	245473108	3662	-0.0659
53ce07cf-67ac-4870-8646-5207d7d634ed	1	245473737	245483048	10	-1.1811
53ce07cf-67ac-4870-8646-5207d7d634ed	1	245483602	248930189	2187	-0.0337
53ce07cf-67ac-4870-8646-5207d7d634ed	2	12784	102742	44	0.2273
53ce07cf-67ac-4870-8646-5207d7d634ed	2	103167	8150909	6387	0.3381
53ce07cf-67ac-4870-8646-5207d7d634ed	2	8153834	8154648	2	-1.3311
53ce07cf-67ac-4870-8646-5207d7d634ed	2	8155149	16227641	5775	0.3422
53ce07cf-67ac-4870-8646-5207d7d634ed	2	16228290	16229184	3	-0.9746
53ce07cf-67ac-4870-8646-5207d7d634ed	2	16229724	22255200	4361	0.3496
53ce07cf-67ac-4870-8646-5207d7d634ed	2	22256598	22688855	283	0.1946
53ce07cf-67ac-4870-8646-5207d7d634ed	2	22689630	22690202	3	-1.3421
53ce07cf-67ac-4870-8646-5207d7d634ed	2	22697714	23821482	819	0.1936
53ce07cf-67ac-4870-8646-5207d7d634ed	2	23824352	27997479	1997	0.1381
53ce07cf-67ac-4870-8646-5207d7d634ed	2	28005807	31444110	2548	0.1967
53ce07cf-67ac-4870-8646-5207d7d634ed	2	31445705	32458142	387	0.1147
53ce07cf-67ac-4870-8646-5207d7d634ed	2	32459118	32471777	7	0.8301
53ce07cf-67ac-4870-8646-5207d7d634ed	2	32472768	33911041	1036	0.1595
53ce07cf-67ac-4870-8646-5207d7d634ed	2	33911184	33911656	3	-0.9534
53ce07cf-67ac-4870-8646-5207d7d634ed	2	33912175	34476516	442	0.183
53ce07cf-67ac-4870-8646-5207d7d634ed	2	34476558	34511990	43	0.6896
53ce07cf-67ac-4870-8646-5207d7d634ed	2	34512096	46262656	8708	0.1825
53ce07cf-67ac-4870-8646-5207d7d634ed	2	46262993	46265133	3	-1.1658
53ce07cf-67ac-4870-8646-5207d7d634ed	2	46265543	52516787	4295	0.1794
53ce07cf-67ac-4870-8646-5207d7d634ed	2	52527330	52554404	40	-2.0085
53ce07cf-67ac-4870-8646-5207d7d634ed	2	52560811	52653613	62	0.1567
53ce07cf-67ac-4870-8646-5207d7d634ed	2	52656108	52656459	2	-1.2497
53ce07cf-67ac-4870-8646-5207d7d634ed	2	52656571	60023447	5207	0.1843
53ce07cf-67ac-4870-8646-5207d7d634ed	2	60025335	62440348	1296	0.1325
53ce07cf-67ac-4870-8646-5207d7d634ed	2	62440516	79357930	10818	0.1863
53ce07cf-67ac-4870-8646-5207d7d634ed	2	79361063	79362751	3	-1.0186
53ce07cf-67ac-4870-8646-5207d7d634ed	2	79362794	84810405	3435	0.1901
53ce07cf-67ac-4870-8646-5207d7d634ed	2	84811394	87074984	1172	0.1325
53ce07cf-67ac-4870-8646-5207d7d634ed	2	87079825	87082140	2	-1.3583
53ce07cf-67ac-4870-8646-5207d7d634ed	2	87082711	87211079	29	0.1232
53ce07cf-67ac-4870-8646-5207d7d634ed	2	87218694	87218834	2	-1.6574
53ce07cf-67ac-4870-8646-5207d7d634ed	2	87221597	97164874	1783	0.1383
53ce07cf-67ac-4870-8646-5207d7d634ed	2	97164886	97211069	24	-0.3191
53ce07cf-67ac-4870-8646-5207d7d634ed	2	97211264	97359885	15	0.1394
53ce07cf-67ac-4870-8646-5207d7d634ed	2	97524284	97545247	8	1.1297
53ce07cf-67ac-4870-8646-5207d7d634ed	2	97545726	111562204	8227	0.1781
53ce07cf-67ac-4870-8646-5207d7d634ed	2	111565774	111615592	9	-0.6076
53ce07cf-67ac-4870-8646-5207d7d634ed	2	111616265	112045333	237	0.1651
53ce07cf-67ac-4870-8646-5207d7d634ed	2	112045846	112051642	3	-0.8144
53ce07cf-67ac-4870-8646-5207d7d634ed	2	112056441	114324624	1323	0.1827
53ce07cf-67ac-4870-8646-5207d7d634ed	2	114325453	114325635	2	-1.3648
53ce07cf-67ac-4870-8646-5207d7d634ed	2	114329102	129597933	9756	0.1695
53ce07cf-67ac-4870-8646-5207d7d634ed	2	129598357	129598954	3	-1.6913
53ce07cf-67ac-4870-8646-5207d7d634ed	2	129601358	131998971	941	0.1329
53ce07cf-67ac-4870-8646-5207d7d634ed	2	132000258	132022409	7	-0.611
53ce07cf-67ac-4870-8646-5207d7d634ed	2	132022945	132743729	388	0.1637
53ce07cf-67ac-4870-8646-5207d7d634ed	2	132746211	139884220	4645	-0.0714
53ce07cf-67ac-4870-8646-5207d7d634ed	2	139884962	144025473	2690	-0.0257
53ce07cf-67ac-4870-8646-5207d7d634ed	2	144025647	144155214	58	-0.3691
53ce07cf-67ac-4870-8646-5207d7d634ed	2	144157544	164228559	11966	-0.0185
53ce07cf-67ac-4870-8646-5207d7d634ed	2	164229189	179196928	9436	-0.0951
53ce07cf-67ac-4870-8646-5207d7d634ed	2	179202465	179214417	3	-2.2733
53ce07cf-67ac-4870-8646-5207d7d634ed	2	179218864	183220725	2567	-0.0912
53ce07cf-67ac-4870-8646-5207d7d634ed	2	183221060	183224996	9	-1.469
53ce07cf-67ac-4870-8646-5207d7d634ed	2	183229270	192674094	5481	-0.0804
53ce07cf-67ac-4870-8646-5207d7d634ed	2	192675355	192944749	144	-0.3985
53ce07cf-67ac-4870-8646-5207d7d634ed	2	192946886	193311816	158	-0.0779
53ce07cf-67ac-4870-8646-5207d7d634ed	2	193317591	201662151	4716	-0.3403
53ce07cf-67ac-4870-8646-5207d7d634ed	2	201662320	202370685	413	-0.0818
53ce07cf-67ac-4870-8646-5207d7d634ed	2	202372276	207490231	3196	-0.3623
53ce07cf-67ac-4870-8646-5207d7d634ed	2	207490454	207494836	19	-1.1357
53ce07cf-67ac-4870-8646-5207d7d634ed	2	207495072	219069055	7375	-0.3644
53ce07cf-67ac-4870-8646-5207d7d634ed	2	219069626	219072149	3	-2.2382
53ce07cf-67ac-4870-8646-5207d7d634ed	2	219073282	236545518	11341	-0.3674
53ce07cf-67ac-4870-8646-5207d7d634ed	2	236545611	242147305	3348	-0.0865
53ce07cf-67ac-4870-8646-5207d7d634ed	3	20930	6604856	5818	-0.0901
53ce07cf-67ac-4870-8646-5207d7d634ed	3	6609441	6611645	23	-1.0063
53ce07cf-67ac-4870-8646-5207d7d634ed	3	6613391	8282902	1470	-0.0651
53ce07cf-67ac-4870-8646-5207d7d634ed	3	8284581	8287280	5	-1.2561
53ce07cf-67ac-4870-8646-5207d7d634ed	3	8288739	12103482	2743	-0.0767
53ce07cf-67ac-4870-8646-5207d7d634ed	3	12103849	12105650	3	-1.4276
53ce07cf-67ac-4870-8646-5207d7d634ed	3	12105903	15078121	2112	-0.0768
53ce07cf-67ac-4870-8646-5207d7d634ed	3	15078213	15078541	3	-1.3948
53ce07cf-67ac-4870-8646-5207d7d634ed	3	15079441	20365363	3132	-0.0641
53ce07cf-67ac-4870-8646-5207d7d634ed	3	20368500	20439502	42	-0.1419
53ce07cf-67ac-4870-8646-5207d7d634ed	3	20446298	22043623	1262	-0.3902
53ce07cf-67ac-4870-8646-5207d7d634ed	3	22043699	22144027	92	-0.217
53ce07cf-67ac-4870-8646-5207d7d634ed	3	22144867	22149366	4	-1.7655
53ce07cf-67ac-4870-8646-5207d7d634ed	3	22149410	60517733	24519	-0.3682
53ce07cf-67ac-4870-8646-5207d7d634ed	3	60518527	60661807	156	-0.8834
53ce07cf-67ac-4870-8646-5207d7d634ed	3	60662336	65202778	3911	-0.3594
53ce07cf-67ac-4870-8646-5207d7d634ed	3	65203560	65207258	8	-1.4481
53ce07cf-67ac-4870-8646-5207d7d634ed	3	65207292	65221269	35	-0.7508
53ce07cf-67ac-4870-8646-5207d7d634ed	3	65221656	65224640	8	-1.2545
53ce07cf-67ac-4870-8646-5207d7d634ed	3	65224777	68466638	2257	-0.3758
53ce07cf-67ac-4870-8646-5207d7d634ed	3	68467986	68697133	166	-0.038
53ce07cf-67ac-4870-8646-5207d7d634ed	3	68697295	68698213	11	0.9429
53ce07cf-67ac-4870-8646-5207d7d634ed	3	68698262	75372019	4867	-0.0622
53ce07cf-67ac-4870-8646-5207d7d634ed	3	75377956	75590356	72	-0.8702
53ce07cf-67ac-4870-8646-5207d7d634ed	3	75596233	90436812	8118	-0.0654
53ce07cf-67ac-4870-8646-5207d7d634ed	3	90453712	98172728	2251	0.1784
53ce07cf-67ac-4870-8646-5207d7d634ed	3	98180476	98194581	5	1.1487
53ce07cf-67ac-4870-8646-5207d7d634ed	3	98195973	99225990	602	0.1717
53ce07cf-67ac-4870-8646-5207d7d634ed	3	99226004	99232120	30	-0.3948
53ce07cf-67ac-4870-8646-5207d7d634ed	3	99232539	104193197	2802	0.1877
53ce07cf-67ac-4870-8646-5207d7d634ed	3	104194587	104195913	2	-1.4055
53ce07cf-67ac-4870-8646-5207d7d634ed	3	104195983	114555894	6440	0.1846
53ce07cf-67ac-4870-8646-5207d7d634ed	3	114558733	114596399	25	-0.4347
53ce07cf-67ac-4870-8646-5207d7d634ed	3	114598927	162786879	29745	0.177
53ce07cf-67ac-4870-8646-5207d7d634ed	3	162788742	162916527	94	0.497
53ce07cf-67ac-4870-8646-5207d7d634ed	3	162927179	165336108	1307	0.1814
53ce07cf-67ac-4870-8646-5207d7d634ed	3	165336215	165341597	16	-0.3293
53ce07cf-67ac-4870-8646-5207d7d634ed	3	165341675	173762917	5186	0.1857
53ce07cf-67ac-4870-8646-5207d7d634ed	3	173765644	173765818	2	-1.2375
53ce07cf-67ac-4870-8646-5207d7d634ed	3	173769635	175805322	1430	0.1607
53ce07cf-67ac-4870-8646-5207d7d634ed	3	175811270	175818030	7	-0.5916
53ce07cf-67ac-4870-8646-5207d7d634ed	3	175820414	187150750	6825	0.1649
53ce07cf-67ac-4870-8646-5207d7d634ed	3	187156894	192665388	4037	0.2126
53ce07cf-67ac-4870-8646-5207d7d634ed	3	192665843	193155915	341	0.1359
53ce07cf-67ac-4870-8646-5207d7d634ed	3	193156018	193168646	23	0.7192
53ce07cf-67ac-4870-8646-5207d7d634ed	3	193168669	198111467	2671	0.1999
53ce07cf-67ac-4870-8646-5207d7d634ed	3	198111566	198169247	18	-0.2334
53ce07cf-67ac-4870-8646-5207d7d634ed	4	68929	4327007	1770	-0.3962
53ce07cf-67ac-4870-8646-5207d7d634ed	4	4327505	4331600	3	-2.4554
53ce07cf-67ac-4870-8646-5207d7d634ed	4	4332108	5645231	1066	-0.3925
53ce07cf-67ac-4870-8646-5207d7d634ed	4	5646989	8223954	1962	-0.8704
53ce07cf-67ac-4870-8646-5207d7d634ed	4	8224761	8226098	4	-6.0499
53ce07cf-67ac-4870-8646-5207d7d634ed	4	8226707	9726975	420	-0.8141
53ce07cf-67ac-4870-8646-5207d7d634ed	4	9728071	10208766	460	-0.3846
53ce07cf-67ac-4870-8646-5207d7d634ed	4	10221792	10232590	29	0.9241
53ce07cf-67ac-4870-8646-5207d7d634ed	4	10232642	10389091	177	-0.3345
53ce07cf-67ac-4870-8646-5207d7d634ed	4	10390730	10399044	16	-1.2506
53ce07cf-67ac-4870-8646-5207d7d634ed	4	10401094	28249868	12787	-0.3775
53ce07cf-67ac-4870-8646-5207d7d634ed	4	28250759	31601647	2141	-0.4683
53ce07cf-67ac-4870-8646-5207d7d634ed	4	31605646	34771893	1845	-0.3689
53ce07cf-67ac-4870-8646-5207d7d634ed	4	34777238	34823103	45	0.3618
53ce07cf-67ac-4870-8646-5207d7d634ed	4	34828250	43143380	5522	-0.3718
53ce07cf-67ac-4870-8646-5207d7d634ed	4	43143414	43148055	10	-1.3106
53ce07cf-67ac-4870-8646-5207d7d634ed	4	43154418	46695928	1988	-0.3578
53ce07cf-67ac-4870-8646-5207d7d634ed	4	46705678	47823142	659	0.8904
53ce07cf-67ac-4870-8646-5207d7d634ed	4	47826890	48178717	276	1.4092
53ce07cf-67ac-4870-8646-5207d7d634ed	4	48179155	48179954	3	-0.2801
53ce07cf-67ac-4870-8646-5207d7d634ed	4	48179969	48635560	327	1.4189
53ce07cf-67ac-4870-8646-5207d7d634ed	4	48639181	49063964	167	1.2293
53ce07cf-67ac-4870-8646-5207d7d634ed	4	49078996	49146905	12	0.9133
53ce07cf-67ac-4870-8646-5207d7d634ed	4	49152601	49654496	24	-0.0064
53ce07cf-67ac-4870-8646-5207d7d634ed	4	49654578	53897364	1278	0.4296
53ce07cf-67ac-4870-8646-5207d7d634ed	4	53899450	54293345	284	0.3182
53ce07cf-67ac-4870-8646-5207d7d634ed	4	54293360	54631719	262	0.417
53ce07cf-67ac-4870-8646-5207d7d634ed	4	54635559	54639193	4	1.4621
53ce07cf-67ac-4870-8646-5207d7d634ed	4	54639766	61071220	4236	0.4168
53ce07cf-67ac-4870-8646-5207d7d634ed	4	61075217	61076234	2	1.9934
53ce07cf-67ac-4870-8646-5207d7d634ed	4	61079968	61856418	425	0.4247
53ce07cf-67ac-4870-8646-5207d7d634ed	4	61862400	68524748	3986	0.2078
53ce07cf-67ac-4870-8646-5207d7d634ed	4	68526096	68615219	53	-0.1283
53ce07cf-67ac-4870-8646-5207d7d634ed	4	68616004	107583477	23594	0.2001
53ce07cf-67ac-4870-8646-5207d7d634ed	4	107587491	107588658	2	-1.8857
53ce07cf-67ac-4870-8646-5207d7d634ed	4	107588998	111376259	2253	0.19
53ce07cf-67ac-4870-8646-5207d7d634ed	4	111376338	111384670	10	-0.5228
53ce07cf-67ac-4870-8646-5207d7d634ed	4	111385089	114254202	1854	0.1983
53ce07cf-67ac-4870-8646-5207d7d634ed	4	114254223	114269257	36	-0.1078
53ce07cf-67ac-4870-8646-5207d7d634ed	4	114269953	115981782	1013	0.2195
53ce07cf-67ac-4870-8646-5207d7d634ed	4	115984231	117293923	804	-0.3247
53ce07cf-67ac-4870-8646-5207d7d634ed	4	117306742	118755181	815	0.2298
53ce07cf-67ac-4870-8646-5207d7d634ed	4	118758779	119059079	218	0.583
53ce07cf-67ac-4870-8646-5207d7d634ed	4	119059346	126803490	4686	0.203
53ce07cf-67ac-4870-8646-5207d7d634ed	4	126804484	126823519	11	-0.4597
53ce07cf-67ac-4870-8646-5207d7d634ed	4	126825467	134053313	3960	0.1953
53ce07cf-67ac-4870-8646-5207d7d634ed	4	134053854	134054558	3	-1.5496
53ce07cf-67ac-4870-8646-5207d7d634ed	4	134054959	134859230	431	0.204
53ce07cf-67ac-4870-8646-5207d7d634ed	4	134859265	134859332	2	-2.2845
53ce07cf-67ac-4870-8646-5207d7d634ed	4	134864194	135618803	401	0.2022
53ce07cf-67ac-4870-8646-5207d7d634ed	4	135618962	188300104	33651	-0.0335
53ce07cf-67ac-4870-8646-5207d7d634ed	4	188300206	188301659	5	1.31
53ce07cf-67ac-4870-8646-5207d7d634ed	4	188301899	189884957	1087	-0.0541
53ce07cf-67ac-4870-8646-5207d7d634ed	4	189886368	190106768	53	-0.2473
53ce07cf-67ac-4870-8646-5207d7d634ed	5	15532	37013	12	-0.218
53ce07cf-67ac-4870-8646-5207d7d634ed	5	40030	12800777	10180	0.1502
53ce07cf-67ac-4870-8646-5207d7d634ed	5	12815668	12838421	14	-0.8056
53ce07cf-67ac-4870-8646-5207d7d634ed	5	12849089	27524345	9042	0.1643
53ce07cf-67ac-4870-8646-5207d7d634ed	5	27525800	27525913	8	-1.6093
53ce07cf-67ac-4870-8646-5207d7d634ed	5	27527372	28113098	326	0.2044
53ce07cf-67ac-4870-8646-5207d7d634ed	5	28117370	29077433	570	-0.0453
53ce07cf-67ac-4870-8646-5207d7d634ed	5	29077449	29078527	13	-0.5992
53ce07cf-67ac-4870-8646-5207d7d634ed	5	29082473	57358622	15099	-0.0453
53ce07cf-67ac-4870-8646-5207d7d634ed	5	57362553	61603907	2869	-0.3337
53ce07cf-67ac-4870-8646-5207d7d634ed	5	61606042	61607904	4	-2.4786
53ce07cf-67ac-4870-8646-5207d7d634ed	5	61608337	97145771	20214	-0.3484
