GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	62920	3813871	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	3816075	3837249	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	3837637	75245106	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	75245818	75249898	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	75251240	101547232	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	101547295	101615787	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	101619498	168690693	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	168691128	168757892	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	168757919	196858725	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	196859649	196875205	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	196875463	214698668	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	214709640	214812951	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	214814901	230658616	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	230659895	230684605	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	230684884	232484718	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	232484779	232489657	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	232490411	241042133	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	241042311	241176487	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr1	241176551	248930189	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	12784	71476234	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	71476661	71578914	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	71579589	78924478	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	78925703	79001333	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	79003374	88834118	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	88836539	89118119	7	7	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	89119438	166052594	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	166053034	166072608	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr2	166073146	242147305	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	20930	643968	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	646943	1134266	4	3	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	1140629	1148990	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	1149136	20263801	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	20265028	20336232	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	20336584	54268150	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	54269162	54291329	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	54292464	54488516	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	54489690	59993646	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	59993794	60115871	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	60115909	95434184	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	95436184	95458044	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	95458542	148654594	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	148659422	148665285	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	148665945	171568269	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	171568923	171584276	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr3	171584612	198169247	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr4	68929	18919072	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr4	18920212	18921261	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr4	18921443	168505975	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr4	168506049	168507982	5	3	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr4	168508448	190106768	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	15532	30932886	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	30933381	30968633	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	30968913	59263216	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	59263335	59279307	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	59279497	71499339	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	71499710	71682280	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	71683593	116420506	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	116420700	116439846	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr5	116440056	181363319	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr6	149661	35205980	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr6	35207081	50293302	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr6	50295011	50309508	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr6	50309879	170741917	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	43259	39281277	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	39283873	39330295	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	39334399	95602144	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	95603837	95631373	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	95631678	103821244	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	103822128	103841283	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr7	103843403	159334314	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr8	81254	25116961	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr8	25117007	25126735	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr8	25126818	145072769	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr9	46587	6985602	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr9	6986190	7007599	4	2	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr9	7008732	74500195	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr9	74508473	74522773	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr9	74525219	138200944	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	45792	24552345	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	24554857	24601293	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	24601637	29469890	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	29470296	29489138	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	29490270	99514276	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	99514301	99565901	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr10	99566040	133654968	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr11	198510	79502008	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr11	79502551	79654979	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr11	79657638	135074876	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	51460	756804	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	759943	764863	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	766188	5103778	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	5104405	5134197	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	5134373	30090521	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	30090606	30091000	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	30091017	105793147	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	105793229	105817198	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr12	105817211	133201603	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr13	18452809	19020961	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr13	19021251	19028399	6	4	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr13	19029914	114342922	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr14	18239283	98869422	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr14	98874476	98893487	5	3	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr14	98897009	106877229	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr15	19811075	36754336	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr15	36761719	36879863	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr15	36880946	79507679	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr15	79507699	79511560	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr15	79511997	101928837	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	10777	6252520	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	6253162	6604481	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	6604632	7064878	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	7065015	7113294	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	7114840	9224411	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	9224909	9243447	4	2	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr16	9243583	90096867	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	150733	35986971	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	35987430	46135838	2	2	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	46136346	46712919	3	3	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	46713445	68970576	2	2	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	68974228	69179842	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr17	69185682	83091923	2	2	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr18	48133	52909601	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr18	52910291	52914029	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr18	52914572	80257174	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr19	90910	33378368	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr19	33379418	33396254	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr19	33398463	58586487	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr20	80664	15419557	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr20	15419645	15446605	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr20	15447141	64324800	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr21	12973348	18548464	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr21	18549779	18560000	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr21	18560747	46677045	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr22	16392123	17824868	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr22	17826053	17834855	4	2	2
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr22	17836197	45420499	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr22	45425239	45508114	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chr22	45510227	50796027	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	251810	38526653	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	38527114	38544620	3	2	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	38544844	94340509	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	94340708	94347981	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	94348514	121678832	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	121682909	121785298	0	0	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	121785601	123182584	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	123183209	123254035	1	1	0
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrX	123254939	156004181	2	1	1
c7399462-8f94-41e8-b2a7-466bfe1295cd	chrY	2782397	56872112	0	0	0
