GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	62920	3309649	753	0.1634
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	3310052	27886464	14342	0.0157
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	27886702	27889891	4	-1.5989
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	27889927	30708966	1697	0.0175
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	30710639	30712791	4	1.2812
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	30714548	72297687	25942	0.0165
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	72302735	72318471	17	0.7426
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	72318487	75585159	1961	0.0204
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	75589078	75589169	2	-2.1586
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	75593824	152583230	31233	0.0132
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	152583291	152618018	35	-1.2191
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	152618089	229675422	51504	0.0174
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	229681109	229684449	3	-2.5517
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	229684709	235124437	4239	0.0214
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	235124487	235136069	2	1.8056
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	235136133	240228440	3859	0.0172
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	240230715	240230839	6	0.8306
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	240232805	241042133	619	0.0279
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	241042311	241042374	2	1.529
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	241045696	243139864	1520	0.0266
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	243143622	243187175	15	0.7929
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	243189078	248572774	3521	0.0305
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	248574146	248661962	38	-0.5393
b52cfdb6-5659-4bcb-955f-926f18bcbb00	1	248662519	248930189	136	0.1328
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	12784	3684956	2567	0.0228
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	3684997	3685683	3	-1.9666
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	3688948	40762124	26158	0.0102
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	40763176	40764298	4	1.4705
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	40764666	52537070	8392	0.01
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	52537091	52563002	26	0.6327
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	52563355	97359885	23834	0.0127
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	97524284	97545726	9	-1.1859
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	97550415	127094445	17921	0.008
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	127099470	127100370	3	2.198
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	127101070	130036283	1917	0.0332
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	130036310	130136424	15	-0.6515
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	130147351	194084959	38493	0.0104
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	194085242	194088933	3	1.8758
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	194089351	194122969	14	-0.0323
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	194123143	194124834	2	2.2913
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	194124876	207490994	7943	0.0053
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	207491028	207494612	12	-1.2178
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	207494752	208189585	405	0.0081
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	208190524	208193673	2	2.019
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	208195839	240730654	21061	0.0151
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	240737278	240745275	3	1.6543
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	240747750	241592107	429	0.0248
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	241600249	241706935	13	0.8366
b52cfdb6-5659-4bcb-955f-926f18bcbb00	2	241723206	242147305	148	0.0922
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	20930	85573697	58203	0.01
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	85575623	85575869	2	-2.2316
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	85579698	99201668	5414	-0.0007
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	99201783	99230457	48	-0.4965
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	99230464	143566923	27088	0.014
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	143566958	143567132	4	1.4548
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	143567959	146665207	2020	0.0142
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	146665349	146668345	3	-1.7906
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	146674197	161797809	9177	0.0078
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	161797839	161797861	2	2.3315
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	161798156	162813082	690	0.0021
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	162815162	162827928	8	2.6049
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	162828441	162908784	48	0.5181
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	162908815	195559056	20648	0.0083
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	195656271	195720051	25	-0.924
b52cfdb6-5659-4bcb-955f-926f18bcbb00	3	195728637	198169247	1184	0.0097
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	68929	7440335	4239	0.0296
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	7440399	7443518	2	1.6196
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	7444253	9404392	885	0.017
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	9404397	9585140	64	-0.3664
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	9587686	9858273	131	-0.03
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	9858277	9862603	3	1.3357
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	9863418	10229874	406	0.0294
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	10232590	10232984	3	1.4989
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	10233383	10391530	176	-0.0479
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	10396694	10399044	14	-0.5948
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	10401094	52872244	26352	0.0135
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	52872349	52872357	2	-2.0427
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	52873095	54635561	1252	0.0188
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	54635754	54639193	2	1.5944
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	54639766	59099649	2970	0.0201
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	59100775	59125158	17	-0.4842
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	59131065	63818451	2731	0.0173
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	63821843	63866325	49	-0.3419
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	63868700	68478894	2859	0.0058
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	68494770	68663241	72	0.4852
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	68671434	71539972	1643	0.0029
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	71540749	71541012	2	2.5155
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	71544631	103294549	19359	0.0122
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	103296943	103296945	3	2.1168
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	103298947	103824414	364	0.0149
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	103830473	103830480	5	1.4227
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	103830487	107147256	1872	0.0118
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	107150362	107150471	3	1.4964
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	107150731	114254167	4420	0.016
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	114254188	114263110	25	0.6216
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	114263154	121360818	4331	0.0242
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	121361313	121363827	27	-0.5476
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	121363980	129141596	4349	0.0099
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	129146391	129147005	2	-2.8518
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	129151408	151870485	13337	0.0066
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	151870502	151871415	10	-1.2446
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	151871739	154881396	1949	0.0056
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	154881853	154881926	3	-2.8179
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	154882047	160958866	3913	0.0127
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	160958972	160963448	19	-0.5878
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	160963756	172066706	7065	0.0078
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	172066777	172079670	17	0.7832
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	172080680	172501371	226	0.0262
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	172503796	172507492	7	1.5665
b52cfdb6-5659-4bcb-955f-926f18bcbb00	4	172519981	190106768	11824	0.0095
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	15532	15719241	12159	0.0143
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	15719966	15723237	10	-0.9942
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	15723376	58025819	23545	0.0103
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	58030200	58037706	32	1.3801
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	58042530	70959071	7305	0.0205
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	70959073	70959079	5	-1.1485
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	71010832	76154195	3134	0.0071
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	76154242	76154319	3	1.6946
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	76154351	180947523	66380	0.0131
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	180951710	181015920	24	-0.547
b52cfdb6-5659-4bcb-955f-926f18bcbb00	5	181018221	181363319	165	0.0899
b52cfdb6-5659-4bcb-955f-926f18bcbb00	6	149661	817619	563	-0.0079
b52cfdb6-5659-4bcb-955f-926f18bcbb00	6	819857	870244	49	0.3685
b52cfdb6-5659-4bcb-955f-926f18bcbb00	6	870479	1322979	459	-0.0026
