GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	62920	5501124	2392	-0.0174
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	5501451	16569132	6245	0.0441
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	16570326	16643961	28	-0.3284
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	16679239	30667100	8085	0.0519
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	30670188	30778851	83	0.5424
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	30789158	37434572	3654	0.0546
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	37434814	37436730	3	-1.9547
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	37436802	47845947	5853	0.0583
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	47847320	54730235	3731	-0.4642
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	54730247	54730426	3	-2.5852
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	54731066	72303233	12615	-0.4549
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	72303253	72345465	45	0.7667
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	72346221	85392440	8465	-0.4452
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	85403463	90633656	3466	0.0579
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	90634163	90634219	2	-1.3856
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	90634346	93691951	1723	0.0513
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	93692386	95437471	1353	0.2452
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	95439067	95689620	147	0.0754
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	95690160	95690510	2	-1.965
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	95690660	105470754	5756	0.0162
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	105476583	105479753	17	0.8789
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	105481433	112147704	4597	0.0292
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	112153343	112154768	25	0.4929
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	112163334	121556564	5142	0.0472
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	121558757	143494500	17	-0.1773
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	143541857	143748012	96	-0.7429
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	143748074	148987434	900	-0.1476
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	148987476	152583051	1444	0.0589
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	152583230	152614064	33	-1.9736
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	152614100	167736395	10318	0.0443
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	167743841	167746160	5	-1.0013
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	167746504	169247699	1155	0.0728
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	169264736	169272528	7	1.1454
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	169273163	184433894	10102	0.0449
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	184434752	193187218	5678	0.0159
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	193190593	196745743	2395	0.0379
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	196758720	196859808	72	0.2594
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	196862194	209897717	8770	0.0461
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	209908268	209908720	2	-1.5231
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	209910639	214463026	3093	0.0551
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	214463757	214471977	15	-0.577
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	214474285	230662105	10721	0.0438
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	230663062	230823931	144	0.2756
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	230825623	240228440	7173	0.0453
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	240230715	240230839	6	-1.094
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	240232805	241561622	1056	0.0427
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	241561862	244210070	1804	-0.0129
34f02c91-ec41-4431-80f2-ed16a43c1ef5	1	244216130	248930189	2997	0.0449
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	12784	700405	492	-0.0112
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	700580	1972219	795	-0.1076
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	1972518	8620309	5524	0.0077
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	8621032	10000867	891	0.0807
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	10001063	10017647	4	-0.999
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	10019309	11736490	1203	0.0718
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	11738979	34460213	15159	0.0321
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	34466002	34511990	47	-0.5743
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	34512489	37206067	2048	0.0435
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	37206233	38122373	709	0.1351
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	38123672	40590358	1699	0.0343
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	40591489	40595087	4	-0.9419
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	40595208	41011463	343	0.0285
34f02c91-ec41-4431-80f2-ed16a43c1ef5	2	41011478	41018747	18	-0.6775
