GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a86be412-93b1-4891-9eae-b2efe14f659b	1	3301765	27671057	12248	-0.0825
a86be412-93b1-4891-9eae-b2efe14f659b	1	27671883	27720026	20	-2.3475
a86be412-93b1-4891-9eae-b2efe14f659b	1	27722224	101211624	40798	-0.0286
a86be412-93b1-4891-9eae-b2efe14f659b	1	101212975	101218859	5	-4.9947
a86be412-93b1-4891-9eae-b2efe14f659b	1	101218962	208664109	43771	0.0032
a86be412-93b1-4891-9eae-b2efe14f659b	1	208664298	208664621	3	-6.3904
a86be412-93b1-4891-9eae-b2efe14f659b	1	208667395	211512678	1859	-0.0743
a86be412-93b1-4891-9eae-b2efe14f659b	1	211512879	211519729	13	-3.2897
a86be412-93b1-4891-9eae-b2efe14f659b	1	211519970	234168164	13503	-0.0147
a86be412-93b1-4891-9eae-b2efe14f659b	1	234169430	234173185	3	-6.1678
a86be412-93b1-4891-9eae-b2efe14f659b	1	234173214	245839662	7301	-0.0476
a86be412-93b1-4891-9eae-b2efe14f659b	1	245840236	245843320	6	-4.5773
a86be412-93b1-4891-9eae-b2efe14f659b	1	245847334	247650984	547	0.0029
a86be412-93b1-4891-9eae-b2efe14f659b	2	480597	3608153	1182	-0.2126
a86be412-93b1-4891-9eae-b2efe14f659b	2	3608215	3611134	5	-4.5102
a86be412-93b1-4891-9eae-b2efe14f659b	2	3611210	4650539	739	-0.068
a86be412-93b1-4891-9eae-b2efe14f659b	2	4652890	4653861	3	-6.9148
a86be412-93b1-4891-9eae-b2efe14f659b	2	4654312	15795582	7133	-0.081
a86be412-93b1-4891-9eae-b2efe14f659b	2	15795714	15803897	11	-3.1357
a86be412-93b1-4891-9eae-b2efe14f659b	2	15805007	73130508	30706	-0.0222
a86be412-93b1-4891-9eae-b2efe14f659b	2	73131164	73145477	7	-4.4568
a86be412-93b1-4891-9eae-b2efe14f659b	2	73146922	133089557	24682	-0.0499
a86be412-93b1-4891-9eae-b2efe14f659b	2	133089907	133096873	5	-5.2395
a86be412-93b1-4891-9eae-b2efe14f659b	2	133097484	140269110	3626	-0.0572
a86be412-93b1-4891-9eae-b2efe14f659b	2	140269417	140269590	2	-7.8231
a86be412-93b1-4891-9eae-b2efe14f659b	2	140270088	170107650	16231	-0.0103
a86be412-93b1-4891-9eae-b2efe14f659b	2	170108075	170114069	5	-4.636
a86be412-93b1-4891-9eae-b2efe14f659b	2	170114181	241537572	38210	-0.0264
a86be412-93b1-4891-9eae-b2efe14f659b	3	2170634	7412367	2428	-0.0998
a86be412-93b1-4891-9eae-b2efe14f659b	3	7413321	7413647	4	-5.1997
a86be412-93b1-4891-9eae-b2efe14f659b	3	7413889	10680982	2111	-0.0233
