GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-A010-01A-01D-A077-02	chr1	17001	635000	13	-2.334888
TCGA-AA-A010-01A-01D-A077-02	chr1	701001	771000	3	-29.345293
TCGA-AA-A010-01A-01D-A077-02	chr1	777001	817000	33	-1.457373
TCGA-AA-A010-01A-01D-A077-02	chr1	818001	1657000	804	-0.309699
TCGA-AA-A010-01A-01D-A077-02	chr1	1657001	1665000	6	-1.910496
TCGA-AA-A010-01A-01D-A077-02	chr1	1665001	2656000	953	-0.213850
TCGA-AA-A010-01A-01D-A077-02	chr1	2656001	2776000	8	-1.301929
TCGA-AA-A010-01A-01D-A077-02	chr1	2777001	4046000	1255	-0.173920
TCGA-AA-A010-01A-01D-A077-02	chr1	4046001	4859000	806	-0.064005
TCGA-AA-A010-01A-01D-A077-02	chr1	4859001	4867000	8	-1.251679
TCGA-AA-A010-01A-01D-A077-02	chr1	4867001	7412000	2540	-0.072173
TCGA-AA-A010-01A-01D-A077-02	chr1	7412001	7419000	7	-2.197613
TCGA-AA-A010-01A-01D-A077-02	chr1	7419001	7597000	178	-0.192710
TCGA-AA-A010-01A-01D-A077-02	chr1	7597001	7606000	9	-2.756024
TCGA-AA-A010-01A-01D-A077-02	chr1	7606001	11083000	3470	-0.094689
TCGA-AA-A010-01A-01D-A077-02	chr1	11083001	11089000	6	-0.980222
TCGA-AA-A010-01A-01D-A077-02	chr1	11089001	11779000	690	-0.098355
TCGA-AA-A010-01A-01D-A077-02	chr1	11779001	12781000	1002	-0.048115
TCGA-AA-A010-01A-01D-A077-02	chr1	12781001	13059000	100	-0.703928
TCGA-AA-A010-01A-01D-A077-02	chr1	13104001	13314000	49	-0.399182
TCGA-AA-A010-01A-01D-A077-02	chr1	13315001	13366000	35	-2.035276
TCGA-AA-A010-01A-01D-A077-02	chr1	13366001	13455000	89	-0.455908
TCGA-AA-A010-01A-01D-A077-02	chr1	13455001	14382000	925	-0.062266
TCGA-AA-A010-01A-01D-A077-02	chr1	14382001	14389000	7	-3.382026
TCGA-AA-A010-01A-01D-A077-02	chr1	14389001	16534000	2137	-0.103691
TCGA-AA-A010-01A-01D-A077-02	chr1	16534001	16579000	21	-3.132551
TCGA-AA-A010-01A-01D-A077-02	chr1	16579001	16602000	16	-4.564446
TCGA-AA-A010-01A-01D-A077-02	chr1	16602001	16697000	64	-1.122844
TCGA-AA-A010-01A-01D-A077-02	chr1	16699001	16713000	7	-4.170157
TCGA-AA-A010-01A-01D-A077-02	chr1	16713001	16730000	16	-1.207123
TCGA-AA-A010-01A-01D-A077-02	chr1	16730001	16761000	6	-4.089153
TCGA-AA-A010-01A-01D-A077-02	chr1	16764001	16799000	25	-1.352284
TCGA-AA-A010-01A-01D-A077-02	chr1	16850001	16851000	1	-29.487737
TCGA-AA-A010-01A-01D-A077-02	chr1	16856001	16950000	88	-2.313795
TCGA-AA-A010-01A-01D-A077-02	chr1	16950001	17506000	553	-0.086996
TCGA-AA-A010-01A-01D-A077-02	chr1	17506001	21963000	4439	-0.054219
TCGA-AA-A010-01A-01D-A077-02	chr1	21963001	21989000	25	-0.766968
TCGA-AA-A010-01A-01D-A077-02	chr1	21989001	22016000	23	-1.564439
TCGA-AA-A010-01A-01D-A077-02	chr1	22016001	25058000	3033	-0.042462
TCGA-AA-A010-01A-01D-A077-02	chr1	25058001	25061000	3	-29.450034
TCGA-AA-A010-01A-01D-A077-02	chr1	25061001	25514000	361	-0.117140
TCGA-AA-A010-01A-01D-A077-02	chr1	25514001	33670000	8129	-0.060238
TCGA-AA-A010-01A-01D-A077-02	chr1	33670001	33678000	8	-3.108801
TCGA-AA-A010-01A-01D-A077-02	chr1	33678001	34092000	411	0.018408
TCGA-AA-A010-01A-01D-A077-02	chr1	34092001	34096000	4	-3.719805
TCGA-AA-A010-01A-01D-A077-02	chr1	34098001	37208000	3096	-0.032790
TCGA-AA-A010-01A-01D-A077-02	chr1	37208001	37214000	6	-29.440488
TCGA-AA-A010-01A-01D-A077-02	chr1	37214001	38649000	1435	-0.034148
TCGA-AA-A010-01A-01D-A077-02	chr1	38649001	41176000	2495	-0.040879
TCGA-AA-A010-01A-01D-A077-02	chr1	41176001	41184000	8	-1.545354
TCGA-AA-A010-01A-01D-A077-02	chr1	41184001	45178000	3976	-0.010189
TCGA-AA-A010-01A-01D-A077-02	chr1	45178001	45186000	8	-4.349155
TCGA-AA-A010-01A-01D-A077-02	chr1	45186001	45282000	95	0.147094
TCGA-AA-A010-01A-01D-A077-02	chr1	45282001	46014000	729	-0.045421
TCGA-AA-A010-01A-01D-A077-02	chr1	46014001	46019000	5	-1.354203
TCGA-AA-A010-01A-01D-A077-02	chr1	46019001	47053000	1019	-0.018849
TCGA-AA-A010-01A-01D-A077-02	chr1	47053001	47058000	5	-2.763848
TCGA-AA-A010-01A-01D-A077-02	chr1	47058001	47166000	98	-0.306051
TCGA-AA-A010-01A-01D-A077-02	chr1	47166001	47173000	7	-2.093531
TCGA-AA-A010-01A-01D-A077-02	chr1	47173001	48208000	1028	-0.018111
TCGA-AA-A010-01A-01D-A077-02	chr1	48208001	48215000	7	-2.408451
TCGA-AA-A010-01A-01D-A077-02	chr1	48215001	48276000	61	0.049924
TCGA-AA-A010-01A-01D-A077-02	chr1	48276001	48284000	8	-2.713100
TCGA-AA-A010-01A-01D-A077-02	chr1	48284001	49448000	1156	0.007996
TCGA-AA-A010-01A-01D-A077-02	chr1	49448001	49517000	69	-0.750089
TCGA-AA-A010-01A-01D-A077-02	chr1	49517001	52171000	2647	-0.011393
TCGA-AA-A010-01A-01D-A077-02	chr1	52171001	52177000	6	-2.448966
TCGA-AA-A010-01A-01D-A077-02	chr1	52177001	55560000	3374	-0.024566
TCGA-AA-A010-01A-01D-A077-02	chr1	55560001	55569000	9	-2.912604
TCGA-AA-A010-01A-01D-A077-02	chr1	55569001	58487000	2891	0.009142
TCGA-AA-A010-01A-01D-A077-02	chr1	58487001	58495000	8	-1.499780
TCGA-AA-A010-01A-01D-A077-02	chr1	58495001	58956000	460	0.050885
TCGA-AA-A010-01A-01D-A077-02	chr1	58956001	58964000	8	-1.949574
TCGA-AA-A010-01A-01D-A077-02	chr1	58964001	59251000	286	0.075666
TCGA-AA-A010-01A-01D-A077-02	chr1	59251001	59257000	6	-3.183882
TCGA-AA-A010-01A-01D-A077-02	chr1	59257001	59367000	110	0.123814
TCGA-AA-A010-01A-01D-A077-02	chr1	59367001	59375000	8	-2.944065
TCGA-AA-A010-01A-01D-A077-02	chr1	59375001	59462000	87	0.058101
TCGA-AA-A010-01A-01D-A077-02	chr1	59462001	59470000	8	-0.957819
TCGA-AA-A010-01A-01D-A077-02	chr1	59470001	59533000	63	0.036530
TCGA-AA-A010-01A-01D-A077-02	chr1	59533001	59539000	6	-3.913165
TCGA-AA-A010-01A-01D-A077-02	chr1	59539001	59584000	45	0.024544
TCGA-AA-A010-01A-01D-A077-02	chr1	59584001	59593000	9	-1.857624
TCGA-AA-A010-01A-01D-A077-02	chr1	59593001	60772000	1170	0.105546
