GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
153dfce3-3397-4e87-ba14-4c69c9c909df	1	62920	259407	14	0.1594
153dfce3-3397-4e87-ba14-4c69c9c909df	1	259422	3218611	685	-0.4893
153dfce3-3397-4e87-ba14-4c69c9c909df	1	3220294	3221349	2	-3.3733
153dfce3-3397-4e87-ba14-4c69c9c909df	1	3221392	15822848	7614	-0.4307
153dfce3-3397-4e87-ba14-4c69c9c909df	1	15823420	15844541	17	0.2446
153dfce3-3397-4e87-ba14-4c69c9c909df	1	15850269	16679483	324	-0.3824
153dfce3-3397-4e87-ba14-4c69c9c909df	1	16685961	16959824	85	-0.894
153dfce3-3397-4e87-ba14-4c69c9c909df	1	16965399	22170210	3430	-0.4246
153dfce3-3397-4e87-ba14-4c69c9c909df	1	22175223	22177779	3	-2.1032
153dfce3-3397-4e87-ba14-4c69c9c909df	1	22180930	25256188	1803	-0.4241
153dfce3-3397-4e87-ba14-4c69c9c909df	1	25256352	25320198	25	-1.4236
153dfce3-3397-4e87-ba14-4c69c9c909df	1	25320253	30258730	2379	-0.4264
153dfce3-3397-4e87-ba14-4c69c9c909df	1	30258851	30264526	4	-2.6556
153dfce3-3397-4e87-ba14-4c69c9c909df	1	30265508	37278885	3967	-0.4156
153dfce3-3397-4e87-ba14-4c69c9c909df	1	37281043	50481363	7467	-0.0123
153dfce3-3397-4e87-ba14-4c69c9c909df	1	50485971	50723503	113	-0.3983
153dfce3-3397-4e87-ba14-4c69c9c909df	1	50724201	53182236	1163	-0.0004
153dfce3-3397-4e87-ba14-4c69c9c909df	1	53188157	53230379	16	-0.4999
153dfce3-3397-4e87-ba14-4c69c9c909df	1	53230749	54627618	883	-0.0176
153dfce3-3397-4e87-ba14-4c69c9c909df	1	54628716	54635192	3	-1.28
153dfce3-3397-4e87-ba14-4c69c9c909df	1	54635759	72303233	12723	-0.019
153dfce3-3397-4e87-ba14-4c69c9c909df	1	72303253	72346221	46	-1.7372
153dfce3-3397-4e87-ba14-4c69c9c909df	1	72346757	75585159	1930	-0.0285
153dfce3-3397-4e87-ba14-4c69c9c909df	1	75589078	75589169	2	-2.563
