GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr1	61735	248930189	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr2	12784	110068801	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr2	110069583	110631055	1	1	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr2	110639188	242147305	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr3	18667	48627742	2	2	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr3	48630408	59854269	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr3	59858999	59951736	1	1	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr3	59953367	198169247	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr4	12281	190106768	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr5	15532	181363319	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr6	149661	1816016	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr6	1816398	2020836	1	1	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr6	2021474	170741917	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr7	43259	159334314	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr8	81254	145072769	3	2	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr9	46587	138200944	3	2	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr10	26823	133769379	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr11	198572	135074876	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr12	51460	38652940	2	2	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr12	38653403	133201603	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr13	18452809	114342922	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr14	18225647	106877229	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr15	19811075	101928837	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr16	10777	90221127	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr17	150733	83090856	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr18	48133	80257174	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr19	90910	58586487	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr20	80664	64324800	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr21	10336543	46677045	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chr22	15294545	50796027	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chrX	251810	2775134	2	1	1
b7576c59-132d-4a3f-bfe1-7164091fb24d	chrX	2775583	155699837	1	1	0
b7576c59-132d-4a3f-bfe1-7164091fb24d	chrX	155733777	156004181	2	1	1
