GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	1	3301765	108055714	60844	0.0001
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	1	108056719	108067214	8	-1.0005
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	1	108067735	247650984	68838	0.001
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	2	480597	166789937	88882	0.0012
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	2	166790134	166814362	22	0.5249
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	2	166819047	241537572	43225	-0.0015
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	3	2170634	184509641	99770	0.0006
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	3	184509965	184523147	8	-0.8062
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	3	184523474	196474430	7090	0.0031
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	3	196477090	196478316	3	-1.1524
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	3	196479894	197812401	238	0.0292
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	4	1059384	187842528	103421	0.0015
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	5	913983	180934240	101059	0.0031
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	6	1011760	170596889	97099	0.0001
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	7	664936	158592540	81899	0.0026
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	8	667625	111983421	62058	0.0039
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	8	111983454	111983672	5	-0.9863
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	8	111983691	144182542	20113	0.0033
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	9	789794	138044505	68447	0.001
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	10	366509	133411599	81237	0.0013
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	11	456012	134272740	77511	0.0003
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	12	780472	132605822	74306	0.0027
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	13	18874255	114226675	56949	0.0039
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	14	20033191	105533894	49764	0.0021
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	15	23437561	101344124	44763	0.0063
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	16	603333	89317317	41198	0.001
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	17	1074619	82959812	37266	0.0006
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	18	326691	79349796	42935	0.0018
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	19	283868	58370362	24151	0.0038
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	20	472817	11462384	7038	0.0042
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	20	11470334	11492869	25	-0.9043
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	20	11493242	63588502	30473	0.0024
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	21	13974127	46262057	20578	0.0023
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	22	16934932	48940621	17089	-0.0014
4d834ed2-d6e8-4ac2-8d27-cca94bb0e26d	X	3236359	155677414	63823	0.0023
