GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	62920	901705	57	0.4753
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	914637	3309649	696	0.1132
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	3310052	15465931	7382	-0.0014
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	15466096	15470313	5	0.7551
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	15471008	15823420	191	-0.0077
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	15827002	15828515	10	0.7208
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	15839166	16569132	299	-0.0104
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	16570326	16689764	34	0.6017
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	16718963	16721984	6	1.4265
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	16766762	16868660	17	0.7262
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	16877002	25256850	5314	0.0059
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	25266637	25320455	24	0.4007
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	25336819	62186114	21859	0.0037
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	62190512	62190838	2	-1.4328
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	62196120	72303233	6876	0.0009
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	72303253	72345450	44	-1.4009
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	72345465	86674919	9349	0.0003
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	86674961	86708299	11	-0.6511
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	86709846	103621165	10673	0.0015
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	103697067	103717410	3	1.2137
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	103717617	104956399	631	0.0052
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	104957900	104963200	3	-1.6067
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	104963330	109684893	2936	-0.0053
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	109690352	109697556	13	-1.0405
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	109702376	112147704	1950	0.02
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	112153343	112153880	7	-0.7025
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	112153915	119582932	4763	0.0046
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	119583034	148979851	1399	0.0769
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	148980077	152583051	1456	0.0162
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	152583230	152613762	31	-1.5232
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	152613802	152782154	164	0.0173
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	152783832	152806100	50	0.3134
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	152806341	181274957	19120	0.0036
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	181282178	181303202	27	0.6356
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	181306624	189354974	5360	0.0034
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	189357207	189568201	129	-0.9712
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	189577840	248546369	40510	0.0057
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	248550567	248633912	35	-1.9944
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	248645563	248930189	141	0.14
8f1c55f6-02ac-4359-832e-9bf263750cc1	2	12784	1615831	1049	0.0315
