GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	62920	2065208	345	-0.0238
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	2065483	3280916	382	-0.097
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	3281183	10610834	4625	-0.0008
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	10611363	10619664	3	-1.3219
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	10621749	12775725	1125	-0.0059
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	12777697	13114062	39	0.3949
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	13118266	15823420	1810	-0.003
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	15827002	15827430	6	-1.6286
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	15827706	16685961	336	0.0186
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	16686246	16935302	74	0.2922
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	16935393	25256850	5259	-0.0033
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	25266637	25336819	25	0.3418
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	25336853	75585159	30698	0.0029
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	75589078	75589169	2	-3.0373
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	75593824	105459522	19010	0.004
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	105459540	105481448	21	0.4365
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	105481468	110833598	3479	0.007
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	110834746	110845604	39	0.4325
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	110849445	112153651	1080	0.0146
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	112153686	112166639	37	0.2586
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	112166663	120885464	5044	-0.0034
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	120885477	120954128	2	1.169
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	120954165	147205320	530	0.0224
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	147205357	148335153	530	0.0867
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	148335506	152575425	1460	-0.0022
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	152575461	152613641	46	0.2439
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	152613762	152783832	166	-0.0088
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	152783934	152796224	43	0.356
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	152801429	158896783	3611	0.0062
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	158898711	158899969	2	-1.4549
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	158905028	189053842	20682	0.0012
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	189058092	189062230	7	-0.7366
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	189063349	195861806	4571	0.0027
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	195863534	195905777	38	-0.9507
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	195906930	196758720	543	0.0196
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	196761905	196843400	59	0.3267
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	196846661	209897717	8782	0.0033
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	209908268	209910639	3	1.1164
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	209913207	247664666	26309	0.0009
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	247665179	248661962	567	0.088
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	1	248662519	248930189	136	0.0043
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	12784	139574	69	-0.0103
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	139654	433274	193	0.1152
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	438676	20623459	15293	-0.0002
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	20623492	20623852	2	-1.5566
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	20624931	28873941	4604	-0.0018
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	28874771	28878353	6	-1.41
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	28880941	34466002	3901	0.0034
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	34474248	34511990	46	-2.2001
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	34512096	52512079	12988	0.0084
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	52514599	52554404	42	0.3937
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	52560811	59445820	4801	0.0075
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	59446395	59446980	2	-1.1865
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	59449494	86710564	17086	0.0041
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	86725947	86726731	2	-1.3562
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	86743283	87074984	75	0.0271
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	87079825	87082140	2	-1.614
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	87082711	97359885	1853	0.0024
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	97524284	97562741	16	0.4589
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	97563117	106258266	5556	-0.0054
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	106263639	106268901	12	0.6343
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	106270799	146104517	23802	0.0063
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	146106836	146109366	24	-1.8305
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	146120238	207490231	36943	0.0027
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	207490454	207494752	16	-0.61
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	207494795	217639043	6654	0.0056
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	217639413	217641689	3	-1.2274
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	217641862	235038830	11087	-0.0026
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	235041276	235063327	12	-0.4352
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	2	235063509	242147305	4316	-0.0081
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	20930	2761620	2397	0.0779
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	2761735	21750326	13892	0.0104
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	21750438	22263264	504	0.1067
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	22264276	46760374	16375	0.0103
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	46760471	46808099	38	0.2554
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	46817989	47358421	240	0.0019
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	47358841	47363961	3	-1.3649
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	47367722	52989195	2250	0.003
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	52994359	53007328	44	-0.4671
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	53007467	55751769	2083	0.0045
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	55752512	55756736	3	-1.11
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	55761498	59770115	2496	0.008
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	59770638	61015627	1402	0.0831
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	61016190	68697013	6035	0.0058
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	68697108	68698262	14	0.9302
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	68699607	99225632	15896	0.0104
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	99225667	99230577	36	-0.3723
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	99232120	146758696	29170	0.0059
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	146759265	147453565	358	0.0724
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	147455134	147460026	4	0.7027
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	147461515	147984723	294	0.0974
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	147985025	150791644	1736	0.0031
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	150791817	150792302	3	-0.8499
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	150792440	162813082	7430	0.0082
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	162815162	162827928	8	-0.9151
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	162828441	162908784	48	-0.225
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	162908815	169678282	3930	0.0204
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	169678593	169689241	5	-0.7692
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	169689436	173614990	2475	0.0198
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	173622729	173624597	4	-0.3305
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	173625394	173689788	50	0.2706
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	173691740	175353337	1166	0.0175
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	175353506	176236324	586	0.0956
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	176236398	193160113	10938	0.0081
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	193160173	193165114	19	-0.8065
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	193168646	195707243	1501	0.0073
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	195707392	195747892	27	-0.4505
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	3	195751823	198169247	1164	0.0156
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	68929	3711279	1499	-0.018
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	3711538	3712714	5	-1.4587
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	3713876	10208766	4191	0.0025
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	10212536	10232642	31	0.536
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	10232984	10389091	175	-0.0086
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	10390730	10399044	16	-0.6874
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	10401094	26287196	11538	0.0066
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	26290363	26293154	3	-0.9445
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	26293552	32960408	4206	0.0068
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	32962842	33033347	48	0.2257
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	33033776	34777353	980	-0.0032
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	34777382	34823103	42	0.7728
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	34828250	45003738	6631	0.0078
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	45003835	45004318	4	-0.8916
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	45008952	48088118	1684	0.0077
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	48088584	49501768	650	0.0849
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	49508382	63828222	7575	0.0059
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	63831751	63842540	28	-0.436
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	63850713	68389352	2849	0.009
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	68391041	68429081	10	-0.98
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	68439221	68478894	8	-0.0303
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	68494770	68639397	70	0.549
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	68640616	69523998	477	0.0723
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	69524143	69525061	2	-2.7971
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	69526170	114252544	27202	0.0053
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	114254167	114261019	23	0.7339
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	114263073	137159607	13216	0.0076
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	137161484	137212336	47	0.2269
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	137212848	160959045	14679	0.0064
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	160959151	160963448	16	-0.8984
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	160963756	161130063	139	0.1023
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	161135340	161138477	2	-1.5763
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	161145333	171448195	6522	0.0129
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	171453733	171456625	12	-0.6699
7979fa97-57f8-4b1d-81f5-b7af84aeaaae	4	171459220	172501171	635	0.0125
