GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
76226756-b041-481d-968d-a18c93957258	1	62920	1716055	215	0.0179
76226756-b041-481d-968d-a18c93957258	1	1716451	1741164	11	0.8291
76226756-b041-481d-968d-a18c93957258	1	1756148	15822848	8108	0.001
76226756-b041-481d-968d-a18c93957258	1	15823420	15828471	10	0.548
76226756-b041-481d-968d-a18c93957258	1	15828515	16604834	304	0.0008
76226756-b041-481d-968d-a18c93957258	1	16605031	16949746	107	0.3633
76226756-b041-481d-968d-a18c93957258	1	16951445	25256850	5259	0.0017
76226756-b041-481d-968d-a18c93957258	1	25266637	25318693	19	-1.5546
76226756-b041-481d-968d-a18c93957258	1	25319167	25320455	5	-0.6661
76226756-b041-481d-968d-a18c93957258	1	25336819	34626037	4948	0.0023
76226756-b041-481d-968d-a18c93957258	1	34626073	34648667	22	-0.4559
76226756-b041-481d-968d-a18c93957258	1	34649941	61648334	16453	0.0022
76226756-b041-481d-968d-a18c93957258	1	61648509	61652515	3	-0.9773
76226756-b041-481d-968d-a18c93957258	1	61654137	72284670	7274	0.0083
76226756-b041-481d-968d-a18c93957258	1	72290430	72297687	9	-0.6677
76226756-b041-481d-968d-a18c93957258	1	72302735	72345465	48	1.0769
76226756-b041-481d-968d-a18c93957258	1	72346221	103566616	19986	0.0033
76226756-b041-481d-968d-a18c93957258	1	103566732	103616762	26	0.5571
76226756-b041-481d-968d-a18c93957258	1	103620877	105476688	926	-0.0061
76226756-b041-481d-968d-a18c93957258	1	105476748	105479753	14	-0.4876
76226756-b041-481d-968d-a18c93957258	1	105481433	110827908	3474	0.0052
76226756-b041-481d-968d-a18c93957258	1	110828100	110869657	78	0.1572
76226756-b041-481d-968d-a18c93957258	1	110872270	111235846	227	-0.0089
76226756-b041-481d-968d-a18c93957258	1	111237508	111237737	3	1.0039
76226756-b041-481d-968d-a18c93957258	1	111237792	112147704	810	0.0075
76226756-b041-481d-968d-a18c93957258	1	112153343	112154754	24	0.3485
76226756-b041-481d-968d-a18c93957258	1	112154768	143494500	5162	0.0093
76226756-b041-481d-968d-a18c93957258	1	143541857	143942271	126	-0.479
76226756-b041-481d-968d-a18c93957258	1	144432083	152583051	2308	0.0176
76226756-b041-481d-968d-a18c93957258	1	152583230	152613762	31	-1.4639
76226756-b041-481d-968d-a18c93957258	1	152613802	196761905	29645	0.0042
76226756-b041-481d-968d-a18c93957258	1	196762480	196862194	70	0.3308
