GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	3301765	41304640	20340	0.0085
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	41308682	41309583	2	-1.7806
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	41317411	247650984	109444	-0.0002
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	480597	44429485	26390	0.0056
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	44433300	44433945	3	-1.2501
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	44436013	241537572	105850	0.0058
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	2170634	134308480	74254	0.0008
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	134308765	134309589	2	-1.7384
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	134310330	179209077	23166	-0.0036
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	179209525	179209754	4	-1.3399
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	179210270	195051235	9161	-0.0061
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	195057716	195059851	2	1.3418
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	195060020	197812401	621	0.0204
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	1059384	187842528	103524	-0.0001
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	913983	10267110	6904	-0.0037
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	10268331	10273531	2	1.5808
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	10275758	124606647	59871	0.0004
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	124606858	124611129	2	-1.7465
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	124613037	157966535	20353	-0.0045
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	157972042	157972891	3	-1.4657
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	157974887	175916541	11960	-0.0067
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	175919594	175922077	7	-0.7472
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	175933010	180934240	2051	0.0125
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	1011760	161734070	93068	-0.0016
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	161734527	161734869	2	1.5522
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	161736126	167080909	3244	-0.0151
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	167088034	167088050	2	-1.3316
