GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3930-01A-01D-A91W-36	chr1	17001	12647000	11657	0.010244
TCGA-AA-3930-01A-01D-A91W-36	chr1	12647001	12834000	185	-0.413497
TCGA-AA-3930-01A-01D-A91W-36	chr1	12835001	13122000	67	-0.332138
TCGA-AA-3930-01A-01D-A91W-36	chr1	13170001	13569000	269	-0.475626
TCGA-AA-3930-01A-01D-A91W-36	chr1	13569001	13961000	392	-0.449086
TCGA-AA-3930-01A-01D-A91W-36	chr1	13961001	15170000	1206	-0.452466
TCGA-AA-3930-01A-01D-A91W-36	chr1	15170001	15824000	653	-0.397583
TCGA-AA-3930-01A-01D-A91W-36	chr1	15824001	16542000	711	-0.396435
TCGA-AA-3930-01A-01D-A91W-36	chr1	16543001	16617000	44	-0.114218
TCGA-AA-3930-01A-01D-A91W-36	chr1	16617001	16639000	22	-0.113643
TCGA-AA-3930-01A-01D-A91W-36	chr1	16639001	16872000	94	-0.341935
TCGA-AA-3930-01A-01D-A91W-36	chr1	16872001	16931000	58	-0.931260
TCGA-AA-3930-01A-01D-A91W-36	chr1	16931001	17100000	167	-0.426268
TCGA-AA-3930-01A-01D-A91W-36	chr1	17100001	17327000	227	-0.414884
TCGA-AA-3930-01A-01D-A91W-36	chr1	17327001	17938000	610	-0.430933
TCGA-AA-3930-01A-01D-A91W-36	chr1	17938001	18447000	509	-0.458975
TCGA-AA-3930-01A-01D-A91W-36	chr1	18447001	18952000	504	-0.429353
TCGA-AA-3930-01A-01D-A91W-36	chr1	18952001	19461000	509	-0.399191
TCGA-AA-3930-01A-01D-A91W-36	chr1	19461001	19492000	31	-0.416356
TCGA-AA-3930-01A-01D-A91W-36	chr1	19492001	19835000	343	-0.403658
TCGA-AA-3930-01A-01D-A91W-36	chr1	19835001	20409000	574	-0.390850
TCGA-AA-3930-01A-01D-A91W-36	chr1	20409001	20722000	312	-0.433660
TCGA-AA-3930-01A-01D-A91W-36	chr1	20722001	21210000	484	-0.379733
TCGA-AA-3930-01A-01D-A91W-36	chr1	21210001	21680000	458	-0.424093
TCGA-AA-3930-01A-01D-A91W-36	chr1	21680001	22593000	908	-0.410492
TCGA-AA-3930-01A-01D-A91W-36	chr1	22593001	22628000	35	-0.413255
TCGA-AA-3930-01A-01D-A91W-36	chr1	22628001	22883000	255	-0.411262
TCGA-AA-3930-01A-01D-A91W-36	chr1	22883001	23889000	1005	-0.390812
TCGA-AA-3930-01A-01D-A91W-36	chr1	23889001	24156000	265	-0.379013
TCGA-AA-3930-01A-01D-A91W-36	chr1	24156001	29255000	4990	-0.399900
TCGA-AA-3930-01A-01D-A91W-36	chr1	29255001	30557000	1294	-0.462556
TCGA-AA-3930-01A-01D-A91W-36	chr1	30557001	30962000	403	-0.438046
TCGA-AA-3930-01A-01D-A91W-36	chr1	30962001	33690000	2722	-0.396564
TCGA-AA-3930-01A-01D-A91W-36	chr1	33690001	33756000	66	-0.440998
TCGA-AA-3930-01A-01D-A91W-36	chr1	33756001	34481000	715	-0.455292
TCGA-AA-3930-01A-01D-A91W-36	chr1	34481001	35717000	1229	-0.408867
TCGA-AA-3930-01A-01D-A91W-36	chr1	35717001	44221000	8455	0.031544
TCGA-AA-3930-01A-01D-A91W-36	chr1	44221001	44992000	769	-0.405184
TCGA-AA-3930-01A-01D-A91W-36	chr1	44992001	45300000	306	-0.374383
TCGA-AA-3930-01A-01D-A91W-36	chr1	45300001	45783000	480	-0.388751
TCGA-AA-3930-01A-01D-A91W-36	chr1	45783001	46141000	358	-0.370807
TCGA-AA-3930-01A-01D-A91W-36	chr1	46141001	47888000	1722	-0.400188
TCGA-AA-3930-01A-01D-A91W-36	chr1	47888001	48017000	128	-0.438372
TCGA-AA-3930-01A-01D-A91W-36	chr1	48017001	48983000	957	-0.447051
TCGA-AA-3930-01A-01D-A91W-36	chr1	48983001	49940000	947	-0.439904
TCGA-AA-3930-01A-01D-A91W-36	chr1	49940001	52411000	2469	-0.394101
TCGA-AA-3930-01A-01D-A91W-36	chr1	52411001	52598000	187	-0.366990
TCGA-AA-3930-01A-01D-A91W-36	chr1	52598001	53901000	1300	-0.416472
TCGA-AA-3930-01A-01D-A91W-36	chr1	53901001	56285000	2373	-0.413645
TCGA-AA-3930-01A-01D-A91W-36	chr1	56285001	57955000	1665	-0.462089
TCGA-AA-3930-01A-01D-A91W-36	chr1	57955001	58438000	466	-0.418235
TCGA-AA-3930-01A-01D-A91W-36	chr1	58438001	58668000	229	-0.383829
TCGA-AA-3930-01A-01D-A91W-36	chr1	58668001	58672000	4	-0.348865
TCGA-AA-3930-01A-01D-A91W-36	chr1	58672001	59611000	938	-0.379757
TCGA-AA-3930-01A-01D-A91W-36	chr1	59611001	61646000	2025	-0.382832
TCGA-AA-3930-01A-01D-A91W-36	chr1	61646001	61654000	8	-0.716958
TCGA-AA-3930-01A-01D-A91W-36	chr1	61654001	61915000	261	-0.394872
TCGA-AA-3930-01A-01D-A91W-36	chr1	61915001	62038000	123	-0.388428
TCGA-AA-3930-01A-01D-A91W-36	chr1	62038001	62460000	422	-0.426522
TCGA-AA-3930-01A-01D-A91W-36	chr1	62460001	63258000	796	-0.386945
TCGA-AA-3930-01A-01D-A91W-36	chr1	63258001	64474000	1209	-0.436786
TCGA-AA-3930-01A-01D-A91W-36	chr1	64474001	65436000	960	-0.392311
TCGA-AA-3930-01A-01D-A91W-36	chr1	65436001	65558000	121	-0.406322
TCGA-AA-3930-01A-01D-A91W-36	chr1	65564001	69692000	4102	-0.400750
TCGA-AA-3930-01A-01D-A91W-36	chr1	69692001	69730000	38	-0.406613
TCGA-AA-3930-01A-01D-A91W-36	chr1	69730001	71014000	1273	-0.404352
TCGA-AA-3930-01A-01D-A91W-36	chr1	71014001	77011000	5912	-0.435926
TCGA-AA-3930-01A-01D-A91W-36	chr1	77011001	78255000	1235	-0.386246
TCGA-AA-3930-01A-01D-A91W-36	chr1	78255001	78996000	734	-0.388002
TCGA-AA-3930-01A-01D-A91W-36	chr1	78996001	79635000	637	-0.429091
TCGA-AA-3930-01A-01D-A91W-36	chr1	79635001	82988000	3326	-0.462026
TCGA-AA-3930-01A-01D-A91W-36	chr1	82988001	83219000	223	-0.447589
TCGA-AA-3930-01A-01D-A91W-36	chr1	83219001	83367000	128	-0.387300
TCGA-AA-3930-01A-01D-A91W-36	chr1	83367001	83763000	387	-0.450074
TCGA-AA-3930-01A-01D-A91W-36	chr1	83763001	84921000	1148	-0.385640
TCGA-AA-3930-01A-01D-A91W-36	chr1	84921001	84952000	31	-0.392922
TCGA-AA-3930-01A-01D-A91W-36	chr1	84952001	86249000	1267	-0.384882
TCGA-AA-3930-01A-01D-A91W-36	chr1	86249001	86526000	276	-0.403705
TCGA-AA-3930-01A-01D-A91W-36	chr1	86526001	87123000	590	-0.373050
TCGA-AA-3930-01A-01D-A91W-36	chr1	87123001	87727000	604	-0.434885
TCGA-AA-3930-01A-01D-A91W-36	chr1	87727001	89819000	2072	-0.402451
TCGA-AA-3930-01A-01D-A91W-36	chr1	89819001	91227000	1400	-0.397234
TCGA-AA-3930-01A-01D-A91W-36	chr1	91227001	91839000	606	-0.387592
TCGA-AA-3930-01A-01D-A91W-36	chr1	91839001	91889000	50	-0.444053
TCGA-AA-3930-01A-01D-A91W-36	chr1	91889001	92047000	158	-0.409504
TCGA-AA-3930-01A-01D-A91W-36	chr1	92047001	92619000	572	-0.377711
TCGA-AA-3930-01A-01D-A91W-36	chr1	92619001	95435000	2804	-0.365797
TCGA-AA-3930-01A-01D-A91W-36	chr1	95435001	96090000	655	-0.407061
TCGA-AA-3930-01A-01D-A91W-36	chr1	96090001	96254000	160	-0.455751
TCGA-AA-3930-01A-01D-A91W-36	chr1	96254001	97528000	1268	-0.450561
TCGA-AA-3930-01A-01D-A91W-36	chr1	97528001	97831000	303	-0.438897
TCGA-AA-3930-01A-01D-A91W-36	chr1	97831001	99206000	1371	-0.422827
TCGA-AA-3930-01A-01D-A91W-36	chr1	99206001	99842000	632	-0.376955
TCGA-AA-3930-01A-01D-A91W-36	chr1	99842001	101216000	1373	-0.375805
TCGA-AA-3930-01A-01D-A91W-36	chr1	101216001	101389000	172	-0.440637
TCGA-AA-3930-01A-01D-A91W-36	chr1	101389001	102128000	735	-0.423926
TCGA-AA-3930-01A-01D-A91W-36	chr1	102128001	102451000	323	-0.411742
TCGA-AA-3930-01A-01D-A91W-36	chr1	102451001	103319000	864	-0.431997
TCGA-AA-3930-01A-01D-A91W-36	chr1	103319001	103594000	273	-0.445852
TCGA-AA-3930-01A-01D-A91W-36	chr1	103611001	103619000	8	-8.398333
TCGA-AA-3930-01A-01D-A91W-36	chr1	103717001	105697000	1906	-0.443845
TCGA-AA-3930-01A-01D-A91W-36	chr1	105697001	105824000	126	-0.403161
TCGA-AA-3930-01A-01D-A91W-36	chr1	105824001	106657000	830	-0.450341
TCGA-AA-3930-01A-01D-A91W-36	chr1	106657001	107594000	937	-0.422449
TCGA-AA-3930-01A-01D-A91W-36	chr1	107594001	108337000	651	-0.392470
