GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bbca7648-dd95-428c-ae95-434105929ca6	1	3301765	247650984	129783	0.026
bbca7648-dd95-428c-ae95-434105929ca6	2	480597	241537572	132233	0.0357
bbca7648-dd95-428c-ae95-434105929ca6	3	2170634	197812401	107216	0.0303
bbca7648-dd95-428c-ae95-434105929ca6	4	1059384	4776667	1568	0.0343
bbca7648-dd95-428c-ae95-434105929ca6	4	4777221	4777940	2	-1.8887
bbca7648-dd95-428c-ae95-434105929ca6	4	4779382	9714929	2804	0.0335
bbca7648-dd95-428c-ae95-434105929ca6	4	9718454	9722163	4	-1.9311
bbca7648-dd95-428c-ae95-434105929ca6	4	9725881	187842528	99139	0.0284
bbca7648-dd95-428c-ae95-434105929ca6	5	913983	175807153	99023	0.0302
bbca7648-dd95-428c-ae95-434105929ca6	5	175809168	175809439	2	-3.2001
bbca7648-dd95-428c-ae95-434105929ca6	5	175812698	180934240	2125	0.0276
bbca7648-dd95-428c-ae95-434105929ca6	6	1011760	160550811	92213	0.0323
bbca7648-dd95-428c-ae95-434105929ca6	6	160552422	160555082	2	-2.5615
bbca7648-dd95-428c-ae95-434105929ca6	6	160555116	170596889	4977	0.0477
bbca7648-dd95-428c-ae95-434105929ca6	7	664936	23118192	11791	0.0337
bbca7648-dd95-428c-ae95-434105929ca6	7	23118261	23118324	3	-2.2502
bbca7648-dd95-428c-ae95-434105929ca6	7	23120448	158592540	70171	0.0291
bbca7648-dd95-428c-ae95-434105929ca6	8	667625	144182542	82249	0.033
bbca7648-dd95-428c-ae95-434105929ca6	9	789794	16034540	8952	0.0284
bbca7648-dd95-428c-ae95-434105929ca6	9	16034627	16035488	2	-3.2915
bbca7648-dd95-428c-ae95-434105929ca6	9	16035674	138044505	59555	0.0264
bbca7648-dd95-428c-ae95-434105929ca6	10	366509	133411599	81307	0.0318
bbca7648-dd95-428c-ae95-434105929ca6	11	456012	134272740	77595	0.0259
bbca7648-dd95-428c-ae95-434105929ca6	12	780472	60922828	31839	0.0284
bbca7648-dd95-428c-ae95-434105929ca6	12	60926558	60929107	2	-2.3912
bbca7648-dd95-428c-ae95-434105929ca6	12	60930353	88430083	16589	0.0244
bbca7648-dd95-428c-ae95-434105929ca6	12	88430848	88434453	2	-2.2487
bbca7648-dd95-428c-ae95-434105929ca6	12	88434665	132605822	25931	0.0215
bbca7648-dd95-428c-ae95-434105929ca6	13	18874255	103337837	50124	0.0325
bbca7648-dd95-428c-ae95-434105929ca6	13	103337990	103338889	2	-2.6577
bbca7648-dd95-428c-ae95-434105929ca6	13	103339264	114226675	6885	0.037
bbca7648-dd95-428c-ae95-434105929ca6	14	20033191	105533894	49801	0.0202
bbca7648-dd95-428c-ae95-434105929ca6	15	23437561	33197756	3765	0.0371
bbca7648-dd95-428c-ae95-434105929ca6	15	33198247	33198877	2	-2.5242
bbca7648-dd95-428c-ae95-434105929ca6	15	33198962	101344124	41039	0.023
bbca7648-dd95-428c-ae95-434105929ca6	16	603333	89317317	41225	0.0246
bbca7648-dd95-428c-ae95-434105929ca6	17	1074619	63299082	27159	0.0181
bbca7648-dd95-428c-ae95-434105929ca6	17	63305489	63311279	3	-2.2719
bbca7648-dd95-428c-ae95-434105929ca6	17	63312278	82959812	10133	0.026
bbca7648-dd95-428c-ae95-434105929ca6	18	326691	43664868	21839	0.028
bbca7648-dd95-428c-ae95-434105929ca6	18	43664946	43664986	2	-2.3052
bbca7648-dd95-428c-ae95-434105929ca6	18	43665808	79349796	21139	0.0365
bbca7648-dd95-428c-ae95-434105929ca6	19	283868	58370362	24159	0.0153
bbca7648-dd95-428c-ae95-434105929ca6	20	472817	63588502	37578	0.0239
bbca7648-dd95-428c-ae95-434105929ca6	21	13974127	46262057	20609	0.0372
bbca7648-dd95-428c-ae95-434105929ca6	22	16934932	48940621	17099	0.0171
bbca7648-dd95-428c-ae95-434105929ca6	X	3236359	80239800	30402	0.026
bbca7648-dd95-428c-ae95-434105929ca6	X	80241540	80244495	2	-2.5307
bbca7648-dd95-428c-ae95-434105929ca6	X	80247994	145073938	28840	0.0315
bbca7648-dd95-428c-ae95-434105929ca6	X	145073956	145074287	3	-1.8754
bbca7648-dd95-428c-ae95-434105929ca6	X	145076608	155677414	4740	0.0419
