GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a1d80250-4972-4b13-b252-2fa816d307fd	1	62920	2806987	527	-0.0316
a1d80250-4972-4b13-b252-2fa816d307fd	1	2809387	3345118	249	-0.1434
a1d80250-4972-4b13-b252-2fa816d307fd	1	3350785	4971501	1217	0.0018
a1d80250-4972-4b13-b252-2fa816d307fd	1	4971809	4982142	7	-0.4793
a1d80250-4972-4b13-b252-2fa816d307fd	1	4982206	5840046	681	-0.0077
a1d80250-4972-4b13-b252-2fa816d307fd	1	5841228	5841990	2	-1.7495
a1d80250-4972-4b13-b252-2fa816d307fd	1	5842026	7624215	1071	0.0235
a1d80250-4972-4b13-b252-2fa816d307fd	1	7624339	7628608	5	-0.9839
a1d80250-4972-4b13-b252-2fa816d307fd	1	7628959	12777697	2730	0.013
a1d80250-4972-4b13-b252-2fa816d307fd	1	12778601	12922922	35	-0.6755
a1d80250-4972-4b13-b252-2fa816d307fd	1	13012913	16863509	2181	0.0004
a1d80250-4972-4b13-b252-2fa816d307fd	1	16864367	16935752	54	-0.4301
a1d80250-4972-4b13-b252-2fa816d307fd	1	16949746	22170210	3448	0.0074
a1d80250-4972-4b13-b252-2fa816d307fd	1	22175223	22180930	4	-0.9189
a1d80250-4972-4b13-b252-2fa816d307fd	1	22182157	25256850	1813	0.0051
a1d80250-4972-4b13-b252-2fa816d307fd	1	25266637	25320253	23	-2.0056
a1d80250-4972-4b13-b252-2fa816d307fd	1	25320455	29714262	1929	0.0116
a1d80250-4972-4b13-b252-2fa816d307fd	1	29714523	30289391	485	-0.0643
a1d80250-4972-4b13-b252-2fa816d307fd	1	30291591	34626037	2537	0.0065
a1d80250-4972-4b13-b252-2fa816d307fd	1	34626073	34638890	21	-0.5197
a1d80250-4972-4b13-b252-2fa816d307fd	1	34648667	38666759	2197	-0.0109
a1d80250-4972-4b13-b252-2fa816d307fd	1	38666760	38666761	2	1.1293
a1d80250-4972-4b13-b252-2fa816d307fd	1	38669516	41624054	1624	0.0055
a1d80250-4972-4b13-b252-2fa816d307fd	1	41624883	45160503	2109	0.0175
a1d80250-4972-4b13-b252-2fa816d307fd	1	45169109	45175895	6	-0.6283
a1d80250-4972-4b13-b252-2fa816d307fd	1	45176116	50799612	3060	0.028
a1d80250-4972-4b13-b252-2fa816d307fd	1	50801933	50820167	11	0.5219
a1d80250-4972-4b13-b252-2fa816d307fd	1	50824298	53576374	1405	0.0079
a1d80250-4972-4b13-b252-2fa816d307fd	1	53576663	53576977	2	-1.179
a1d80250-4972-4b13-b252-2fa816d307fd	1	53577198	68422575	11057	0.026
a1d80250-4972-4b13-b252-2fa816d307fd	1	68422976	72303233	2302	-0.0004
a1d80250-4972-4b13-b252-2fa816d307fd	1	72303253	72346221	46	-1.5222
a1d80250-4972-4b13-b252-2fa816d307fd	1	72346757	83827947	7432	0.0121
a1d80250-4972-4b13-b252-2fa816d307fd	1	83834127	84758575	614	0.0819
a1d80250-4972-4b13-b252-2fa816d307fd	1	84759219	85784174	722	0.0252
a1d80250-4972-4b13-b252-2fa816d307fd	1	85784211	85784228	2	-1.8922
a1d80250-4972-4b13-b252-2fa816d307fd	1	85785989	90090349	2825	0.0188
a1d80250-4972-4b13-b252-2fa816d307fd	1	90090592	90093659	3	-0.8851
a1d80250-4972-4b13-b252-2fa816d307fd	1	90094125	103616762	8442	0.0233
a1d80250-4972-4b13-b252-2fa816d307fd	1	103620877	103697364	4	-1.241
a1d80250-4972-4b13-b252-2fa816d307fd	1	103717410	105470754	920	0.024
a1d80250-4972-4b13-b252-2fa816d307fd	1	105476583	105476688	3	0.9901
a1d80250-4972-4b13-b252-2fa816d307fd	1	105476748	105479198	9	0.368
a1d80250-4972-4b13-b252-2fa816d307fd	1	105479231	105479753	5	1.0001
a1d80250-4972-4b13-b252-2fa816d307fd	1	105481433	109684893	2637	0.019
a1d80250-4972-4b13-b252-2fa816d307fd	1	109690352	109702376	14	1.1996
a1d80250-4972-4b13-b252-2fa816d307fd	1	109703504	110836951	852	0.021
a1d80250-4972-4b13-b252-2fa816d307fd	1	110837128	110850675	24	0.3047
a1d80250-4972-4b13-b252-2fa816d307fd	1	110850774	111769532	708	0.0088
a1d80250-4972-4b13-b252-2fa816d307fd	1	111769589	111770456	4	0.9382
a1d80250-4972-4b13-b252-2fa816d307fd	1	111771943	112153465	364	0.0159
a1d80250-4972-4b13-b252-2fa816d307fd	1	112153571	112154591	20	0.4802
a1d80250-4972-4b13-b252-2fa816d307fd	1	112154619	152583051	7611	0.0238
a1d80250-4972-4b13-b252-2fa816d307fd	1	152583230	152614118	35	-1.9724
a1d80250-4972-4b13-b252-2fa816d307fd	1	152618018	152679980	73	0.0521
a1d80250-4972-4b13-b252-2fa816d307fd	1	152680227	152684126	5	0.5128
a1d80250-4972-4b13-b252-2fa816d307fd	1	152687598	152787202	89	-0.0465
a1d80250-4972-4b13-b252-2fa816d307fd	1	152789447	152796224	37	-1.5598
a1d80250-4972-4b13-b252-2fa816d307fd	1	152801429	169247699	11286	0.0235
a1d80250-4972-4b13-b252-2fa816d307fd	1	169264736	169272528	7	1.2034
a1d80250-4972-4b13-b252-2fa816d307fd	1	169273163	189679027	13441	0.023
a1d80250-4972-4b13-b252-2fa816d307fd	1	189679353	189679397	2	-1.5264
a1d80250-4972-4b13-b252-2fa816d307fd	1	189682917	196762956	4742	0.0279
a1d80250-4972-4b13-b252-2fa816d307fd	1	196769493	196866368	71	0.2571
a1d80250-4972-4b13-b252-2fa816d307fd	1	196869965	233191601	24502	0.0221
a1d80250-4972-4b13-b252-2fa816d307fd	1	233193949	233390965	193	-0.304
a1d80250-4972-4b13-b252-2fa816d307fd	1	233394786	248303790	10841	0.024
a1d80250-4972-4b13-b252-2fa816d307fd	1	248303999	248304263	2	-1.5136
a1d80250-4972-4b13-b252-2fa816d307fd	1	248305403	248546369	99	0.1608
a1d80250-4972-4b13-b252-2fa816d307fd	1	248550567	248645563	36	-0.5883
a1d80250-4972-4b13-b252-2fa816d307fd	1	248645808	248930189	140	0.0695
a1d80250-4972-4b13-b252-2fa816d307fd	2	12784	1315982	869	-0.0037
a1d80250-4972-4b13-b252-2fa816d307fd	2	1316554	1318101	2	-1.7441
a1d80250-4972-4b13-b252-2fa816d307fd	2	1323864	4158097	2116	0.0012
a1d80250-4972-4b13-b252-2fa816d307fd	2	4166274	4182472	43	-0.6277
a1d80250-4972-4b13-b252-2fa816d307fd	2	4187192	8155149	3406	-0.0016
a1d80250-4972-4b13-b252-2fa816d307fd	2	8156750	11969548	2656	0.0412
a1d80250-4972-4b13-b252-2fa816d307fd	2	11970800	14220656	1669	0.0075
a1d80250-4972-4b13-b252-2fa816d307fd	2	14222127	14222642	8	-0.4352
a1d80250-4972-4b13-b252-2fa816d307fd	2	14223052	14223353	4	0.186
a1d80250-4972-4b13-b252-2fa816d307fd	2	14223435	14224087	10	-0.3698
a1d80250-4972-4b13-b252-2fa816d307fd	2	14228844	14563508	260	0.0149
a1d80250-4972-4b13-b252-2fa816d307fd	2	14563570	14569968	13	-0.9465
a1d80250-4972-4b13-b252-2fa816d307fd	2	14570240	52527330	26097	0.02
a1d80250-4972-4b13-b252-2fa816d307fd	2	52527342	52554404	39	0.9159
a1d80250-4972-4b13-b252-2fa816d307fd	2	52560811	54001319	1122	-0.0026
a1d80250-4972-4b13-b252-2fa816d307fd	2	54001792	54148880	79	0.175
a1d80250-4972-4b13-b252-2fa816d307fd	2	54149257	54401984	191	-0.053
a1d80250-4972-4b13-b252-2fa816d307fd	2	54402189	54407107	3	-0.9397
a1d80250-4972-4b13-b252-2fa816d307fd	2	54407568	54432843	18	-0.0292
a1d80250-4972-4b13-b252-2fa816d307fd	2	54433658	55886026	1029	0.0611
a1d80250-4972-4b13-b252-2fa816d307fd	2	55888724	57223101	983	-0.01
a1d80250-4972-4b13-b252-2fa816d307fd	2	57223479	57228337	2	-1.936
a1d80250-4972-4b13-b252-2fa816d307fd	2	57233909	57271922	23	-0.0722
a1d80250-4972-4b13-b252-2fa816d307fd	2	57275484	57280699	3	-1.3212
a1d80250-4972-4b13-b252-2fa816d307fd	2	57286723	86901078	18541	0.0193
a1d80250-4972-4b13-b252-2fa816d307fd	2	86902080	86910262	2	-2.0797
a1d80250-4972-4b13-b252-2fa816d307fd	2	86934730	87218834	43	-0.2776
a1d80250-4972-4b13-b252-2fa816d307fd	2	87221597	97164874	1783	0.0389
a1d80250-4972-4b13-b252-2fa816d307fd	2	97164886	97192190	12	-0.2151
a1d80250-4972-4b13-b252-2fa816d307fd	2	97199600	97211436	14	-0.8903
a1d80250-4972-4b13-b252-2fa816d307fd	2	97310327	97359885	13	-0.0146
a1d80250-4972-4b13-b252-2fa816d307fd	2	97524284	97545247	8	1.4453
a1d80250-4972-4b13-b252-2fa816d307fd	2	97545726	146104517	29412	0.0129
a1d80250-4972-4b13-b252-2fa816d307fd	2	146106836	146109366	24	0.8146
a1d80250-4972-4b13-b252-2fa816d307fd	2	146120238	207485902	36980	0.0266
a1d80250-4972-4b13-b252-2fa816d307fd	2	207486030	207494795	21	-0.5533
