GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7fab3db0-1a34-4c7a-b6fd-bbb707023099	1	3301765	12013007	4967	0.0287
7fab3db0-1a34-4c7a-b6fd-bbb707023099	1	12020317	12075469	23	0.4387
7fab3db0-1a34-4c7a-b6fd-bbb707023099	1	12075758	247650984	124808	0.0149
7fab3db0-1a34-4c7a-b6fd-bbb707023099	2	480597	3561166	1248	0.0391
7fab3db0-1a34-4c7a-b6fd-bbb707023099	2	3562180	3629432	43	0.4196
7fab3db0-1a34-4c7a-b6fd-bbb707023099	2	3630747	241537572	130967	0.0121
7fab3db0-1a34-4c7a-b6fd-bbb707023099	3	2170634	197812401	107217	0.0153
7fab3db0-1a34-4c7a-b6fd-bbb707023099	4	1059384	150746994	83529	0.0205
7fab3db0-1a34-4c7a-b6fd-bbb707023099	4	150752611	151150460	154	0.6178
7fab3db0-1a34-4c7a-b6fd-bbb707023099	4	151150736	187842528	19850	0.0152
7fab3db0-1a34-4c7a-b6fd-bbb707023099	5	914118	125273497	67230	0.015
7fab3db0-1a34-4c7a-b6fd-bbb707023099	5	125273908	125273956	2	-2.1804
7fab3db0-1a34-4c7a-b6fd-bbb707023099	5	125274445	180934240	33915	0.0139
7fab3db0-1a34-4c7a-b6fd-bbb707023099	6	1011760	93254330	52183	0.0162
7fab3db0-1a34-4c7a-b6fd-bbb707023099	6	93256643	93256659	2	-1.8092
7fab3db0-1a34-4c7a-b6fd-bbb707023099	6	93259686	170596889	45023	0.0151
7fab3db0-1a34-4c7a-b6fd-bbb707023099	7	664936	2911712	707	0.0901
7fab3db0-1a34-4c7a-b6fd-bbb707023099	7	2915253	157592339	80855	0.0152
7fab3db0-1a34-4c7a-b6fd-bbb707023099	7	157594327	158592540	414	0.097
7fab3db0-1a34-4c7a-b6fd-bbb707023099	8	667625	140552358	81649	0.0172
7fab3db0-1a34-4c7a-b6fd-bbb707023099	8	140556212	144182542	608	0.1103
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	789794	1630589	237	0.0586
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	1630932	126829395	62699	0.0136
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	126830185	126838723	6	0.6544
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	126838897	126921630	24	0.3339
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	126922304	133014026	3562	0.0294
7fab3db0-1a34-4c7a-b6fd-bbb707023099	9	133014132	138044505	1979	0.0807
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	366509	77908585	46223	0.0123
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	77912440	77913174	2	-1.5974
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	77915485	88613353	6865	0.0185
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	88614088	88614881	3	-1.146
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	88617220	132130654	27883	0.0106
7fab3db0-1a34-4c7a-b6fd-bbb707023099	10	132132192	133411599	339	0.1089
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	456012	2972053	803	0.0817
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	2972123	31175333	18963	0.0147
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	31175496	31223741	27	0.3754
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	31225261	62477207	14363	0.0157
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	62477865	63214889	322	0.0472
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	63217225	63304838	64	0.2503
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	63305176	70288660	2451	0.0524
7fab3db0-1a34-4c7a-b6fd-bbb707023099	11	70292144	134272740	40615	0.0163
7fab3db0-1a34-4c7a-b6fd-bbb707023099	12	780472	132605822	74367	0.0151
7fab3db0-1a34-4c7a-b6fd-bbb707023099	13	18874255	65123531	26473	0.0143
