GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	1	3301765	247650984	129720	0.0063
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	2	480597	129979730	68784	0.0144
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	2	129979747	129987388	2	-3.0705
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	2	129990691	241537572	63395	0.015
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	3	2170634	197812401	107169	0.0028
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	4	1059384	187842528	103494	0.0017
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	5	913983	180934240	101099	0.0058
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	6	1011760	170596889	97147	0.0057
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	7	664936	158592540	81927	0.0071
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	8	667625	144182542	82207	0.0051
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	9	789794	138044505	68481	0.009
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	10	366509	93176571	55701	0.0057
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	10	93176764	93178458	2	-2.8535
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	10	93178471	133411599	25555	0.009
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	11	456012	134272740	77553	0.0082
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	12	780472	73016504	39318	0.0079
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	12	73016529	73016794	2	-3.3476
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	12	73018442	132605822	35012	0.0081
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	13	18874255	114226675	56982	0.006
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	14	20033191	105533894	49775	0.0063
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	15	23437561	25773085	1238	0.0055
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	15	25775119	25775461	2	-2.9078
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	15	25776397	101344124	43542	0.0101
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	16	603333	89317317	41196	0.0118
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	17	1074619	82959812	37266	0.015
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	18	326691	79349796	42969	0.0048
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	19	283868	14576882	5197	0.0252
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	19	14578798	14583587	2	-2.7745
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	19	14584541	58370362	18942	0.0223
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	20	472817	46911158	26220	0.0121
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	20	46912266	46913736	2	-2.2366
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	20	46914169	63588502	11321	0.0168
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	21	13974127	46262057	20603	0.0102
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	22	16934932	48940621	17097	0.0191
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	3236359	79949838	30071	0.0133
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	79950473	79954706	2	-4.281
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	79954955	98348700	7379	0.009
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	98350846	98353296	2	-3.8283
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	98353983	99900426	768	0.0215
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	99902016	99902150	2	-3.9305
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	99907481	120814346	9897	0.0101
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	120818472	120836665	10	-1.2825
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	120838156	122541079	637	0.0184
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	122541491	122568058	19	-0.7877
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	122568323	145610150	10635	0.0054
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	145610426	145611785	5	-2.3601
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	145614085	151772870	3483	0.0481
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	151773147	151774889	2	-4.2142
3c4084b8-51af-4c0d-9dc2-0ffbd9c6a8cc	X	151775946	155677414	839	0.0584
