GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	62920	3301765	738	0.3275
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	3302046	8707721	3590	0.0244
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	8707855	8709621	2	-1.8952
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	8709645	8883906	121	0.063
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	8884295	8923709	13	0.4749
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	8924977	9247978	196	-0.0017
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	9255788	9333949	55	0.3124
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	9339580	15823420	3623	0.0196
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	15827002	15828515	10	1.0459
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	15839166	16018760	84	-0.0661
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	16037445	16052921	7	0.7718
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	16063071	16679239	237	-0.0058
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	16679281	16988207	100	0.3252
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	16993283	21971792	3316	0.0142
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	21974705	22085630	58	0.31
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	22085730	25244778	1863	0.0209
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	25247980	25319167	27	0.8491
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	25319693	30667100	2735	0.0309
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	30670188	30789158	84	0.3839
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	30789990	72303233	25926	0.0047
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	72303253	72345465	45	-0.8629
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	72346221	143546558	30751	-0.0016
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	143546851	143760271	113	-0.4942
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	143762042	152588065	2333	0.0624
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	152588392	152613762	22	-1.3895
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	152613802	196798282	29708	0.0014
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	196801565	196926717	81	-0.9273
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	196932623	228325557	20967	0.0021
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	228326017	228722460	116	0.2545
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	228723797	242881005	10860	0.0047
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	242881668	243131680	79	0.3058
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	243134095	248808324	3659	0.0243
21de1364-3f8e-4f3c-a29f-48da46a1e58c	1	248808410	248930189	61	0.262
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	12784	1915924	1242	0.1339
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	1916075	3144361	940	0.0108
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	3147886	3314841	156	0.2108
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	3318399	4149435	641	0.0093
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	4149699	4175577	44	0.4125
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	4175922	34460213	21061	0.0061
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	34466002	34511990	47	0.6061
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	34512096	52531615	13007	-0.0073
21de1364-3f8e-4f3c-a29f-48da46a1e58c	2	52531630	52554384	31	-0.6864
