GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr1	61735	49648823	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr1	49655065	49934370	1	1	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr1	49942995	248930189	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr2	12784	242147305	5	3	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr3	18667	136406870	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr3	136413440	136728604	2	1	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr3	136731021	198169247	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr4	12281	190106768	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr5	15532	77988965	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr5	77989318	181363319	4	4	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr6	149661	38319928	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr6	38320134	38569233	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr6	38571056	162550516	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr6	162558115	162838409	2	1	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr6	162845681	170741917	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr7	43259	38251113	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr7	38254500	38352435	6	3	3
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr7	38356373	56718707	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr7	56727795	62369841	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr7	62526795	159334314	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr8	81254	52298038	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr8	52299362	52559208	7	5	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr8	52559272	145072769	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	46587	42995504	7	5	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	60840363	68423153	4	3	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	68424128	91192638	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	91194087	93191010	3	3	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	93191059	109729643	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	109731966	110376197	3	3	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	110376232	113621616	5	3	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	113622506	135568321	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	135568599	135848246	6	4	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr9	135851529	138200944	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr10	26823	10496679	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr10	10497631	10531298	6	5	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr10	10532531	133769379	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr11	198572	2098340	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr11	2106956	2227332	6	4	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr11	2234311	135074876	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr12	51460	43995090	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr12	44004451	58596870	5	3	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr12	58598729	133201603	3	2	1
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr13	18452809	67811703	6	4	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr13	67814244	67888112	4	2	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr13	67888199	114342922	7	5	2
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr14	18225647	22042468	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr14	22046141	22509594	3	3	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr14	22509777	106877229	2	2	0
6388cc3c-4143-4f0f-95cb-534c5247c5e6	chr15	19811075	22790882	4	3	1
