GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1d430230-1782-4445-b1b0-89de7cbf55c5	1	62920	15823420	8343	0.0297
1d430230-1782-4445-b1b0-89de7cbf55c5	1	15827002	15827430	6	-2.4245
1d430230-1782-4445-b1b0-89de7cbf55c5	1	15827706	23126249	4485	0.0267
1d430230-1782-4445-b1b0-89de7cbf55c5	1	23126733	23126746	2	-1.1306
1d430230-1782-4445-b1b0-89de7cbf55c5	1	23129797	25256850	1192	0.029
1d430230-1782-4445-b1b0-89de7cbf55c5	1	25266637	25320198	22	0.7085
1d430230-1782-4445-b1b0-89de7cbf55c5	1	25320253	30258675	2385	0.0286
1d430230-1782-4445-b1b0-89de7cbf55c5	1	30258730	30268649	13	-0.5759
1d430230-1782-4445-b1b0-89de7cbf55c5	1	30268809	34626073	2557	0.0261
1d430230-1782-4445-b1b0-89de7cbf55c5	1	34637053	34638890	20	-0.5817
1d430230-1782-4445-b1b0-89de7cbf55c5	1	34648667	40880756	3367	0.0183
1d430230-1782-4445-b1b0-89de7cbf55c5	1	40881535	40910828	18	0.5949
1d430230-1782-4445-b1b0-89de7cbf55c5	1	40918052	54624527	7653	0.0249
1d430230-1782-4445-b1b0-89de7cbf55c5	1	54627618	54628716	2	-1.9157
1d430230-1782-4445-b1b0-89de7cbf55c5	1	54630777	72284670	12724	0.0192
1d430230-1782-4445-b1b0-89de7cbf55c5	1	72290430	72297687	9	-0.7359
1d430230-1782-4445-b1b0-89de7cbf55c5	1	72302735	81171201	5632	0.0185
1d430230-1782-4445-b1b0-89de7cbf55c5	1	81173488	81174024	3	-1.033
1d430230-1782-4445-b1b0-89de7cbf55c5	1	81174735	103614714	14451	0.0168
1d430230-1782-4445-b1b0-89de7cbf55c5	1	103615687	103717410	8	-1.1229
1d430230-1782-4445-b1b0-89de7cbf55c5	1	103717617	105470754	919	0.0198
1d430230-1782-4445-b1b0-89de7cbf55c5	1	105476583	105479753	17	0.496
1d430230-1782-4445-b1b0-89de7cbf55c5	1	105481433	108187137	1940	0.0225
1d430230-1782-4445-b1b0-89de7cbf55c5	1	108191613	108192255	2	-5.3395
1d430230-1782-4445-b1b0-89de7cbf55c5	1	108194874	112147704	2660	0.0134
1d430230-1782-4445-b1b0-89de7cbf55c5	1	112153343	112154768	25	0.4116
1d430230-1782-4445-b1b0-89de7cbf55c5	1	112163334	114289343	1327	0.0128
1d430230-1782-4445-b1b0-89de7cbf55c5	1	114291004	114291088	2	-1.2326
1d430230-1782-4445-b1b0-89de7cbf55c5	1	114291180	143748012	3933	0.0278
1d430230-1782-4445-b1b0-89de7cbf55c5	1	143748074	143760271	20	0.5196
1d430230-1782-4445-b1b0-89de7cbf55c5	1	143762042	152583051	2326	0.029
1d430230-1782-4445-b1b0-89de7cbf55c5	1	152583230	152614118	35	-1.9638
1d430230-1782-4445-b1b0-89de7cbf55c5	1	152618018	152787202	167	-0.0447
1d430230-1782-4445-b1b0-89de7cbf55c5	1	152789447	152796224	37	-1.7783
1d430230-1782-4445-b1b0-89de7cbf55c5	1	152801429	161647641	5268	0.0224
1d430230-1782-4445-b1b0-89de7cbf55c5	1	161647657	161649268	8	-0.7623
1d430230-1782-4445-b1b0-89de7cbf55c5	1	161678447	169016577	5818	0.0192
1d430230-1782-4445-b1b0-89de7cbf55c5	1	169017063	169017973	5	-0.6607
1d430230-1782-4445-b1b0-89de7cbf55c5	1	169020148	169247699	190	0.0316
1d430230-1782-4445-b1b0-89de7cbf55c5	1	169264736	169272528	7	0.9664
1d430230-1782-4445-b1b0-89de7cbf55c5	1	169273163	174827418	3522	0.0221
1d430230-1782-4445-b1b0-89de7cbf55c5	1	174827561	174828177	5	-1.1326
1d430230-1782-4445-b1b0-89de7cbf55c5	1	174828195	174832702	10	-0.5981
1d430230-1782-4445-b1b0-89de7cbf55c5	1	174832716	194479104	13195	0.0173
1d430230-1782-4445-b1b0-89de7cbf55c5	1	194482281	194485888	2	-1.8299
1d430230-1782-4445-b1b0-89de7cbf55c5	1	194487886	196745743	1451	0.0156
1d430230-1782-4445-b1b0-89de7cbf55c5	1	196758720	196846661	61	-1.8717
1d430230-1782-4445-b1b0-89de7cbf55c5	1	196847600	209897717	8789	0.0153
1d430230-1782-4445-b1b0-89de7cbf55c5	1	209908268	209908720	2	-2.0467
1d430230-1782-4445-b1b0-89de7cbf55c5	1	209910639	243690894	23671	0.0221
1d430230-1782-4445-b1b0-89de7cbf55c5	1	243697622	243697759	5	-1.2032
1d430230-1782-4445-b1b0-89de7cbf55c5	1	243699806	248930189	3361	0.022
1d430230-1782-4445-b1b0-89de7cbf55c5	2	12784	27216883	19366	0.0104
1d430230-1782-4445-b1b0-89de7cbf55c5	2	27218434	27218529	2	-1.1165
1d430230-1782-4445-b1b0-89de7cbf55c5	2	27218632	41011095	9586	0.0151
1d430230-1782-4445-b1b0-89de7cbf55c5	2	41011303	41016287	20	-0.6656
1d430230-1782-4445-b1b0-89de7cbf55c5	2	41018409	46262993	3886	0.0166
1d430230-1782-4445-b1b0-89de7cbf55c5	2	46263662	46265133	2	-1.5349
1d430230-1782-4445-b1b0-89de7cbf55c5	2	46265543	86710564	26266	0.0161
1d430230-1782-4445-b1b0-89de7cbf55c5	2	86725947	86726731	2	-1.7143
1d430230-1782-4445-b1b0-89de7cbf55c5	2	86743283	87211079	106	-0.0493
1d430230-1782-4445-b1b0-89de7cbf55c5	2	87218694	87218834	2	-1.6982
1d430230-1782-4445-b1b0-89de7cbf55c5	2	87221597	101345489	4086	0.0185
1d430230-1782-4445-b1b0-89de7cbf55c5	2	101348651	101353857	4	-1.0247
1d430230-1782-4445-b1b0-89de7cbf55c5	2	101354392	106263639	3311	0.0149
1d430230-1782-4445-b1b0-89de7cbf55c5	2	106264257	106268901	11	-2.6856
1d430230-1782-4445-b1b0-89de7cbf55c5	2	106270799	130036283	14284	0.0138
1d430230-1782-4445-b1b0-89de7cbf55c5	2	130036310	130117303	14	-0.7016
1d430230-1782-4445-b1b0-89de7cbf55c5	2	130136424	144887092	8811	0.0126
1d430230-1782-4445-b1b0-89de7cbf55c5	2	144887738	144888208	3	-1.1386
1d430230-1782-4445-b1b0-89de7cbf55c5	2	144891260	158804973	8361	0.0142
1d430230-1782-4445-b1b0-89de7cbf55c5	2	158806010	158806286	2	-2.2142
1d430230-1782-4445-b1b0-89de7cbf55c5	2	158808191	188254196	18114	0.0115
1d430230-1782-4445-b1b0-89de7cbf55c5	2	188255201	188262203	4	-2.3031
1d430230-1782-4445-b1b0-89de7cbf55c5	2	188264331	242147305	33352	0.0153
1d430230-1782-4445-b1b0-89de7cbf55c5	3	20930	2926956	2541	0.0045
1d430230-1782-4445-b1b0-89de7cbf55c5	3	2927375	2931355	5	-1.5011
1d430230-1782-4445-b1b0-89de7cbf55c5	3	2933398	17499108	11211	0.0144
1d430230-1782-4445-b1b0-89de7cbf55c5	3	17501710	17502521	2	-1.4071
1d430230-1782-4445-b1b0-89de7cbf55c5	3	17504946	89345442	46702	0.0171
1d430230-1782-4445-b1b0-89de7cbf55c5	3	89345459	89370231	50	-0.756
1d430230-1782-4445-b1b0-89de7cbf55c5	3	89370771	99218940	3231	0.0132
1d430230-1782-4445-b1b0-89de7cbf55c5	3	99225614	99232539	40	-0.5715
1d430230-1782-4445-b1b0-89de7cbf55c5	3	99232990	125950205	16326	0.0163
1d430230-1782-4445-b1b0-89de7cbf55c5	3	125954540	125957120	3	-2.3858
1d430230-1782-4445-b1b0-89de7cbf55c5	3	125961657	125993496	29	0.0009
1d430230-1782-4445-b1b0-89de7cbf55c5	3	125993720	125994097	7	0.5499
1d430230-1782-4445-b1b0-89de7cbf55c5	3	125994138	128676647	1719	0.0084
1d430230-1782-4445-b1b0-89de7cbf55c5	3	128679860	128692935	8	0.634
1d430230-1782-4445-b1b0-89de7cbf55c5	3	128693488	130041779	621	0.0191
1d430230-1782-4445-b1b0-89de7cbf55c5	3	130044016	130087393	39	0.5783
1d430230-1782-4445-b1b0-89de7cbf55c5	3	130088081	155758758	15974	0.0174
1d430230-1782-4445-b1b0-89de7cbf55c5	3	155763308	155795620	29	0.4491
1d430230-1782-4445-b1b0-89de7cbf55c5	3	155797707	158632329	1666	0.0162
1d430230-1782-4445-b1b0-89de7cbf55c5	3	158633095	158633756	2	0.9617
1d430230-1782-4445-b1b0-89de7cbf55c5	3	158641083	162405578	2334	0.0205
1d430230-1782-4445-b1b0-89de7cbf55c5	3	162419812	162424788	11	-0.5357
1d430230-1782-4445-b1b0-89de7cbf55c5	3	162424805	162807070	273	-0.0105
