GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	62920	814954	31	-0.3208
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	817186	3301765	707	0.102
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	3302046	16788139	7966	0.0117
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	16855942	16898730	15	0.8438
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	16898872	16909203	5	-0.0184
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	16909357	16935752	36	0.9205
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	16949746	112153343	59637	0.0059
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	112153465	112154591	21	-1.8997
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	112154619	143494500	5166	0.0029
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	143541857	143694196	70	0.249
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	143695668	152582700	2370	0.0215
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	152583051	152614118	36	0.6089
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	152618018	152787202	167	0.0437
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	152789447	152795862	34	-0.3123
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	152795883	153699771	627	0.0123
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	153701198	153720772	8	0.7258
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	153722864	169247699	10651	0.0028
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	169264736	169272528	7	0.8148
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	169273163	193186662	15775	0.0034
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	193187149	193187202	3	-1.1652
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	193187218	195673288	1671	0.0036
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	195673786	195677918	3	-1.067
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	195680112	195861642	141	-0.0182
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	195861806	195867138	3	0.8552
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	195867556	196745743	578	0.0026
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	196758720	196832525	57	-1.9666
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	196832720	196847600	5	-0.8138
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	196854187	215682652	12673	-0.0036
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	215684851	215688763	14	-0.8278
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	215692667	243690894	19762	-0.002
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	243697622	243697759	5	-1.4196
b2a44479-9271-4a2e-82f3-8c1f7120cd10	1	243699806	248930189	3363	0.0083
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	12784	1980986	1292	0.0686
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	1981026	35671420	23668	0.006
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	35679740	35752724	50	0.1138
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	35752875	35762850	5	1.0493
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	35762881	41011095	3926	0.0153
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	41011303	41018747	22	-0.5261
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	41024093	44429485	2437	0.019
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	44433300	44433945	3	-1.2501
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	44436013	52527330	5737	0.0079
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	52527342	52537117	17	0.6238
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	52537337	52554157	14	1.1557
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	52554188	52554404	8	0.4196
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	52560811	86901078	21987	0.0093
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	86902080	86910262	2	-2.5579
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	86934730	113604438	11234	0.0067
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	113604837	113604839	2	-2.2339
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	113623244	146106875	20038	0.0116
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	146106889	146109366	21	-2.1064
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	146120238	172119281	15682	0.0071
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	172119631	172121848	2	-1.4899
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	172127288	183709219	7460	0.0085
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	183712465	183712596	3	-1.6732
b2a44479-9271-4a2e-82f3-8c1f7120cd10	2	183716167	242147305	35917	0.0086
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	20930	886773	714	0.0305
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	888884	2852382	1760	0.0757
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	2852957	37935926	25156	0.0035
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	37940617	37945437	18	-1.1373
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	37945615	59709868	12647	0.004
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	59714834	61089481	1548	0.0579
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	61089926	68697013	5955	0.0014
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	68697108	68698262	14	-1.7357
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	68699607	130044016	34656	0.0058
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	130044855	130087393	38	-1.6564
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	130088081	133304057	2110	0.0095
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	133304198	133313817	20	-0.3813
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	133313831	134308480	634	0.005
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	134308765	134309589	2	-1.7384
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	134310330	162795304	17505	0.0003
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	162795361	162807070	9	0.7645
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	162810842	162813082	3	-0.2813
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	162815162	162822702	7	-1.3439
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	162827928	162908207	48	0.6226
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	162908784	169012392	3442	0.0041
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	169015614	169020840	2	-2.1755
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	169022039	179209077	6623	0.0047
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	179209525	179209754	4	-1.3399
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	179210270	193156958	9092	-0.0015
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	193160113	193165114	20	-1.0862
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	193168646	194913859	1160	0.0005
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	194920587	194921116	5	-0.7973
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	194921751	195051235	107	-0.0027
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	195057716	195059851	2	1.3418
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	195060020	198121231	1406	0.0334
b2a44479-9271-4a2e-82f3-8c1f7120cd10	3	198121262	198169247	12	-0.4441
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	68929	3597723	1438	0.0277
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	3598142	3600457	2	-2.1826
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	3607663	4108503	183	0.0361
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	4112194	4151033	9	-0.9132
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	4158336	9455251	3524	-0.0026
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	9459504	9477699	6	1.2328
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	9484440	10208766	540	0.0045
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	10212536	10232642	31	-1.8963
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	10232984	34777432	16976	0.0017
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	34784878	34828250	39	0.45
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	34828291	114252544	47223	0.0071
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	114254167	114261019	23	-1.4246
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	114263073	155966937	24831	0.0012
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	155967088	155967367	4	-1.0744
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	155969109	156033787	51	0.0178
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	156035480	156052053	17	-0.9527
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	156053545	160952848	3064	-0.0019
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	160958866	160963756	21	0.3995
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	160963767	165795694	3177	0.0025
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	165796521	165796630	2	-1.5497
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	165802151	171448195	3486	0.0013
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	171453733	171456625	12	1.1371
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	171459220	188300104	11346	0.0025
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	188300206	188300285	4	1.422
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	188301659	189273964	789	0.0463
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	189274468	189278110	3	-3.5014
b2a44479-9271-4a2e-82f3-8c1f7120cd10	4	189278617	190106768	350	0.0469
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	15532	698256	307	0.0917
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	698357	808932	31	-0.418
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	817735	2080115	734	0.0697
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	2081711	9353776	6456	-0.0038
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	9354463	9354528	2	-2.021
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	9355049	10267110	831	-0.001
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	10268331	10273531	2	1.5808
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	10275758	46271828	22311	0.0081
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	46272419	46273400	5	-2.6597
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	46278110	50253941	36	0.2944
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	50256864	58017408	5033	0.0028
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	58018390	58025819	4	0.3385
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	58030200	58037706	32	1.5556
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	58042530	59007731	739	0.0178
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	59007799	59008878	5	-0.7606
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	59008903	69533520	6549	0.0048
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	69550476	69571467	2	1.7325
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	69779150	113988573	25912	0.0022
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	113991308	113999692	11	-1.1087
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	114001271	124606647	7285	0.0024
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	124606858	124611129	2	-1.7465
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	124613037	156049910	19786	-0.0035
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	156049988	156055719	12	-0.6227
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	156068240	157966535	1286	-0.0092
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	157972042	157972891	3	-1.4657
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	157974887	175916541	12765	-0.0036
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	175919594	175922077	7	-0.7506
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	175933010	179669242	1809	0.0163
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	179669317	179678266	15	0.538
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	179678327	180947523	718	0.0414
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	180951710	181006225	20	0.6366
b2a44479-9271-4a2e-82f3-8c1f7120cd10	5	181006264	181363319	169	0.0691
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	149661	902186	648	0.0871
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	902702	14838212	11015	-0.0035
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	14839819	14841727	3	-1.2476
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	14843529	19039888	3114	-0.0088
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	19041950	19042587	3	-4.7967
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	19044471	29869295	6874	0.0013
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	29869410	29948709	43	0.5565
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	29948728	31313046	637	0.0171
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	31318499	31328176	8	-1.2937
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	31328210	32656527	561	0.023
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	32656814	32658841	5	-1.7977
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	32682835	32722250	44	0.1108
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	32723020	32723035	2	1.7327
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	32723053	66328153	19022	0.0047
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	66331020	66333299	7	1.1263
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	66333342	68976737	1864	0.0017
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	68977806	68981476	4	-1.0597
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	68987514	69416162	252	-0.0263
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	69416996	69420363	2	-1.3591
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	69420465	76726815	4669	0.004
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	76730151	76742924	18	-0.6133
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	76742956	78252522	975	0.0104
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	78252576	78317528	108	0.3712
b2a44479-9271-4a2e-82f3-8c1f7120cd10	6	78317580	170741917	59699	0.0024
b2a44479-9271-4a2e-82f3-8c1f7120cd10	7	43355	9065141	5345	0.0178
