GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d679040a-500c-4343-bf87-3cd86cf16ad1	1	62920	3286332	733	-0.1045
d679040a-500c-4343-bf87-3cd86cf16ad1	1	3291811	7095755	2635	-0.0041
d679040a-500c-4343-bf87-3cd86cf16ad1	1	7096022	7096229	2	-1.5062
d679040a-500c-4343-bf87-3cd86cf16ad1	1	7098501	10307286	1784	-0.0049
d679040a-500c-4343-bf87-3cd86cf16ad1	1	10310344	10317925	18	-0.667
d679040a-500c-4343-bf87-3cd86cf16ad1	1	10321714	15822848	3148	-0.0059
d679040a-500c-4343-bf87-3cd86cf16ad1	1	15823420	15827430	7	0.7197
d679040a-500c-4343-bf87-3cd86cf16ad1	1	15827706	16864367	360	-0.0156
d679040a-500c-4343-bf87-3cd86cf16ad1	1	16868660	16935752	53	-0.543
d679040a-500c-4343-bf87-3cd86cf16ad1	1	16949746	22175223	3439	-0.006
d679040a-500c-4343-bf87-3cd86cf16ad1	1	22177283	22182713	8	-1.1532
d679040a-500c-4343-bf87-3cd86cf16ad1	1	22187743	30254028	4203	-0.0067
d679040a-500c-4343-bf87-3cd86cf16ad1	1	30258675	30258730	2	1.6481
d679040a-500c-4343-bf87-3cd86cf16ad1	1	30258851	76013069	28560	-0.001
d679040a-500c-4343-bf87-3cd86cf16ad1	1	76014390	76014754	3	-1.3293
d679040a-500c-4343-bf87-3cd86cf16ad1	1	76019142	76257732	238	-0.0242
d679040a-500c-4343-bf87-3cd86cf16ad1	1	76258703	76258967	2	-1.6668
d679040a-500c-4343-bf87-3cd86cf16ad1	1	76259408	87353280	7293	0.0007
d679040a-500c-4343-bf87-3cd86cf16ad1	1	87354016	87354407	3	-1.0781
d679040a-500c-4343-bf87-3cd86cf16ad1	1	87362350	92108206	3167	0.0015
d679040a-500c-4343-bf87-3cd86cf16ad1	1	92113687	92118962	5	-1.1299
d679040a-500c-4343-bf87-3cd86cf16ad1	1	92119483	105763866	8199	0.0012
d679040a-500c-4343-bf87-3cd86cf16ad1	1	105766516	105773232	7	-0.8331
d679040a-500c-4343-bf87-3cd86cf16ad1	1	105778334	108951525	2074	0.001
d679040a-500c-4343-bf87-3cd86cf16ad1	1	108954232	108955523	14	-1.1344
d679040a-500c-4343-bf87-3cd86cf16ad1	1	108961034	109684893	332	-0.029
d679040a-500c-4343-bf87-3cd86cf16ad1	1	109690352	109697556	13	1.0966
d679040a-500c-4343-bf87-3cd86cf16ad1	1	109702376	143494500	7111	0.0038
d679040a-500c-4343-bf87-3cd86cf16ad1	1	143541857	143942271	126	-0.8457
d679040a-500c-4343-bf87-3cd86cf16ad1	1	144432083	144451316	8	-0.0805
d679040a-500c-4343-bf87-3cd86cf16ad1	1	144458153	144932423	8	-0.6572
d679040a-500c-4343-bf87-3cd86cf16ad1	1	145642976	152583938	2295	-0.0023
d679040a-500c-4343-bf87-3cd86cf16ad1	1	152587808	152606992	19	0.5311
d679040a-500c-4343-bf87-3cd86cf16ad1	1	152607145	152787202	175	-0.0007
d679040a-500c-4343-bf87-3cd86cf16ad1	1	152789447	152801429	38	0.3536
d679040a-500c-4343-bf87-3cd86cf16ad1	1	152804279	157508748	2480	-0.0008
d679040a-500c-4343-bf87-3cd86cf16ad1	1	157512664	157513157	2	-1.8096
d679040a-500c-4343-bf87-3cd86cf16ad1	1	157513483	174827576	12272	0.0051
d679040a-500c-4343-bf87-3cd86cf16ad1	1	174827723	174836013	35	0.3127
d679040a-500c-4343-bf87-3cd86cf16ad1	1	174837384	194479104	13128	0.0006
d679040a-500c-4343-bf87-3cd86cf16ad1	1	194482281	194485888	2	-2.1173
d679040a-500c-4343-bf87-3cd86cf16ad1	1	194487886	196745743	1450	0.0023
d679040a-500c-4343-bf87-3cd86cf16ad1	1	196758720	196832525	57	-1.8564
d679040a-500c-4343-bf87-3cd86cf16ad1	1	196832720	248550567	35529	-0.0002
d679040a-500c-4343-bf87-3cd86cf16ad1	1	248572774	248633821	33	0.3847
d679040a-500c-4343-bf87-3cd86cf16ad1	1	248633912	248930189	142	-0.095
d679040a-500c-4343-bf87-3cd86cf16ad1	2	12784	7499242	5913	-0.0023
d679040a-500c-4343-bf87-3cd86cf16ad1	2	7502934	7506841	2	1.7213
d679040a-500c-4343-bf87-3cd86cf16ad1	2	7506876	34850935	18416	0.0043
d679040a-500c-4343-bf87-3cd86cf16ad1	2	34855796	34865803	8	-1.3135
d679040a-500c-4343-bf87-3cd86cf16ad1	2	34868226	35356085	288	-0.0161
d679040a-500c-4343-bf87-3cd86cf16ad1	2	35356441	35356629	2	-1.2414
d679040a-500c-4343-bf87-3cd86cf16ad1	2	35356931	35750907	330	-0.0076
d679040a-500c-4343-bf87-3cd86cf16ad1	2	35752724	35762881	7	-1.5252
d679040a-500c-4343-bf87-3cd86cf16ad1	2	35772407	52527342	12097	0.0103
d679040a-500c-4343-bf87-3cd86cf16ad1	2	52527362	52554404	38	0.4304
d679040a-500c-4343-bf87-3cd86cf16ad1	2	52560811	87328818	22009	0.008
d679040a-500c-4343-bf87-3cd86cf16ad1	2	87331138	87440034	5	-1.0344
d679040a-500c-4343-bf87-3cd86cf16ad1	2	87440271	89305244	706	0.0067
d679040a-500c-4343-bf87-3cd86cf16ad1	2	89896149	90228220	126	-2.8753
d679040a-500c-4343-bf87-3cd86cf16ad1	2	90228237	90262403	5	-1.3515
d679040a-500c-4343-bf87-3cd86cf16ad1	2	90281849	97359885	940	-0.0141
d679040a-500c-4343-bf87-3cd86cf16ad1	2	97524284	97545726	9	0.7985
d679040a-500c-4343-bf87-3cd86cf16ad1	2	97550415	137746032	24198	0.0036
d679040a-500c-4343-bf87-3cd86cf16ad1	2	137747577	137754783	10	-0.7286
d679040a-500c-4343-bf87-3cd86cf16ad1	2	137757882	141344094	2227	0.0025
d679040a-500c-4343-bf87-3cd86cf16ad1	2	141349262	141354349	11	-0.9105
d679040a-500c-4343-bf87-3cd86cf16ad1	2	141360458	179554927	23366	0.0042
d679040a-500c-4343-bf87-3cd86cf16ad1	2	179555026	179556770	11	-0.7048
d679040a-500c-4343-bf87-3cd86cf16ad1	2	179556785	183929124	2762	0.0162
d679040a-500c-4343-bf87-3cd86cf16ad1	2	183929673	183937714	17	-0.7494
d679040a-500c-4343-bf87-3cd86cf16ad1	2	183943862	184379336	331	0.0183
d679040a-500c-4343-bf87-3cd86cf16ad1	2	184392326	184400048	13	-0.7258
d679040a-500c-4343-bf87-3cd86cf16ad1	2	184400078	207490994	13305	0.0076
d679040a-500c-4343-bf87-3cd86cf16ad1	2	207491028	207494612	12	-1.1813
d679040a-500c-4343-bf87-3cd86cf16ad1	2	207494752	242147305	22035	0.0064
d679040a-500c-4343-bf87-3cd86cf16ad1	3	20930	1878166	1666	0.0185
d679040a-500c-4343-bf87-3cd86cf16ad1	3	1878453	1881281	3	-1.4459
d679040a-500c-4343-bf87-3cd86cf16ad1	3	1883380	30021747	20653	0.0029
d679040a-500c-4343-bf87-3cd86cf16ad1	3	30026239	30029954	7	-0.9913
d679040a-500c-4343-bf87-3cd86cf16ad1	3	30033383	41731715	7760	0.0074
d679040a-500c-4343-bf87-3cd86cf16ad1	3	41738655	41747000	7	-1.0149
d679040a-500c-4343-bf87-3cd86cf16ad1	3	41754349	45405525	2066	-0.0063
d679040a-500c-4343-bf87-3cd86cf16ad1	3	45407881	45408441	2	-1.5334
d679040a-500c-4343-bf87-3cd86cf16ad1	3	45408457	46008216	434	-0.0013
d679040a-500c-4343-bf87-3cd86cf16ad1	3	46008344	46010221	2	-1.6412
