GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	62920	3659633	900	0.107
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	3662248	16721910	7790	0.0327
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	16721984	16788139	14	-0.6106
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	16855942	25292440	5337	0.0278
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	25292549	25319167	4	-0.9836
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	25319693	30264526	2392	0.0297
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	30265508	30268809	9	-0.7202
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	30269103	34626073	2555	0.0269
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	34637053	34638890	20	-0.7605
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	34648667	61647430	16471	0.0237
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	61648334	61652515	4	-0.8913
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	61654137	72284670	7289	0.014
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	72290430	72297687	9	-1.1797
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	72302735	72345450	47	0.4339
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	72345465	105470754	20954	0.0119
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	105476583	105479753	17	0.9732
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	105481433	152583051	12230	0.0202
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	152583230	152614064	33	-1.9268
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	152614100	152784298	165	0.0596
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	152784330	152795883	38	-0.3062
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	152796094	180803572	18806	0.0173
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	180804831	180804994	2	-1.3507
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	180805017	196843377	10728	0.0155
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	196843400	196846661	2	1.473
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	1	196847600	248930189	35814	0.0172
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	12784	175407	90	-0.0082
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	175844	263270	70	-0.3514
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	265970	4155990	2826	0.033
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	4158097	4175577	37	-0.6978
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	4175922	7432299	2843	0.0146
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	7435302	7562818	96	-0.1793
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	7565572	33911184	17689	0.0184
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	33911403	33912175	3	-1.1073
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	33912531	34466002	438	-0.0134
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	34474248	34511990	46	0.5819
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	34512096	52527743	13013	0.0047
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	52531615	52563002	35	-0.5569
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	52563355	86901078	21984	0.0135
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	86902080	86910262	2	-2.2156
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	86934730	87211079	41	-0.146
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	87218694	87218834	2	-1.4719
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	87221597	97192190	1794	0.025
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	97199600	97211436	14	-0.6479
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	97310327	97535071	17	0.1305
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	97537802	97545726	5	0.9598
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	97550415	100589803	1749	0.0071
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	100589811	100590551	2	-1.3154
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	100595040	106257550	3814	0.0111
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	106258041	106268557	14	0.4628
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	106268901	107293439	666	-0.004
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	107294807	107301621	3	-0.896
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	107301969	107824280	325	0.0146
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	107830513	107917588	11	-0.5114
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	107923811	130068769	13293	0.0109
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	130112379	130116915	2	-1.3099
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	130117303	146106875	9533	0.0169
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	146106889	146109366	21	0.9011
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	146120238	207485210	36963	0.0119
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	207485315	207495422	30	0.4385
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	2	207495498	242147305	22075	0.014
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	20930	182919	154	0.0225
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	188339	191117	4	-3.1315
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	193194	11366589	9392	0.0124
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	11371130	11371926	4	-1.1662
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	11375791	68697013	38249	0.0189
b84d24cc-923e-4fc3-bde8-775a7d9b9c24	3	68697108	68698262	14	-0.7866
