GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	61735	121741181	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr1	143285278	248930189	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr2	12784	242147305	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	18667	143245506	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	143245531	194611146	4	3	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	194614233	195830590	6	5	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	195832418	196913114	9	8	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr3	196916454	198169247	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr4	12281	190106768	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	15532	22591363	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	22591713	46061883	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr5	46062027	181363319	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	149661	31004613	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr6	31004694	170741917	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr7	43259	61272831	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr7	61274837	159334314	3	3	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr8	81254	41403608	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr8	41404025	111610842	4	3	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr8	111611282	145072769	5	3	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr9	46587	25681525	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr9	25683136	42995504	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr9	60840363	138200944	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr10	26823	133769379	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr11	198572	135074876	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr12	51460	118036484	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr12	118039377	133201603	3	3	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr13	18452809	114342922	6	4	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr14	18225647	106877229	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr15	19811075	87566028	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr15	87566701	88074103	4	3	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr15	88074490	101928837	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr16	10777	6344354	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr16	6345145	7099862	1	1	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr16	7101382	90221127	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	150733	22669468	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	22671667	35608510	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	35609733	43437078	4	2	2
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	43444725	67636538	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	67637414	69677740	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr17	69678163	83090856	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr18	48133	50937938	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr18	50940311	53226003	0	0	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr18	53226240	80257174	2	2	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr19	90910	58586487	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr20	80664	14883586	3	3	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr20	14884510	64324800	4	4	0
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr21	10336543	46677045	2	1	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chr22	15294545	50796027	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chrX	251810	2776199	3	2	1
ee3d5625-f03d-4352-8ed5-5b19a5d93716	chrX	2785350	156004181	2	2	0
