GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8760666a-cc08-42db-935a-4b6095d138ee	1	62920	3409606	809	-0.4278
8760666a-cc08-42db-935a-4b6095d138ee	1	3410232	12777697	5666	-0.3152
8760666a-cc08-42db-935a-4b6095d138ee	1	12778601	12823233	25	-1.009
8760666a-cc08-42db-935a-4b6095d138ee	1	12832455	16855942	2189	-0.302
8760666a-cc08-42db-935a-4b6095d138ee	1	16863509	16935737	54	-0.9768
8760666a-cc08-42db-935a-4b6095d138ee	1	16935752	34637053	10218	-0.3023
8760666a-cc08-42db-935a-4b6095d138ee	1	34637069	34648667	20	-0.9529
8760666a-cc08-42db-935a-4b6095d138ee	1	34649941	54246693	10801	-0.3008
8760666a-cc08-42db-935a-4b6095d138ee	1	54248706	54752299	311	-0.3512
8760666a-cc08-42db-935a-4b6095d138ee	1	54752357	54804184	32	-0.7224
8760666a-cc08-42db-935a-4b6095d138ee	1	54804242	72297687	12575	-0.3336
8760666a-cc08-42db-935a-4b6095d138ee	1	72302735	72345465	48	0.1965
8760666a-cc08-42db-935a-4b6095d138ee	1	72346221	104760968	20521	-0.3456
8760666a-cc08-42db-935a-4b6095d138ee	1	104761553	105476861	394	-0.3157
8760666a-cc08-42db-935a-4b6095d138ee	1	105478582	105479753	12	0.5338
8760666a-cc08-42db-935a-4b6095d138ee	1	105481433	109690352	2634	-0.3143
8760666a-cc08-42db-935a-4b6095d138ee	1	109690415	109697556	12	0.9288
8760666a-cc08-42db-935a-4b6095d138ee	1	109702376	112147704	1945	-0.3197
8760666a-cc08-42db-935a-4b6095d138ee	1	112153343	112163440	28	0.1841
8760666a-cc08-42db-935a-4b6095d138ee	1	112163460	152583051	7588	-0.3249
8760666a-cc08-42db-935a-4b6095d138ee	1	152583230	152614118	35	0.7609
8760666a-cc08-42db-935a-4b6095d138ee	1	152618018	152789918	175	-0.3186
8760666a-cc08-42db-935a-4b6095d138ee	1	152789962	152796224	29	0.1038
8760666a-cc08-42db-935a-4b6095d138ee	1	152801429	174886354	14824	-0.3148
8760666a-cc08-42db-935a-4b6095d138ee	1	174887650	196745743	14579	-0.3453
8760666a-cc08-42db-935a-4b6095d138ee	1	196758720	196832720	58	0.051
8760666a-cc08-42db-935a-4b6095d138ee	1	196843377	247975218	35261	-0.3442
8760666a-cc08-42db-935a-4b6095d138ee	1	247976062	248930189	469	-0.3005
8760666a-cc08-42db-935a-4b6095d138ee	2	12784	4158097	2983	0.0558
8760666a-cc08-42db-935a-4b6095d138ee	2	4166274	4175577	36	-2.2013
8760666a-cc08-42db-935a-4b6095d138ee	2	4175922	34466002	21051	0.0693
8760666a-cc08-42db-935a-4b6095d138ee	2	34474248	34476668	6	-1.3321
8760666a-cc08-42db-935a-4b6095d138ee	2	34483565	34492907	24	-0.6214
8760666a-cc08-42db-935a-4b6095d138ee	2	34492921	34511990	16	-1.1731
8760666a-cc08-42db-935a-4b6095d138ee	2	34512096	35742970	867	0.0634
8760666a-cc08-42db-935a-4b6095d138ee	2	35750907	35762850	7	0.9378
8760666a-cc08-42db-935a-4b6095d138ee	2	35762881	37829329	1645	0.0847
8760666a-cc08-42db-935a-4b6095d138ee	2	37829808	37830150	2	-1.5178
8760666a-cc08-42db-935a-4b6095d138ee	2	37831944	52527330	10474	0.0724
8760666a-cc08-42db-935a-4b6095d138ee	2	52527342	52554404	39	-1.9361
8760666a-cc08-42db-935a-4b6095d138ee	2	52560811	82167059	19320	0.0691
8760666a-cc08-42db-935a-4b6095d138ee	2	82167152	83737160	855	-0.0011
8760666a-cc08-42db-935a-4b6095d138ee	2	83737316	86710564	1730	0.0873
8760666a-cc08-42db-935a-4b6095d138ee	2	86725947	86726731	2	1.4911
8760666a-cc08-42db-935a-4b6095d138ee	2	86743283	87203368	99	0.0925
8760666a-cc08-42db-935a-4b6095d138ee	2	87203463	87542032	76	-0.3252
8760666a-cc08-42db-935a-4b6095d138ee	2	87546272	94856024	931	0.0464
8760666a-cc08-42db-935a-4b6095d138ee	2	94859848	97192190	794	0.0853
8760666a-cc08-42db-935a-4b6095d138ee	2	97199600	97211264	13	-0.5871
8760666a-cc08-42db-935a-4b6095d138ee	2	97211436	97359885	14	0.0994
8760666a-cc08-42db-935a-4b6095d138ee	2	97524284	97545247	8	0.8096
8760666a-cc08-42db-935a-4b6095d138ee	2	97545726	102061304	2681	0.0846
8760666a-cc08-42db-935a-4b6095d138ee	2	102062913	102063724	2	-1.3595
8760666a-cc08-42db-935a-4b6095d138ee	2	102064396	130022580	17149	0.0733
8760666a-cc08-42db-935a-4b6095d138ee	2	130022674	163780342	20135	0.0451
8760666a-cc08-42db-935a-4b6095d138ee	2	163786978	163788616	5	-1.4187
8760666a-cc08-42db-935a-4b6095d138ee	2	163790132	168896927	3119	0.0433
8760666a-cc08-42db-935a-4b6095d138ee	2	168897129	168897136	2	-1.7383
8760666a-cc08-42db-935a-4b6095d138ee	2	168899548	178318006	6057	0.078
8760666a-cc08-42db-935a-4b6095d138ee	2	178320149	182792412	2829	0.0289
8760666a-cc08-42db-935a-4b6095d138ee	2	182792562	183220725	230	0.076
