GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	3301765	7408776	2667	-0.0341
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7409043	7409191	2	-1.7347
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7420403	7887213	300	-0.0424
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7887886	7891686	2	-2.0578
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7892103	38662929	16017	-0.0279
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	38669578	38669957	7	-1.3808
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	38670057	53022198	7350	-0.0231
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	53022778	53024068	10	-0.9575
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	53026932	71169237	12541	-0.0315
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	71172923	83049369	6875	-0.0727
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	83049447	91600684	5492	-0.0266
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	91603410	107258705	8873	-0.0548
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	107259337	114857263	4570	-0.0243
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	114857319	247650984	64652	-0.0015
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	480597	192511057	103397	-0.004
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	192573538	192607380	16	0.7563
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	192607499	241537572	28438	-0.0138
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	2170634	61166614	33641	-0.3361
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	61169624	61385997	154	0.4384
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	61388123	120115509	32047	-0.3433
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	120116074	144891971	13776	0.2215
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	144892714	144894034	2	-1.9467
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	144895685	153489803	4562	0.2258
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	153490334	153490559	2	-1.9327
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	153494421	160513216	3764	0.2317
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	160516293	160517155	2	-2.0229
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	160518504	197812401	18870	0.2192
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	1059384	6086515	2622	-0.2745
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	6087207	6087229	2	-2.7011
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	6087645	9962879	1894	-0.2743
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	9963376	9964969	7	-1.5683
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	9967060	29770786	13567	-0.271
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	29771651	29775067	3	-2.0231
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	29775227	91224047	32700	-0.2637
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	91226365	91401035	106	-0.7515
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	91401656	187099294	51796	-0.2728
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	187101040	187102395	2	-2.9232
25dfb308-0837-4399-ba56-bd0eaf1915e4	4	187102558	187842528	464	-0.2729
25dfb308-0837-4399-ba56-bd0eaf1915e4	5	913983	31386362	18215	-0.2732
25dfb308-0837-4399-ba56-bd0eaf1915e4	5	31391617	31391848	2	-3.1991
25dfb308-0837-4399-ba56-bd0eaf1915e4	5	31392195	180934240	82587	-0.2448
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	1011760	40268330	23740	-0.0322
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	40268726	40269827	3	-1.5746
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	40269869	45811995	3306	-0.0262
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	45812209	45812519	2	-2.2959
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	45814288	52926962	4244	-0.0304
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	52928056	52929066	4	-1.3848
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	52933264	63642102	3706	-0.0446
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	63642700	63643742	3	-1.7207
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	63646617	68741307	2841	-0.0533
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	68743215	68766422	15	-0.6458
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	68771569	71349561	1410	-0.0235
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	71349821	71350976	2	-2.0317
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	71351757	101094895	16450	-0.0481
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	101096362	101497699	257	-0.3983
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	101497846	120153628	10521	-0.0374
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	120158050	120271443	63	-1.0673
25dfb308-0837-4399-ba56-bd0eaf1915e4	6	120274168	170596889	30305	-0.0296
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	664936	70139371	36185	0.588
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	70147572	70290172	64	0.2086
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	70300451	103871783	16011	0.6039
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	103876227	103909319	39	0.2354
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	103917371	110318095	3792	0.6125
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	110321216	110501379	112	0.3747
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	110502194	116319151	2723	0.6053
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	116319711	116325204	2	-1.4115
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	116327362	140535510	13632	0.6024
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	140535889	140538407	4	-0.651
25dfb308-0837-4399-ba56-bd0eaf1915e4	7	140539703	158592540	9219	0.6088
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	667625	12837681	5304	-0.77
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	12837921	12838023	2	-3.0269
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	12838268	15002703	1697	-0.7492
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	15003444	15003900	2	-2.8723
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	15003960	17149871	1389	-0.7608
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	17151662	17151853	2	-3.4034
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	17152660	17382981	185	-0.753
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	17383123	17383207	2	-2.7696
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	17383339	31651978	9952	-0.7331
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	31655272	76494326	23755	0.4639
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	76494699	76498142	2	-1.9379
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	76498995	87350631	5659	0.4626
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	87351367	87369502	10	-0.1895
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	87374955	89710364	1361	0.4532
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	89716367	89858006	67	0.0542
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	89859461	101530213	6820	0.4735
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	101532051	101532382	2	-2.1041
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	101535467	124354193	13270	0.4673
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	124355951	124356061	2	-2.0396
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	124359910	129127700	3346	0.4836
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	129130432	129132280	4	-1.6297
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	129134311	139346071	7601	0.4765
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	139346645	139346717	2	-2.6329
25dfb308-0837-4399-ba56-bd0eaf1915e4	8	139349930	144182542	1481	0.47
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	789794	27230511	16831	-0.0636
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	27257584	27271009	31	0.4627
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	27271120	91955317	23076	-0.058
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	91959269	91960259	3	-1.7009
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	91963590	97562611	3207	-0.0452
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	97562976	97563819	2	-2.3474
25dfb308-0837-4399-ba56-bd0eaf1915e4	9	97567206	138044505	25103	-0.0477
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	366509	52096614	30659	-0.3251
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	52097000	52100045	8	-1.4673
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	52100076	98516282	28205	-0.3212
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	98518300	98518335	2	-2.5287
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	98520095	115670971	10641	-0.3212
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	115673852	115673869	2	-2.0782
25dfb308-0837-4399-ba56-bd0eaf1915e4	10	115673895	133411599	11484	-0.3361
25dfb308-0837-4399-ba56-bd0eaf1915e4	11	456012	2066201	416	-0.0491
25dfb308-0837-4399-ba56-bd0eaf1915e4	11	2066497	2227332	61	0.4199
25dfb308-0837-4399-ba56-bd0eaf1915e4	11	2234311	12922649	7051	-0.0318
