GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	3301765	61037526	32231	0.0154
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	61041112	67078551	4317	-0.0089
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	67086738	67099366	11	-0.9057
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	67103141	153041606	32983	-0.0135
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	153041803	153041835	2	-2.5299
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	153042265	200169721	29341	-0.0061
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	200170167	239761570	26247	0.024
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	239761701	239761809	2	-2.2995
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	239762639	242533463	2093	0.0341
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	242533673	242533885	3	-2.2491
4ca33f9a-7968-4a99-a40b-1f88aab4893b	1	242536312	247650984	2459	0.0333
4ca33f9a-7968-4a99-a40b-1f88aab4893b	2	480597	3831381	1488	0.0302
4ca33f9a-7968-4a99-a40b-1f88aab4893b	2	3834141	133436550	68227	-0.0055
4ca33f9a-7968-4a99-a40b-1f88aab4893b	2	133437420	133440379	2	-2.5168
4ca33f9a-7968-4a99-a40b-1f88aab4893b	2	133440944	182448038	29038	-0.0034
4ca33f9a-7968-4a99-a40b-1f88aab4893b	2	182448480	241537572	33387	0.0342
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	2170634	63453738	35412	0.0042
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	63463530	63463668	2	-2.6981
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	63466434	189376519	67587	-0.0008
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	189378176	189380158	3	-2.4667
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	189380938	190794498	987	-0.0002
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	190794511	190794865	2	-1.9697
4ca33f9a-7968-4a99-a40b-1f88aab4893b	3	190796077	197812401	3120	0.0402
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	1059384	2434970	490	0.0447
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	2435563	23105981	13218	-0.0047
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	23112229	23112784	2	-2.5038
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	23116447	41403149	11246	-0.0105
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	41404113	41405535	16	-0.7369
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	41405550	107937433	35059	-0.0062
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	107939537	121138613	7652	0.0267
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	121141630	123824143	1409	-0.0003
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	123824559	150937273	14466	0.0462
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	150937352	150965264	21	-0.5009
4ca33f9a-7968-4a99-a40b-1f88aab4893b	4	150966958	187842528	19875	0.0667
4ca33f9a-7968-4a99-a40b-1f88aab4893b	5	913983	14046679	9008	0.0188
4ca33f9a-7968-4a99-a40b-1f88aab4893b	5	14047520	111232802	49490	-0.0167
4ca33f9a-7968-4a99-a40b-1f88aab4893b	5	111234478	180934240	42571	0.0232
4ca33f9a-7968-4a99-a40b-1f88aab4893b	6	1011760	89961395	50038	-0.011
4ca33f9a-7968-4a99-a40b-1f88aab4893b	6	89964327	170596889	47093	0.0129
4ca33f9a-7968-4a99-a40b-1f88aab4893b	7	664936	13345737	5809	-0.0102
4ca33f9a-7968-4a99-a40b-1f88aab4893b	7	13349939	13351436	2	-2.5616
4ca33f9a-7968-4a99-a40b-1f88aab4893b	7	13351568	53813854	26006	-0.0155
4ca33f9a-7968-4a99-a40b-1f88aab4893b	7	53815785	53818458	2	-2.5522
4ca33f9a-7968-4a99-a40b-1f88aab4893b	7	53825099	158592540	50083	0.0003
4ca33f9a-7968-4a99-a40b-1f88aab4893b	8	667625	3042532	903	0.039
4ca33f9a-7968-4a99-a40b-1f88aab4893b	8	3042701	118169454	64701	-0.0063
4ca33f9a-7968-4a99-a40b-1f88aab4893b	8	118169498	144182542	16584	0.0263
4ca33f9a-7968-4a99-a40b-1f88aab4893b	9	789794	70076673	24870	-0.0075
4ca33f9a-7968-4a99-a40b-1f88aab4893b	9	70077892	138044505	43575	0.044
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	366509	1513539	428	-0.011
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	1515950	1519016	6	-1.9896
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	1520169	28915998	19565	-0.0198
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	28916109	28916520	3	-1.9251
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	28916736	77830927	26134	-0.0103
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	77831728	77831761	2	-2.163
4ca33f9a-7968-4a99-a40b-1f88aab4893b	10	77832456	133411599	35100	0.0038
4ca33f9a-7968-4a99-a40b-1f88aab4893b	11	456012	7413028	3501	-0.0072
4ca33f9a-7968-4a99-a40b-1f88aab4893b	11	7413076	7413399	2	-2.3458
4ca33f9a-7968-4a99-a40b-1f88aab4893b	11	7414064	134272740	74042	-0.0017
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	780472	29983077	17521	-0.0139
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	29983102	29983285	2	-2.1121
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	29986110	43404470	4688	-0.0143
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	43404973	43405850	2	-2.8976
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	43407096	54679158	6019	-0.0183
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	54679377	54679795	2	-2.3815
4ca33f9a-7968-4a99-a40b-1f88aab4893b	12	54680652	132605822	46062	-0.0027
4ca33f9a-7968-4a99-a40b-1f88aab4893b	13	18874255	62979513	25743	-0.006
4ca33f9a-7968-4a99-a40b-1f88aab4893b	13	62979918	62979930	2	-2.3089
4ca33f9a-7968-4a99-a40b-1f88aab4893b	13	62982658	89114011	14880	0.0178
4ca33f9a-7968-4a99-a40b-1f88aab4893b	13	89114094	89118320	2	-3.4706
4ca33f9a-7968-4a99-a40b-1f88aab4893b	13	89118422	114226675	16346	0.0361
4ca33f9a-7968-4a99-a40b-1f88aab4893b	14	20033191	105533894	49743	-0.0032
4ca33f9a-7968-4a99-a40b-1f88aab4893b	15	23437561	101344124	44761	-0.0049
4ca33f9a-7968-4a99-a40b-1f88aab4893b	16	603333	64199232	25468	0.0028
4ca33f9a-7968-4a99-a40b-1f88aab4893b	16	64201117	64201120	2	-2.1757
4ca33f9a-7968-4a99-a40b-1f88aab4893b	16	64202188	89317317	15730	0.0065
4ca33f9a-7968-4a99-a40b-1f88aab4893b	17	1074619	82959812	37265	-0.0065
4ca33f9a-7968-4a99-a40b-1f88aab4893b	18	326691	79349796	42948	-0.0023
4ca33f9a-7968-4a99-a40b-1f88aab4893b	19	283868	3321679	731	-0.0134
4ca33f9a-7968-4a99-a40b-1f88aab4893b	19	3321712	3327945	2	-2.1863
4ca33f9a-7968-4a99-a40b-1f88aab4893b	19	3329811	58370362	23415	-0.0004
4ca33f9a-7968-4a99-a40b-1f88aab4893b	20	472817	5400794	3095	-0.0105
4ca33f9a-7968-4a99-a40b-1f88aab4893b	20	5400844	5401004	2	-3.1756
4ca33f9a-7968-4a99-a40b-1f88aab4893b	20	5401843	63588502	34433	-0.0002
4ca33f9a-7968-4a99-a40b-1f88aab4893b	21	13974127	46262057	20591	-0.0103
4ca33f9a-7968-4a99-a40b-1f88aab4893b	22	16934932	33176915	7040	-0.0105
4ca33f9a-7968-4a99-a40b-1f88aab4893b	22	33184592	33187251	4	-1.6198
4ca33f9a-7968-4a99-a40b-1f88aab4893b	22	33190353	48940621	10039	0.0015
4ca33f9a-7968-4a99-a40b-1f88aab4893b	X	3236359	3529721	213	0.0939
4ca33f9a-7968-4a99-a40b-1f88aab4893b	X	3529881	83580412	31548	-0.0151
4ca33f9a-7968-4a99-a40b-1f88aab4893b	X	83582534	155677414	31921	0.0518
