GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7aca4aec-6acc-45fe-803c-a856bbf523e4	1	3301765	172332723	82268	0.0136
7aca4aec-6acc-45fe-803c-a856bbf523e4	1	172335216	172337190	3	-1.3919
7aca4aec-6acc-45fe-803c-a856bbf523e4	1	172340530	247650984	47525	0.0139
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	480597	83871450	48815	0.0096
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	83874451	83878835	2	-1.581
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	83879510	116714158	12989	0.0176
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	116714666	154988587	20473	0.001
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	154994326	206666573	28712	0.0181
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	206670285	206676789	10	-1.1519
7aca4aec-6acc-45fe-803c-a856bbf523e4	2	206677013	241537572	21235	0.0102
7aca4aec-6acc-45fe-803c-a856bbf523e4	3	2170634	197812401	107204	0.009
7aca4aec-6acc-45fe-803c-a856bbf523e4	4	1059384	162338653	90274	0.0112
7aca4aec-6acc-45fe-803c-a856bbf523e4	4	162342606	162346630	6	-0.9455
7aca4aec-6acc-45fe-803c-a856bbf523e4	4	162347904	187842528	13237	0.0086
7aca4aec-6acc-45fe-803c-a856bbf523e4	5	913983	55701569	29110	0.0374
7aca4aec-6acc-45fe-803c-a856bbf523e4	5	55705155	83176473	15395	0.0579
7aca4aec-6acc-45fe-803c-a856bbf523e4	5	83177859	180934240	56645	0.0431
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	1011760	1826991	676	0.0269
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	1832702	1836916	4	-1.3406
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	1839070	37246546	21037	0.013
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	37251230	37251850	2	1.3448
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	37251868	68850194	16345	0.0095
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	68850247	68850412	3	-1.176
7aca4aec-6acc-45fe-803c-a856bbf523e4	6	68850681	170596889	59140	0.0069
7aca4aec-6acc-45fe-803c-a856bbf523e4	7	664936	96429459	49177	0.014
7aca4aec-6acc-45fe-803c-a856bbf523e4	7	96439159	96443262	5	-1.182
7aca4aec-6acc-45fe-803c-a856bbf523e4	7	96444810	127250848	15966	0.0143
7aca4aec-6acc-45fe-803c-a856bbf523e4	7	127258569	127273060	12	-1.0127
7aca4aec-6acc-45fe-803c-a856bbf523e4	7	127274647	158592540	16814	0.0128
7aca4aec-6acc-45fe-803c-a856bbf523e4	8	667625	144182542	82246	0.0515
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	789794	14589944	7932	0.0156
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	14592323	14594989	6	-1.1804
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	14596265	17550796	2322	0.0053
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	17552211	17572368	20	-1.1875
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	17573563	117496799	46510	0.0145
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	117497843	117498842	4	-1.0279
7aca4aec-6acc-45fe-803c-a856bbf523e4	9	117501436	138044505	11714	0.0164
7aca4aec-6acc-45fe-803c-a856bbf523e4	10	366509	122818080	75074	0.0111
7aca4aec-6acc-45fe-803c-a856bbf523e4	10	122818241	122818365	2	-2.4356
7aca4aec-6acc-45fe-803c-a856bbf523e4	10	122819819	133411599	6233	0.0041
7aca4aec-6acc-45fe-803c-a856bbf523e4	11	456012	41852147	26382	0.0099
7aca4aec-6acc-45fe-803c-a856bbf523e4	11	41855507	41872348	13	-0.709
7aca4aec-6acc-45fe-803c-a856bbf523e4	11	41876307	134272740	51208	0.0107
7aca4aec-6acc-45fe-803c-a856bbf523e4	12	780472	81621987	44695	0.0577
7aca4aec-6acc-45fe-803c-a856bbf523e4	12	81622573	81622763	2	-2.2146
7aca4aec-6acc-45fe-803c-a856bbf523e4	12	81632569	132605822	29660	0.0529
7aca4aec-6acc-45fe-803c-a856bbf523e4	13	18874255	114226675	57019	0.0464
7aca4aec-6acc-45fe-803c-a856bbf523e4	14	20033191	105533894	49807	0.01
7aca4aec-6acc-45fe-803c-a856bbf523e4	15	23437561	101344124	44798	0.0156
7aca4aec-6acc-45fe-803c-a856bbf523e4	16	603333	89317317	41219	0.0081
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	1074619	9719227	4386	0.0136
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	9721475	9722438	2	-1.5226
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	9725257	79119130	31432	0.0151
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	79119305	79119655	3	-1.1648
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	79121499	79260172	53	-0.0208
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	79260800	79260831	2	1.2281
7aca4aec-6acc-45fe-803c-a856bbf523e4	17	79261041	82959812	1415	0.0116
7aca4aec-6acc-45fe-803c-a856bbf523e4	18	326691	21157665	8283	0.0155
7aca4aec-6acc-45fe-803c-a856bbf523e4	18	21157703	21158200	2	-1.5323
7aca4aec-6acc-45fe-803c-a856bbf523e4	18	21161899	29538916	4996	0.0063
7aca4aec-6acc-45fe-803c-a856bbf523e4	18	29540379	29547746	2	-1.2782
