GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
02053079-62b7-4df6-9c3f-b37af76082ea	1	62920	1083324	84	-0.2297
02053079-62b7-4df6-9c3f-b37af76082ea	1	1093675	1958678	240	0.1531
02053079-62b7-4df6-9c3f-b37af76082ea	1	1958847	25256850	13673	-0.0708
02053079-62b7-4df6-9c3f-b37af76082ea	1	25266637	25336819	25	1.251
02053079-62b7-4df6-9c3f-b37af76082ea	1	25336853	34626073	4945	-0.0632
02053079-62b7-4df6-9c3f-b37af76082ea	1	34637053	34637435	6	0.923
02053079-62b7-4df6-9c3f-b37af76082ea	1	34637541	34637909	4	-0.4011
02053079-62b7-4df6-9c3f-b37af76082ea	1	34638226	34638890	10	0.9545
02053079-62b7-4df6-9c3f-b37af76082ea	1	34648667	45071859	5881	-0.0751
02053079-62b7-4df6-9c3f-b37af76082ea	1	45082437	70848774	17005	-0.0358
02053079-62b7-4df6-9c3f-b37af76082ea	1	70850149	72297687	868	-0.0858
02053079-62b7-4df6-9c3f-b37af76082ea	1	72302735	72345465	48	-1.66
02053079-62b7-4df6-9c3f-b37af76082ea	1	72346221	72542484	116	-0.0814
02053079-62b7-4df6-9c3f-b37af76082ea	1	72546237	72633202	63	-0.4393
02053079-62b7-4df6-9c3f-b37af76082ea	1	72633502	102354404	19195	-0.0486
02053079-62b7-4df6-9c3f-b37af76082ea	1	102363267	102371197	29	-0.555
02053079-62b7-4df6-9c3f-b37af76082ea	1	102371210	143893019	11461	-0.0479
02053079-62b7-4df6-9c3f-b37af76082ea	1	143921397	147479195	514	0.1294
02053079-62b7-4df6-9c3f-b37af76082ea	1	147482002	152583051	1807	-0.0238
02053079-62b7-4df6-9c3f-b37af76082ea	1	152583230	152614118	34	3.5765
02053079-62b7-4df6-9c3f-b37af76082ea	1	152618018	152787202	166	-0.0469
02053079-62b7-4df6-9c3f-b37af76082ea	1	152789447	152796224	37	0.8399
02053079-62b7-4df6-9c3f-b37af76082ea	1	152801429	187746723	23486	-0.0517
02053079-62b7-4df6-9c3f-b37af76082ea	1	187748429	187752238	2	-2.8813
02053079-62b7-4df6-9c3f-b37af76082ea	1	187755479	189179212	914	-0.037
02053079-62b7-4df6-9c3f-b37af76082ea	1	189182144	189182296	2	-2.2797
02053079-62b7-4df6-9c3f-b37af76082ea	1	189186067	199142298	6487	-0.0603
02053079-62b7-4df6-9c3f-b37af76082ea	1	199142393	199144712	7	-1.5672
02053079-62b7-4df6-9c3f-b37af76082ea	1	199145110	222193326	16000	-0.0517
02053079-62b7-4df6-9c3f-b37af76082ea	1	222201492	222203662	2	-2.3084
02053079-62b7-4df6-9c3f-b37af76082ea	1	222208792	237233488	10137	-0.0485
02053079-62b7-4df6-9c3f-b37af76082ea	1	237235293	237237750	2	-2.9001
02053079-62b7-4df6-9c3f-b37af76082ea	1	237238965	246372206	6769	-0.0666
02053079-62b7-4df6-9c3f-b37af76082ea	1	246372857	246857372	323	0.1035
02053079-62b7-4df6-9c3f-b37af76082ea	1	246858886	248586259	1008	-0.0882
02053079-62b7-4df6-9c3f-b37af76082ea	1	248589915	248684083	46	0.3605
02053079-62b7-4df6-9c3f-b37af76082ea	1	248684527	248930189	124	-0.0518
02053079-62b7-4df6-9c3f-b37af76082ea	2	12784	295136	179	-0.0221
02053079-62b7-4df6-9c3f-b37af76082ea	2	295255	296852	4	-2.2373
02053079-62b7-4df6-9c3f-b37af76082ea	2	300879	4152855	2796	-0.1112
02053079-62b7-4df6-9c3f-b37af76082ea	2	4153079	4176429	46	0.4453
