GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b86f9b4-49c4-4317-9c76-285477c96865	1	62920	3259074	721	0.0825
3b86f9b4-49c4-4317-9c76-285477c96865	1	3259896	9517810	4089	0.0156
3b86f9b4-49c4-4317-9c76-285477c96865	1	9520592	9520860	3	-0.964
3b86f9b4-49c4-4317-9c76-285477c96865	1	9524383	16864367	3885	0.0098
3b86f9b4-49c4-4317-9c76-285477c96865	1	16868660	16919514	27	-0.3792
3b86f9b4-49c4-4317-9c76-285477c96865	1	16919676	16921232	4	-1.0003
3b86f9b4-49c4-4317-9c76-285477c96865	1	16921350	16951445	24	-0.3428
3b86f9b4-49c4-4317-9c76-285477c96865	1	16955930	25256850	5255	0.0113
3b86f9b4-49c4-4317-9c76-285477c96865	1	25266637	25319167	20	0.7062
3b86f9b4-49c4-4317-9c76-285477c96865	1	25319693	72302815	28706	0.0045
3b86f9b4-49c4-4317-9c76-285477c96865	1	72303233	72345465	46	-1.2795
3b86f9b4-49c4-4317-9c76-285477c96865	1	72346221	74725098	1445	0.0147
3b86f9b4-49c4-4317-9c76-285477c96865	1	74727351	74733606	3	-1.066
3b86f9b4-49c4-4317-9c76-285477c96865	1	74734100	82761755	5267	0.0069
3b86f9b4-49c4-4317-9c76-285477c96865	1	82762014	82762019	2	-1.7543
3b86f9b4-49c4-4317-9c76-285477c96865	1	82762389	91686763	5928	-0.0036
3b86f9b4-49c4-4317-9c76-285477c96865	1	91686913	91739530	60	0.1898
3b86f9b4-49c4-4317-9c76-285477c96865	1	91741077	103621165	7301	-0.0076
3b86f9b4-49c4-4317-9c76-285477c96865	1	103697067	103760781	5	0.8157
3b86f9b4-49c4-4317-9c76-285477c96865	1	103760879	104497098	411	0.0012
3b86f9b4-49c4-4317-9c76-285477c96865	1	104503262	104508392	4	-1.0416
3b86f9b4-49c4-4317-9c76-285477c96865	1	104512295	104927365	198	-0.019
3b86f9b4-49c4-4317-9c76-285477c96865	1	104928166	104928459	2	-1.6725
3b86f9b4-49c4-4317-9c76-285477c96865	1	104932312	108187137	2257	0.0079
3b86f9b4-49c4-4317-9c76-285477c96865	1	108191613	108194874	3	-0.9817
3b86f9b4-49c4-4317-9c76-285477c96865	1	108196482	109684695	691	0.0095
3b86f9b4-49c4-4317-9c76-285477c96865	1	109684893	109697556	14	-0.6662
3b86f9b4-49c4-4317-9c76-285477c96865	1	109702376	112153343	1947	-0.0045
3b86f9b4-49c4-4317-9c76-285477c96865	1	112153465	112154619	22	-0.4366
3b86f9b4-49c4-4317-9c76-285477c96865	1	112154754	143494500	5160	0.0045
3b86f9b4-49c4-4317-9c76-285477c96865	1	143541857	143710781	86	0.2268
3b86f9b4-49c4-4317-9c76-285477c96865	1	143710798	152787202	2550	0.0082
3b86f9b4-49c4-4317-9c76-285477c96865	1	152789447	152795883	35	0.3695
3b86f9b4-49c4-4317-9c76-285477c96865	1	152796094	196745743	29435	0.0008
3b86f9b4-49c4-4317-9c76-285477c96865	1	196758720	196843377	59	0.2765
3b86f9b4-49c4-4317-9c76-285477c96865	1	196843400	196846661	2	2.9504
3b86f9b4-49c4-4317-9c76-285477c96865	1	196847600	244150193	32737	0.0031
3b86f9b4-49c4-4317-9c76-285477c96865	1	244152616	244153694	4	-1.2879
3b86f9b4-49c4-4317-9c76-285477c96865	1	244154983	248930189	3030	0.0248
3b86f9b4-49c4-4317-9c76-285477c96865	2	12784	1786865	1162	0.0337
3b86f9b4-49c4-4317-9c76-285477c96865	2	1793218	1839022	25	0.3523
3b86f9b4-49c4-4317-9c76-285477c96865	2	1841768	20616204	14366	0.0077
3b86f9b4-49c4-4317-9c76-285477c96865	2	20617733	20623492	6	-1.0766
3b86f9b4-49c4-4317-9c76-285477c96865	2	20623852	34485661	8519	0.0065
3b86f9b4-49c4-4317-9c76-285477c96865	2	34485743	34511990	37	-0.3871
3b86f9b4-49c4-4317-9c76-285477c96865	2	34512096	52527330	12991	0.0083
3b86f9b4-49c4-4317-9c76-285477c96865	2	52527342	52554404	39	-2.0251
3b86f9b4-49c4-4317-9c76-285477c96865	2	52560811	65491681	8238	0.0038
3b86f9b4-49c4-4317-9c76-285477c96865	2	65492705	65492807	2	-1.4965
3b86f9b4-49c4-4317-9c76-285477c96865	2	65496822	80833289	10281	0.0053
3b86f9b4-49c4-4317-9c76-285477c96865	2	80833579	80834376	3	-1.3175
3b86f9b4-49c4-4317-9c76-285477c96865	2	80836496	97192190	5277	0.0107
3b86f9b4-49c4-4317-9c76-285477c96865	2	97199600	97210536	11	0.5091
3b86f9b4-49c4-4317-9c76-285477c96865	2	97211069	128880504	18970	0.0072
3b86f9b4-49c4-4317-9c76-285477c96865	2	128880904	128882723	14	-0.4998
3b86f9b4-49c4-4317-9c76-285477c96865	2	128882741	130036283	875	0.0209
3b86f9b4-49c4-4317-9c76-285477c96865	2	130036310	130116915	13	-0.5434
3b86f9b4-49c4-4317-9c76-285477c96865	2	130117303	137224578	4053	0.0154
3b86f9b4-49c4-4317-9c76-285477c96865	2	137226077	137226691	5	-0.8431
3b86f9b4-49c4-4317-9c76-285477c96865	2	137227715	146104517	5460	0.0011
3b86f9b4-49c4-4317-9c76-285477c96865	2	146106836	146109366	24	0.5217
3b86f9b4-49c4-4317-9c76-285477c96865	2	146120238	242147305	59014	0.0016
3b86f9b4-49c4-4317-9c76-285477c96865	3	20930	1112776	899	0.0507
3b86f9b4-49c4-4317-9c76-285477c96865	3	1112875	1122655	6	-0.7426
3b86f9b4-49c4-4317-9c76-285477c96865	3	1126487	2782874	1505	0.0436
3b86f9b4-49c4-4317-9c76-285477c96865	3	2782989	25800444	17077	0.0054
3b86f9b4-49c4-4317-9c76-285477c96865	3	25800519	26559609	497	0.0593
3b86f9b4-49c4-4317-9c76-285477c96865	3	26560269	26570407	10	-0.6419
3b86f9b4-49c4-4317-9c76-285477c96865	3	26570470	32198464	3993	-0.0037
3b86f9b4-49c4-4317-9c76-285477c96865	3	32198627	32203276	2	-1.2373
3b86f9b4-49c4-4317-9c76-285477c96865	3	32203700	36242239	2493	0.0022
3b86f9b4-49c4-4317-9c76-285477c96865	3	36242465	36243538	3	-1.6113
3b86f9b4-49c4-4317-9c76-285477c96865	3	36243787	36254876	7	-0.0285
3b86f9b4-49c4-4317-9c76-285477c96865	3	36255327	36255333	3	-1.1373
3b86f9b4-49c4-4317-9c76-285477c96865	3	36255351	37849773	1062	0.0064
3b86f9b4-49c4-4317-9c76-285477c96865	3	37853904	37872525	13	0.5112
