miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.754308	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.754308	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.508615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.508615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	3.017231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	25	18.857692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	774	583.834131	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	812	612.497822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3516	2652.145741	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	75	56.573075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	2.262923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	3.771538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	50	37.715383	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	6.788769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	2.262923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	15	11.314615	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	31	23.383538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	17.349076	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176034:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	2.262923	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.754308	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.508615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	46	34.698152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	3.017231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	9.051692	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	1.508615	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	56	42.241229	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3621	2731.348046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	6.034461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	856	645.687359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	844	636.635667	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	25	18.857692	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	9	6.788769	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	6	4.525846	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	11	8.297384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	20	15.086153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	847	638.898590	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	788	594.394438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3611	2723.804969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	61	46.012767	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	4.525846	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	37	27.909384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	3.017231	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	2.262923	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	10.560307	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.508615	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.754308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	5.280154	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	22	16.594769	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	11	8.297384	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.754308	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	1.508615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	3.017231	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	226	170.473532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4524	3412.487865	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1560	1176.719953	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5628	4245.243524	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	802	604.954745	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	4.525846	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	16	12.068923	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	55	41.486921	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	22	16.594769	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	1.508615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	13	9.806000	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.754308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	2.262923	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.508615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.754308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113720:+	1	0.754308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	1.508615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.754308	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	7.543077	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	22	16.594769	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.754308	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	1.508615	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	20	15.086153	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	83	62.607536	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	53	39.978306	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	129	97.305688	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	3	2.262923	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.754308	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.754308	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.754308	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	1.508615	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	5	3.771538	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.754308	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.754308	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	33	24.892153	N	mature,MIMAT0000065
