GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	62920	15823420	8343	-0.0171
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	15827002	15828515	10	0.5029
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	15839166	16863509	355	-0.0313
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	16864367	16898730	13	0.3306
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	16898872	16909357	6	-0.1936
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	16909373	16934716	28	0.443
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	16934753	21967332	3342	-0.0275
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	21969814	22062995	41	-0.2612
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	22065274	25256850	1890	-0.0244
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	25266637	25320455	24	0.4121
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	25336819	28503390	1339	-0.0117
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	28504353	28509875	5	-0.7205
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	28513637	34626073	3609	-0.0184
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	34637053	34638890	20	-0.6601
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	34648667	40555364	3184	-0.0213
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	40556404	40562538	4	-1.0902
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	40563254	72302815	20589	-0.0004
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	72303233	72345465	46	-1.5541
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	72346221	74725098	1448	0.0124
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	74727351	74733606	3	-1.1111
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	74734100	81087604	4072	0.0144
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	81089527	81231138	107	0.1598
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	81232448	109684893	17991	0.0071
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	109690352	109697556	13	1.3418
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	109702376	112147704	1951	0.0081
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	112153343	112154591	22	0.3896
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	112154619	114289343	1330	-0.0012
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	114291004	114291088	2	-1.3465
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	114291180	149844633	4855	0.0012
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	149844715	151675530	869	-0.0546
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	151682193	152583051	555	0.0187
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	152583230	152614118	35	-1.9849
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	152618018	152787202	167	-0.031
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	152789447	152796224	37	-1.6221
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	152801429	158896783	3615	-0.0206
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	158898711	158899969	2	-2.0281
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	158905028	159275184	241	-0.0279
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	159276545	159276733	2	-1.2352
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	159279025	167795598	6312	-0.0016
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	167796946	167797682	4	-1.1846
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	167799276	179354603	7731	0.0039
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	179361393	179364180	4	-1.0233
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	179370071	194461702	10105	0.0122
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	194465137	194485888	15	0.4143
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	194487886	196745743	1451	0.0143
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	196758720	196854586	65	0.3251
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	1	196854706	248930189	35829	0.0119
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	12784	4158097	2988	0.0273
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	4166274	4176429	42	-0.5663
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	4182472	15659982	8810	0.0131
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	15660519	15660633	3	-1.0734
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	15664270	24376380	6096	0.015
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	24378642	24388858	20	-0.8101
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	24390690	34466002	6141	-0.0032
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	34474248	34511990	46	0.7157
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	34512096	35750907	872	0.0209
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	35752724	35762850	6	-1.9548
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	35762881	36446412	609	0.0484
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	36447853	36447868	2	-1.2921
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	36448387	41154182	3437	0.0164
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	41154236	41319767	130	0.1488
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	41320202	50643474	6666	0.009
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	50644280	51130564	344	0.1475
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	51133337	78756907	17896	0.0086
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	78756922	79472456	581	0.0808
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	79472679	86710564	4438	0.0077
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	86725947	86726731	2	-1.5915
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	86743283	86901078	63	-0.0337
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	86902080	86910262	2	-2.0491
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	86934730	89305244	790	-0.0202
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	89896149	90309328	135	-0.7641
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	91670923	97537802	945	-0.0062
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	97540809	97545247	3	-1.2645
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	97545726	124265289	16180	0.0106
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	124270393	125293317	629	0.6263
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	125299641	128880504	2170	0.0179
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	128880904	128882723	14	-0.7322
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	128882741	129977148	853	0.0225
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	129979730	129979747	2	1.0919
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	129987388	137616891	4334	0.0182
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	137620245	138307433	428	0.0975
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	138307553	146104517	4805	0.018
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	146106836	146109366	24	0.8625
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	146120238	152930971	4204	0.0132
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	152939554	152940270	3	-1.6361
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	152944055	159102108	3587	0.0187
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	159103831	159104461	2	-1.4143
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	159106775	179196928	12491	0.015
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	179202465	179211936	2	-1.8935
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	179214417	179548635	218	0.0018
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	179548644	179557410	31	-0.6737
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	179560916	230393900	31341	0.0159
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	230400636	230401563	2	-1.6294
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	2	230402928	242147305	7215	0.0015
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	20930	807119	652	0.0993
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	815775	817841	4	-1.052
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	819470	2926956	1885	0.0898
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	2927375	5258084	2090	0.0196
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	5258654	6728026	1312	0.0701
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	6729988	21052254	9830	0.0118
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	21053677	21313746	184	0.123
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	21314011	21735667	332	0.0141
dde4ddbf-306d-4bc2-9d53-6312e127e9e7	3	21735875	22262333	528	0.1235
