GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
358c4603-5e9d-47bf-b94d-5bdc63b1f704	1	3301765	73113314	39897	0.0028
358c4603-5e9d-47bf-b94d-5bdc63b1f704	1	73113554	73113572	2	-2.2057
358c4603-5e9d-47bf-b94d-5bdc63b1f704	1	73113959	76824642	2255	0.0006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	1	76825503	76831533	9	-1.0309
358c4603-5e9d-47bf-b94d-5bdc63b1f704	1	76839524	247650984	87172	0.0016
358c4603-5e9d-47bf-b94d-5bdc63b1f704	2	480597	241537572	131827	0.0034
358c4603-5e9d-47bf-b94d-5bdc63b1f704	3	2170634	197812401	106821	-0.0005
358c4603-5e9d-47bf-b94d-5bdc63b1f704	4	1059384	176384223	97604	-0.0022
358c4603-5e9d-47bf-b94d-5bdc63b1f704	4	176387516	176387700	2	-2.6693
358c4603-5e9d-47bf-b94d-5bdc63b1f704	4	176387772	187842528	5585	0.0021
358c4603-5e9d-47bf-b94d-5bdc63b1f704	5	913983	180934240	100814	0.0014
358c4603-5e9d-47bf-b94d-5bdc63b1f704	6	1011760	170596889	96868	0
358c4603-5e9d-47bf-b94d-5bdc63b1f704	7	664936	118187482	60072	-0.0006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	7	118191689	118194676	4	-1.295
358c4603-5e9d-47bf-b94d-5bdc63b1f704	7	118194920	158592540	21653	0.0008
358c4603-5e9d-47bf-b94d-5bdc63b1f704	8	667625	144182542	81934	0.0016
358c4603-5e9d-47bf-b94d-5bdc63b1f704	9	789794	1771831	441	0.006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	9	1777871	1778025	2	-1.5887
358c4603-5e9d-47bf-b94d-5bdc63b1f704	9	1806432	29575911	17626	-0.0006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	9	29586009	29590528	13	-1.0955
358c4603-5e9d-47bf-b94d-5bdc63b1f704	9	29590569	138044505	50182	0.0001
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	366509	12836938	8834	-0.003
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	12851545	12852773	4	-1.2364
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	12856992	30554479	12460	-0.0009
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	30555966	30560537	5	-1.2334
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	30560755	75647196	23016	-0.0019
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	75648897	75694378	40	0.3624
358c4603-5e9d-47bf-b94d-5bdc63b1f704	10	75694794	133411599	36664	-0.0014
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	456012	63230749	34362	0.0027
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	63230924	63269800	24	0.428
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	63272590	79300568	7327	0.0021
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	79304948	79305315	6	-1.0435
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	79306220	107071674	17265	0.0005
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	107076874	107076889	2	-1.8121
358c4603-5e9d-47bf-b94d-5bdc63b1f704	11	107082346	134272740	18339	0.0015
358c4603-5e9d-47bf-b94d-5bdc63b1f704	12	780472	132605822	74148	0.002
358c4603-5e9d-47bf-b94d-5bdc63b1f704	13	18874255	114226675	56806	0.0012
358c4603-5e9d-47bf-b94d-5bdc63b1f704	14	20033191	43056541	12507	0.0017
358c4603-5e9d-47bf-b94d-5bdc63b1f704	14	43059278	43060126	2	-1.7369
358c4603-5e9d-47bf-b94d-5bdc63b1f704	14	43070317	105533894	37111	-0.0012
358c4603-5e9d-47bf-b94d-5bdc63b1f704	15	23437561	101344124	44636	0.0003
358c4603-5e9d-47bf-b94d-5bdc63b1f704	16	603333	47984538	14597	0.006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	16	47990545	47991637	2	-2.3373
358c4603-5e9d-47bf-b94d-5bdc63b1f704	16	47997109	89317317	26499	0.0006
358c4603-5e9d-47bf-b94d-5bdc63b1f704	17	1074619	82959812	37169	0.0053
358c4603-5e9d-47bf-b94d-5bdc63b1f704	18	326691	79349796	42838	0.0055
358c4603-5e9d-47bf-b94d-5bdc63b1f704	19	283868	58370362	24099	0.0105
358c4603-5e9d-47bf-b94d-5bdc63b1f704	20	472817	63588502	37460	0.0065
358c4603-5e9d-47bf-b94d-5bdc63b1f704	21	13974127	46262057	20525	-0.0024
358c4603-5e9d-47bf-b94d-5bdc63b1f704	22	16934932	17469431	312	0.0196
358c4603-5e9d-47bf-b94d-5bdc63b1f704	22	17469875	17469915	3	-1.6846
358c4603-5e9d-47bf-b94d-5bdc63b1f704	22	17472052	48940621	16727	0.005
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	3236359	31228949	12628	0.0033
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	31229169	31313702	50	0.4909
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	31314141	31356132	48	0.0081
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	31358364	31358771	2	-4.6296
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	31358799	142665107	44922	0.0059
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	142669597	142670716	3	-3.1705
358c4603-5e9d-47bf-b94d-5bdc63b1f704	X	142670772	155677414	5929	0.0123
