GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	62920	55108565	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	55111282	112154591	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	112154619	112163527	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	112163572	118365932	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	118368861	121705338	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	143541857	191964287	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	191972280	192259926	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr1	192260305	248930189	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	12784	12794391	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	12796064	13348461	3	2	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	13351943	22534585	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	22536471	22673201	3	2	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	22674384	37828000	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	37828401	37837451	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	37837528	88831554	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	88833611	89161562	6	6	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	89169192	131106624	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	131107491	146106875	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	146106889	146109366	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	146120238	150589673	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	150590301	241673369	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr2	241703438	242147305	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	20930	486915	3	3	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	489531	16764478	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	16766996	33777142	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	33778235	45689783	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	45689959	45722485	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	45722754	48951260	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	48959992	60337014	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60337130	60378313	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60378805	60992990	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	60993838	69849589	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	69849727	71442864	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	71446829	73410468	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	73410622	73563936	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	73566985	174712295	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	174715976	175351928	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr3	175352399	198169247	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	68929	11090242	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	11090928	11163041	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	11166470	68478894	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	68494770	68591984	4	4	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	68592087	95221038	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	95223837	115580230	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	115584588	143737968	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	143738144	143738642	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	143744282	175931393	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	175934288	181168526	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	181170142	181225528	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr4	181226652	190106768	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	15532	50976322	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	50976607	94011566	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	94011986	136653127	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	136654773	137213949	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	137216047	163067283	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	163075568	163128608	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr5	163129564	181363319	2	1	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	149661	65818136	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	65819108	65873799	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	65881081	78253172	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	78259348	78293324	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	78293764	115047633	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	115047731	116183078	0	0	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	116194120	161496305	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	161496362	161975845	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	161981894	162421445	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	162427897	162513112	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	162515869	163072080	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	163074230	163325082	1	1	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr6	163331235	170741917	2	2	0
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr7	43259	4481043	3	2	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr7	4482383	4535799	6	4	2
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr7	4535949	29055929	3	2	1
a9a096d8-57eb-408c-b1cc-fe8894d02634	chr7	29059564	29111091	4	3	1
