GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3553-01A-01D-1167-02	chr1	17001	187000	5	-1.293839
TCGA-AA-3553-01A-01D-1167-02	chr1	190001	191000	1	-28.232563
TCGA-AA-3553-01A-01D-1167-02	chr1	191001	192000	1	0.228088
TCGA-AA-3553-01A-01D-1167-02	chr1	268001	269000	1	-28.116594
TCGA-AA-3553-01A-01D-1167-02	chr1	269001	635000	5	-0.433444
TCGA-AA-3553-01A-01D-1167-02	chr1	701001	738000	2	-27.940158
TCGA-AA-3553-01A-01D-1167-02	chr1	770001	781000	5	-0.985907
TCGA-AA-3553-01A-01D-1167-02	chr1	782001	783000	1	-29.389650
TCGA-AA-3553-01A-01D-1167-02	chr1	783001	792000	9	-0.938234
TCGA-AA-3553-01A-01D-1167-02	chr1	792001	802000	8	-29.932594
TCGA-AA-3553-01A-01D-1167-02	chr1	802001	817000	11	-1.609576
TCGA-AA-3553-01A-01D-1167-02	chr1	818001	1651000	798	-0.780701
TCGA-AA-3553-01A-01D-1167-02	chr1	1651001	4045000	2227	-0.663887
TCGA-AA-3553-01A-01D-1167-02	chr1	4045001	5114000	1061	-0.556156
TCGA-AA-3553-01A-01D-1167-02	chr1	5114001	5118000	4	-29.040372
TCGA-AA-3553-01A-01D-1167-02	chr1	5118001	7597000	2475	-0.554564
TCGA-AA-3553-01A-01D-1167-02	chr1	7597001	7606000	9	-2.767721
TCGA-AA-3553-01A-01D-1167-02	chr1	7606001	13314000	5317	-0.595593
TCGA-AA-3553-01A-01D-1167-02	chr1	13315001	13322000	7	-1.538209
TCGA-AA-3553-01A-01D-1167-02	chr1	13323001	13335000	8	-2.229247
TCGA-AA-3553-01A-01D-1167-02	chr1	13338001	13340000	2	-29.898503
TCGA-AA-3553-01A-01D-1167-02	chr1	13341001	13366000	18	-2.667206
TCGA-AA-3553-01A-01D-1167-02	chr1	13366001	13535000	169	-0.711473
TCGA-AA-3553-01A-01D-1167-02	chr1	13535001	16510000	2966	-0.561192
TCGA-AA-3553-01A-01D-1167-02	chr1	16510001	16552000	37	-1.755138
TCGA-AA-3553-01A-01D-1167-02	chr1	16553001	16575000	3	-29.427972
TCGA-AA-3553-01A-01D-1167-02	chr1	16575001	16577000	2	-3.228611
TCGA-AA-3553-01A-01D-1167-02	chr1	16577001	16580000	3	-29.923505
TCGA-AA-3553-01A-01D-1167-02	chr1	16580001	16589000	9	-3.278582
TCGA-AA-3553-01A-01D-1167-02	chr1	16589001	16592000	3	-30.805483
TCGA-AA-3553-01A-01D-1167-02	chr1	16595001	16697000	67	-1.220538
TCGA-AA-3553-01A-01D-1167-02	chr1	16699001	16708000	4	-31.178021
TCGA-AA-3553-01A-01D-1167-02	chr1	16709001	16729000	18	-2.108140
TCGA-AA-3553-01A-01D-1167-02	chr1	16729001	16757000	6	-29.347967
TCGA-AA-3553-01A-01D-1167-02	chr1	16760001	16781000	16	-1.231499
TCGA-AA-3553-01A-01D-1167-02	chr1	16781001	16782000	1	-27.882320
TCGA-AA-3553-01A-01D-1167-02	chr1	16782001	16862000	13	-1.727335
TCGA-AA-3553-01A-01D-1167-02	chr1	16862001	16879000	15	-3.687398
TCGA-AA-3553-01A-01D-1167-02	chr1	16879001	16949000	69	-3.313702
TCGA-AA-3553-01A-01D-1167-02	chr1	16949001	16981000	30	-0.790822
TCGA-AA-3553-01A-01D-1167-02	chr1	16981001	29396000	12279	-0.572601
TCGA-AA-3553-01A-01D-1167-02	chr1	29396001	29405000	9	-2.065306
TCGA-AA-3553-01A-01D-1167-02	chr1	29405001	33830000	4409	-0.522875
TCGA-AA-3553-01A-01D-1167-02	chr1	33830001	33833000	3	-29.584452
TCGA-AA-3553-01A-01D-1167-02	chr1	33836001	34636000	787	-0.431184
TCGA-AA-3553-01A-01D-1167-02	chr1	34636001	34646000	10	-28.671445
TCGA-AA-3553-01A-01D-1167-02	chr1	34646001	34959000	313	-0.496016
TCGA-AA-3553-01A-01D-1167-02	chr1	34959001	37214000	2252	-0.214711
TCGA-AA-3553-01A-01D-1167-02	chr1	37214001	43115000	5859	-0.139523
TCGA-AA-3553-01A-01D-1167-02	chr1	43115001	43121000	4	-29.128773
TCGA-AA-3553-01A-01D-1167-02	chr1	43121001	45181000	2054	-0.120359
TCGA-AA-3553-01A-01D-1167-02	chr1	45181001	45186000	5	-2.365124
TCGA-AA-3553-01A-01D-1167-02	chr1	45186001	47053000	1848	-0.136136
TCGA-AA-3553-01A-01D-1167-02	chr1	47053001	47057000	4	-28.933362
TCGA-AA-3553-01A-01D-1167-02	chr1	47057001	47166000	99	-0.256056
TCGA-AA-3553-01A-01D-1167-02	chr1	47166001	47172000	6	-29.460105
TCGA-AA-3553-01A-01D-1167-02	chr1	47172001	48275000	1096	-0.124605
TCGA-AA-3553-01A-01D-1167-02	chr1	48275001	48284000	9	-2.020394
TCGA-AA-3553-01A-01D-1167-02	chr1	48284001	48364000	80	0.011299
TCGA-AA-3553-01A-01D-1167-02	chr1	48364001	48369000	5	-2.433622
TCGA-AA-3553-01A-01D-1167-02	chr1	48369001	49258000	883	-0.013664
TCGA-AA-3553-01A-01D-1167-02	chr1	49258001	49264000	5	-2.612028
TCGA-AA-3553-01A-01D-1167-02	chr1	49264001	50414000	1144	-0.062575
TCGA-AA-3553-01A-01D-1167-02	chr1	50414001	52171000	1755	-0.058996
TCGA-AA-3553-01A-01D-1167-02	chr1	52171001	52177000	6	-2.450599
TCGA-AA-3553-01A-01D-1167-02	chr1	52177001	53169000	991	-0.168405
TCGA-AA-3553-01A-01D-1167-02	chr1	53169001	55494000	2317	-0.110070
TCGA-AA-3553-01A-01D-1167-02	chr1	55494001	55497000	3	-29.289636
