GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
2132f97f-137c-496e-a513-89df789eace8	chr1	62920	8287301	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	8295407	9449762	5	4	1
2132f97f-137c-496e-a513-89df789eace8	chr1	9460977	10203089	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	10209507	11383308	5	4	1
2132f97f-137c-496e-a513-89df789eace8	chr1	11384127	11516149	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	11517036	11800467	4	3	1
2132f97f-137c-496e-a513-89df789eace8	chr1	11802157	22322994	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr1	22323501	22503550	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	22504654	26058815	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr1	26058965	26328971	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	26329016	26670587	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr1	26672721	26880774	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr1	26884551	29437914	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr1	29438288	29455711	2	1	1
2132f97f-137c-496e-a513-89df789eace8	chr1	29457831	34246204	4	3	1
2132f97f-137c-496e-a513-89df789eace8	chr1	34249861	34258205	2	1	1
2132f97f-137c-496e-a513-89df789eace8	chr1	34258327	112168296	4	3	1
2132f97f-137c-496e-a513-89df789eace8	chr1	112168686	112178012	2	1	1
2132f97f-137c-496e-a513-89df789eace8	chr1	112178478	152972410	4	3	1
2132f97f-137c-496e-a513-89df789eace8	chr1	152972461	183919724	6	5	1
2132f97f-137c-496e-a513-89df789eace8	chr1	183920418	183979507	4	4	0
2132f97f-137c-496e-a513-89df789eace8	chr1	183980556	214747540	6	5	1
2132f97f-137c-496e-a513-89df789eace8	chr1	214748703	214812951	8	7	1
2132f97f-137c-496e-a513-89df789eace8	chr1	214814901	248930189	6	5	1
2132f97f-137c-496e-a513-89df789eace8	chr2	12784	242147305	4	2	2
2132f97f-137c-496e-a513-89df789eace8	chr3	20930	4560550	4	2	2
2132f97f-137c-496e-a513-89df789eace8	chr3	4560814	4566909	2	1	1
2132f97f-137c-496e-a513-89df789eace8	chr3	4567964	59847987	4	2	2
2132f97f-137c-496e-a513-89df789eace8	chr3	59849891	60137863	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr3	60138102	106398411	4	2	2
2132f97f-137c-496e-a513-89df789eace8	chr3	106400353	106413309	2	1	1
2132f97f-137c-496e-a513-89df789eace8	chr3	106416618	198169247	4	2	2
2132f97f-137c-496e-a513-89df789eace8	chr4	68929	10208322	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr4	10208339	10275319	1	1	0
2132f97f-137c-496e-a513-89df789eace8	chr4	10275843	18459555	3	2	1
2132f97f-137c-496e-a513-89df789eace8	chr4	18462349	18463819	5	3	2
2132f97f-137c-496e-a513-89df789eace8	chr4	18464261	46754915	3	2	1
